codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63130,47.99A,1,45.766667,3.05
63130,43.22A,2,45.766667,3.05
63130,00.97,1,45.766667,3.05
63130,95.29Z,1,45.766667,3.05
63130,49.32Z,2,45.766667,3.05
63130,01.43Z,1,45.766667,3.05
63130,29.3C,1,45.766667,3.05
63130,84.11Z,3,45.766667,3.05
63130,01.3Z,3,45.766667,3.05
63130,01.4A,1,45.766667,3.05
63130,55.20Z,1,45.766667,3.05
63130,43.22B,2,45.766667,3.05
63130,47.22Z,1,45.766667,3.05
63130,01.80,1,45.766667,3.05
63130,46.19B,2,45.766667,3.05
63130,69.12,1,45.766667,3.05
63130,70.1C,1,45.766667,3.05
63130,43.91B,3,45.766667,3.05
63130,94.99Z,2,45.766667,3.05
63130,47.64Z,1,45.766667,3.05
63130,51.3G,1,45.766667,3.05
63130,55.71,1,45.766667,3.05
63130,01.45Z,3,45.766667,3.05
63130,43.31Z,1,45.766667,3.05
63130,90.03A,2,45.766667,3.05
63130,01.2A,4,45.766667,3.05
63130,01.42Z,29,45.766667,3.05
63130,85.59B,1,45.766667,3.05
63130,01.61Z,1,45.766667,3.05
63130,45.20A,1,45.766667,3.05
63130,55.10Z,1,45.766667,3.05
63130,96.09Z,1,45.766667,3.05
63130,33.12Z,2,45.766667,3.05
63130,35.11Z,2,45.766667,3.05
63130,01.1A,10,45.766667,3.05
63130,71.3A,1,45.766667,3.05
63130,90.02Z,1,45.766667,3.05
63130,14.11Z,1,45.766667,3.05
63130,88.99B,1,45.766667,3.05
63130,93.29Z,1,45.766667,3.05
63130,47.89Z,2,45.766667,3.05
63130,43.21A,2,45.766667,3.05
63130,21.01,1,45.766667,3.05
63130,68.20B,6,45.766667,3.05
63130,60.2L,1,45.766667,3.05
