codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63140,47.99A,1,45.916667,3.066667
63140,01.11Z,4,45.916667,3.066667
63140,92.3A,1,45.916667,3.066667
63140,68.20A,1,45.916667,3.066667
63140,43.91A,1,45.916667,3.066667
63140,81.30Z,1,45.916667,3.066667
63140,84.11Z,2,45.916667,3.066667
63140,95.11,1,45.916667,3.066667
63140,01.3Z,1,45.916667,3.066667
63140,93.12Z,1,45.916667,3.066667
63140,43.22B,1,45.916667,3.066667
63140,01.24Z,1,45.916667,3.066667
63140,43.33Z,2,45.916667,3.066667
63140,55.30Z,1,45.916667,3.066667
63140,94.99Z,1,45.916667,3.066667
63140,01.90,1,45.916667,3.066667
63140,55.73,1,45.916667,3.066667
63140,01.50Z,1,45.916667,3.066667
63140,01.45Z,6,45.916667,3.066667
63140,91.3E,1,45.916667,3.066667
63140,47.71Z,1,45.916667,3.066667
63140,90.03A,1,45.916667,3.066667
63140,01.2A,4,45.916667,3.066667
63140,86.21Z,2,45.916667,3.066667
63140,01.41Z,2,45.916667,3.066667
63140,01.42Z,13,45.916667,3.066667
63140,43.99C,1,45.916667,3.066667
63140,02.0A,1,45.916667,3.066667
63140,33.20B,1,45.916667,3.066667
63140,96.09Z,1,45.916667,3.066667
63140,80.10Z,2,45.916667,3.066667
63140,81.21Z,1,45.916667,3.066667
63140,35.11Z,3,45.916667,3.066667
63140,43.12A,1,45.916667,3.066667
63140,01.49Z,1,45.916667,3.066667
63140,01.1A,6,45.916667,3.066667
63140,47.91B,1,45.916667,3.066667
63140,88.99B,1,45.916667,3.066667
63140,93.29Z,3,45.916667,3.066667
63140,38.40,1,45.916667,3.066667
63140,47.89Z,1,45.916667,3.066667
63140,52.1B,1,45.916667,3.066667
63140,43.21A,2,45.916667,3.066667
63140,70.2A,1,45.916667,3.066667
63140,68.20B,7,45.916667,3.066667
