codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63360,43.22A,3,45.85,3.183333
63360,43.22A,3,45.833333,3.233333
63360,43.22A,3,45.833333,3.15
63360,01.11Z,18,45.85,3.183333
63360,01.11Z,18,45.833333,3.233333
63360,01.11Z,18,45.833333,3.15
63360,95.29Z,3,45.85,3.183333
63360,95.29Z,3,45.833333,3.233333
63360,95.29Z,3,45.833333,3.15
63360,68.20A,3,45.85,3.183333
63360,68.20A,3,45.833333,3.233333
63360,68.20A,3,45.833333,3.15
63360,62.11,3,45.85,3.183333
63360,62.11,3,45.833333,3.233333
63360,62.11,3,45.833333,3.15
63360,01.47Z,3,45.85,3.183333
63360,01.47Z,3,45.833333,3.233333
63360,01.47Z,3,45.833333,3.15
63360,01.43Z,3,45.85,3.183333
63360,01.43Z,3,45.833333,3.233333
63360,01.43Z,3,45.833333,3.15
63360,43.91A,3,45.85,3.183333
63360,43.91A,3,45.833333,3.233333
63360,43.91A,3,45.833333,3.15
63360,84.11Z,12,45.85,3.183333
63360,84.11Z,12,45.833333,3.233333
63360,84.11Z,12,45.833333,3.15
63360,95.22Z,3,45.85,3.183333
63360,95.22Z,3,45.833333,3.233333
63360,95.22Z,3,45.833333,3.15
63360,55.5A,3,45.85,3.183333
63360,55.5A,3,45.833333,3.233333
63360,55.5A,3,45.833333,3.15
63360,01.3Z,6,45.85,3.183333
63360,01.3Z,6,45.833333,3.233333
63360,01.3Z,6,45.833333,3.15
63360,01.4A,6,45.85,3.183333
63360,01.4A,6,45.833333,3.233333
63360,01.4A,6,45.833333,3.15
63360,55.20Z,3,45.85,3.183333
63360,55.20Z,3,45.833333,3.233333
63360,55.20Z,3,45.833333,3.15
63360,93.12Z,3,45.85,3.183333
63360,93.12Z,3,45.833333,3.233333
63360,93.12Z,3,45.833333,3.15
63360,92.3B,3,45.85,3.183333
63360,92.3B,3,45.833333,3.233333
63360,92.3B,3,45.833333,3.15
63360,55.3B,3,45.85,3.183333
63360,55.3B,3,45.833333,3.233333
63360,55.3B,3,45.833333,3.15
63360,45.3A,3,45.85,3.183333
63360,45.3A,3,45.833333,3.233333
63360,45.3A,3,45.833333,3.15
63360,43.91B,3,45.85,3.183333
63360,43.91B,3,45.833333,3.233333
63360,43.91B,3,45.833333,3.15
63360,94.99Z,3,45.85,3.183333
63360,94.99Z,3,45.833333,3.233333
63360,94.99Z,3,45.833333,3.15
63360,02.20,3,45.85,3.183333
63360,02.20,3,45.833333,3.233333
63360,02.20,3,45.833333,3.15
63360,55.71,3,45.85,3.183333
63360,55.71,3,45.833333,3.233333
63360,55.71,3,45.833333,3.15
63360,01.45Z,6,45.85,3.183333
63360,01.45Z,6,45.833333,3.233333
63360,01.45Z,6,45.833333,3.15
63360,91.3E,3,45.85,3.183333
63360,91.3E,3,45.833333,3.233333
63360,91.3E,3,45.833333,3.15
63360,45.4C,3,45.85,3.183333
63360,45.4C,3,45.833333,3.233333
63360,45.4C,3,45.833333,3.15
63360,90.03A,6,45.85,3.183333
63360,90.03A,6,45.833333,3.233333
63360,90.03A,6,45.833333,3.15
63360,45.1A,3,45.85,3.183333
63360,45.1A,3,45.833333,3.233333
63360,45.1A,3,45.833333,3.15
63360,01.2A,6,45.85,3.183333
63360,01.2A,6,45.833333,3.233333
63360,01.2A,6,45.833333,3.15
63360,67.07,3,45.85,3.183333
63360,67.07,3,45.833333,3.233333
63360,67.07,3,45.833333,3.15
63360,85.3K,3,45.85,3.183333
63360,85.3K,3,45.833333,3.233333
63360,85.3K,3,45.833333,3.15
63360,68.31Z,3,45.85,3.183333
63360,68.31Z,3,45.833333,3.233333
63360,68.31Z,3,45.833333,3.15
63360,01.42Z,60,45.85,3.183333
63360,01.42Z,60,45.833333,3.233333
63360,01.42Z,60,45.833333,3.15
63360,64.22,3,45.85,3.183333
63360,64.22,3,45.833333,3.233333
63360,64.22,3,45.833333,3.15
63360,41.0Z,3,45.85,3.183333
63360,41.0Z,3,45.833333,3.233333
63360,41.0Z,3,45.833333,3.15
63360,33.20B,3,45.85,3.183333
63360,33.20B,3,45.833333,3.233333
63360,33.20B,3,45.833333,3.15
63360,35.11Z,3,45.85,3.183333
63360,35.11Z,3,45.833333,3.233333
63360,35.11Z,3,45.833333,3.15
63360,01.49Z,3,45.85,3.183333
63360,01.49Z,3,45.833333,3.233333
63360,01.49Z,3,45.833333,3.15
63360,01.1A,21,45.85,3.183333
63360,01.1A,21,45.833333,3.233333
63360,01.1A,21,45.833333,3.15
63360,86.90F,3,45.85,3.183333
63360,86.90F,3,45.833333,3.233333
63360,86.90F,3,45.833333,3.15
63360,01.46Z,3,45.85,3.183333
63360,01.46Z,3,45.833333,3.233333
63360,01.46Z,3,45.833333,3.15
63360,10.39B,3,45.85,3.183333
63360,10.39B,3,45.833333,3.233333
63360,10.39B,3,45.833333,3.15
63360,88.99B,3,45.85,3.183333
63360,88.99B,3,45.833333,3.233333
63360,88.99B,3,45.833333,3.15
63360,10.20Z,3,45.85,3.183333
63360,10.20Z,3,45.833333,3.233333
63360,10.20Z,3,45.833333,3.15
63360,47.89Z,6,45.85,3.183333
63360,47.89Z,6,45.833333,3.233333
63360,47.89Z,6,45.833333,3.15
63360,21.01,3,45.85,3.183333
63360,21.01,3,45.833333,3.233333
63360,21.01,3,45.833333,3.15
63360,68.20B,6,45.85,3.183333
63360,68.20B,6,45.833333,3.233333
63360,68.20B,6,45.833333,3.15
