codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63410,47.99A,6,"",""
63410,47.99A,6,"",""
63410,47.99A,6,45.966667,2.933333
63410,47.99A,6,45.933333,3.016667
63410,47.99A,6,46,3
63410,47.99A,6,"",""
63410,55.3A,6,"",""
63410,55.3A,6,"",""
63410,55.3A,6,45.966667,2.933333
63410,55.3A,6,45.933333,3.016667
63410,55.3A,6,46,3
63410,55.3A,6,"",""
63410,02.10Z,66,"",""
63410,02.10Z,66,"",""
63410,02.10Z,66,45.966667,2.933333
63410,02.10Z,66,45.933333,3.016667
63410,02.10Z,66,46,3
63410,02.10Z,66,"",""
63410,01.11Z,30,"",""
63410,01.11Z,30,"",""
63410,01.11Z,30,45.966667,2.933333
63410,01.11Z,30,45.933333,3.016667
63410,01.11Z,30,46,3
63410,01.11Z,30,"",""
63410,68.20A,6,"",""
63410,68.20A,6,"",""
63410,68.20A,6,45.966667,2.933333
63410,68.20A,6,45.933333,3.016667
63410,68.20A,6,46,3
63410,68.20A,6,"",""
63410,62.11,6,"",""
63410,62.11,6,"",""
63410,62.11,6,45.966667,2.933333
63410,62.11,6,45.933333,3.016667
63410,62.11,6,46,3
63410,62.11,6,"",""
63410,01.43Z,12,"",""
63410,01.43Z,12,"",""
63410,01.43Z,12,45.966667,2.933333
63410,01.43Z,12,45.933333,3.016667
63410,01.43Z,12,46,3
63410,01.43Z,12,"",""
63410,90.01Z,6,"",""
63410,90.01Z,6,"",""
63410,90.01Z,6,45.966667,2.933333
63410,90.01Z,6,45.933333,3.016667
63410,90.01Z,6,46,3
63410,90.01Z,6,"",""
63410,80.4C,6,"",""
63410,80.4C,6,"",""
63410,80.4C,6,45.966667,2.933333
63410,80.4C,6,45.933333,3.016667
63410,80.4C,6,46,3
63410,80.4C,6,"",""
63410,84.11Z,30,"",""
63410,84.11Z,30,"",""
63410,84.11Z,30,45.966667,2.933333
63410,84.11Z,30,45.933333,3.016667
63410,84.11Z,30,46,3
63410,84.11Z,30,"",""
63410,66.30Z,6,"",""
63410,66.30Z,6,"",""
63410,66.30Z,6,45.966667,2.933333
63410,66.30Z,6,45.933333,3.016667
63410,66.30Z,6,46,3
63410,66.30Z,6,"",""
63410,"",6,"",""
63410,"",6,"",""
63410,"",6,45.966667,2.933333
63410,"",6,45.933333,3.016667
63410,"",6,46,3
63410,"",6,"",""
63410,01.4A,12,"",""
63410,01.4A,12,"",""
63410,01.4A,12,45.966667,2.933333
63410,01.4A,12,45.933333,3.016667
63410,01.4A,12,46,3
63410,01.4A,12,"",""
63410,55.20Z,6,"",""
63410,55.20Z,6,"",""
63410,55.20Z,6,45.966667,2.933333
63410,55.20Z,6,45.933333,3.016667
63410,55.20Z,6,46,3
63410,55.20Z,6,"",""
63410,02.20Z,12,"",""
63410,02.20Z,12,"",""
63410,02.20Z,12,45.966667,2.933333
63410,02.20Z,12,45.933333,3.016667
63410,02.20Z,12,46,3
63410,02.20Z,12,"",""
63410,43.33Z,6,"",""
63410,43.33Z,6,"",""
63410,43.33Z,6,45.966667,2.933333
63410,43.33Z,6,45.933333,3.016667
63410,43.33Z,6,46,3
63410,43.33Z,6,"",""
63410,86.90D,6,"",""
63410,86.90D,6,"",""
63410,86.90D,6,45.966667,2.933333
63410,86.90D,6,45.933333,3.016667
63410,86.90D,6,46,3
63410,86.90D,6,"",""
63410,70.1C,6,"",""
63410,70.1C,6,"",""
63410,70.1C,6,45.966667,2.933333
63410,70.1C,6,45.933333,3.016667
63410,70.1C,6,46,3
63410,70.1C,6,"",""
63410,43.91B,6,"",""
63410,43.91B,6,"",""
63410,43.91B,6,45.966667,2.933333
63410,43.91B,6,45.933333,3.016667
63410,43.91B,6,46,3
63410,43.91B,6,"",""
63410,02.20,6,"",""
63410,02.20,6,"",""
63410,02.20,6,45.966667,2.933333
63410,02.20,6,45.933333,3.016667
63410,02.20,6,46,3
63410,02.20,6,"",""
63410,23.41Z,6,"",""
63410,23.41Z,6,"",""
63410,23.41Z,6,45.966667,2.933333
63410,23.41Z,6,45.933333,3.016667
63410,23.41Z,6,46,3
63410,23.41Z,6,"",""
63410,20.1A,6,"",""
63410,20.1A,6,"",""
63410,20.1A,6,45.966667,2.933333
63410,20.1A,6,45.933333,3.016667
63410,20.1A,6,46,3
63410,20.1A,6,"",""
63410,55.71,12,"",""
63410,55.71,12,"",""
63410,55.71,12,45.966667,2.933333
63410,55.71,12,45.933333,3.016667
63410,55.71,12,46,3
63410,55.71,12,"",""
63410,42.99Z,6,"",""
63410,42.99Z,6,"",""
63410,42.99Z,6,45.966667,2.933333
63410,42.99Z,6,45.933333,3.016667
63410,42.99Z,6,46,3
63410,42.99Z,6,"",""
63410,01.50Z,6,"",""
63410,01.50Z,6,"",""
63410,01.50Z,6,45.966667,2.933333
63410,01.50Z,6,45.933333,3.016667
63410,01.50Z,6,46,3
63410,01.50Z,6,"",""
63410,01.45Z,6,"",""
63410,01.45Z,6,"",""
63410,01.45Z,6,45.966667,2.933333
63410,01.45Z,6,45.933333,3.016667
63410,01.45Z,6,46,3
63410,01.45Z,6,"",""
63410,81.21,6,"",""
63410,81.21,6,"",""
63410,81.21,6,45.966667,2.933333
63410,81.21,6,45.933333,3.016667
63410,81.21,6,46,3
63410,81.21,6,"",""
63410,70.2C,6,"",""
63410,70.2C,6,"",""
63410,70.2C,6,45.966667,2.933333
63410,70.2C,6,45.933333,3.016667
63410,70.2C,6,46,3
63410,70.2C,6,"",""
63410,02.40Z,12,"",""
63410,02.40Z,12,"",""
63410,02.40Z,12,45.966667,2.933333
63410,02.40Z,12,45.933333,3.016667
63410,02.40Z,12,46,3
63410,02.40Z,12,"",""
63410,01.2A,36,"",""
63410,01.2A,36,"",""
63410,01.2A,36,45.966667,2.933333
63410,01.2A,36,45.933333,3.016667
63410,01.2A,36,46,3
63410,01.2A,36,"",""
63410,85.52Z,6,"",""
63410,85.52Z,6,"",""
63410,85.52Z,6,45.966667,2.933333
63410,85.52Z,6,45.933333,3.016667
63410,85.52Z,6,46,3
63410,85.52Z,6,"",""
63410,57.08,6,"",""
63410,57.08,6,"",""
63410,57.08,6,45.966667,2.933333
63410,57.08,6,45.933333,3.016667
63410,57.08,6,46,3
63410,57.08,6,"",""
63410,01.41Z,72,"",""
63410,01.41Z,72,"",""
63410,01.41Z,72,45.966667,2.933333
63410,01.41Z,72,45.933333,3.016667
63410,01.41Z,72,46,3
63410,01.41Z,72,"",""
63410,01.42Z,120,"",""
63410,01.42Z,120,"",""
63410,01.42Z,120,45.966667,2.933333
63410,01.42Z,120,45.933333,3.016667
63410,01.42Z,120,46,3
63410,01.42Z,120,"",""
63410,01.61Z,6,"",""
63410,01.61Z,6,"",""
63410,01.61Z,6,45.966667,2.933333
63410,01.61Z,6,45.933333,3.016667
63410,01.61Z,6,46,3
63410,01.61Z,6,"",""
63410,45.20A,6,"",""
63410,45.20A,6,"",""
63410,45.20A,6,45.966667,2.933333
63410,45.20A,6,45.933333,3.016667
63410,45.20A,6,46,3
63410,45.20A,6,"",""
63410,35.11Z,6,"",""
63410,35.11Z,6,"",""
63410,35.11Z,6,45.966667,2.933333
63410,35.11Z,6,45.933333,3.016667
63410,35.11Z,6,46,3
63410,35.11Z,6,"",""
63410,01.49Z,6,"",""
63410,01.49Z,6,"",""
63410,01.49Z,6,45.966667,2.933333
63410,01.49Z,6,45.933333,3.016667
63410,01.49Z,6,46,3
63410,01.49Z,6,"",""
63410,47.29Z,12,"",""
63410,47.29Z,12,"",""
63410,47.29Z,12,45.966667,2.933333
63410,47.29Z,12,45.933333,3.016667
63410,47.29Z,12,46,3
63410,47.29Z,12,"",""
63410,01.1A,60,"",""
63410,01.1A,60,"",""
63410,01.1A,60,45.966667,2.933333
63410,01.1A,60,45.933333,3.016667
63410,01.1A,60,46,3
63410,01.1A,60,"",""
63410,01.19Z,6,"",""
63410,01.19Z,6,"",""
63410,01.19Z,6,45.966667,2.933333
63410,01.19Z,6,45.933333,3.016667
63410,01.19Z,6,46,3
63410,01.19Z,6,"",""
63410,16.10A,6,"",""
63410,16.10A,6,"",""
63410,16.10A,6,45.966667,2.933333
63410,16.10A,6,45.933333,3.016667
63410,16.10A,6,46,3
63410,16.10A,6,"",""
63410,01.46Z,6,"",""
63410,01.46Z,6,"",""
63410,01.46Z,6,45.966667,2.933333
63410,01.46Z,6,45.933333,3.016667
63410,01.46Z,6,46,3
63410,01.46Z,6,"",""
63410,01.62Z,6,"",""
63410,01.62Z,6,"",""
63410,01.62Z,6,45.966667,2.933333
63410,01.62Z,6,45.933333,3.016667
63410,01.62Z,6,46,3
63410,01.62Z,6,"",""
63410,88.99B,6,"",""
63410,88.99B,6,"",""
63410,88.99B,6,45.966667,2.933333
63410,88.99B,6,45.933333,3.016667
63410,88.99B,6,46,3
63410,88.99B,6,"",""
63410,93.29Z,6,"",""
63410,93.29Z,6,"",""
63410,93.29Z,6,45.966667,2.933333
63410,93.29Z,6,45.933333,3.016667
63410,93.29Z,6,46,3
63410,93.29Z,6,"",""
63410,38.40,6,"",""
63410,38.40,6,"",""
63410,38.40,6,45.966667,2.933333
