codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63460,47.99A,7,45.95,3.066667
63460,47.99A,7,46,3.116667
63460,47.99A,7,46.016667,3.05
63460,47.99A,7,46.033333,3.1
63460,47.99A,7,45.983333,3.083333
63460,47.99A,7,45.966667,3.1
63460,47.99A,7,46,3.133333
63460,64.11,7,45.95,3.066667
63460,64.11,7,46,3.116667
63460,64.11,7,46.016667,3.05
63460,64.11,7,46.033333,3.1
63460,64.11,7,45.983333,3.083333
63460,64.11,7,45.966667,3.1
63460,64.11,7,46,3.133333
63460,02.10Z,21,45.95,3.066667
63460,02.10Z,21,46,3.116667
63460,02.10Z,21,46.016667,3.05
63460,02.10Z,21,46.033333,3.1
63460,02.10Z,21,45.983333,3.083333
63460,02.10Z,21,45.966667,3.1
63460,02.10Z,21,46,3.133333
63460,01.11Z,28,45.95,3.066667
63460,01.11Z,28,46,3.116667
63460,01.11Z,28,46.016667,3.05
63460,01.11Z,28,46.033333,3.1
63460,01.11Z,28,45.983333,3.083333
63460,01.11Z,28,45.966667,3.1
63460,01.11Z,28,46,3.133333
63460,00.97,7,45.95,3.066667
63460,00.97,7,46,3.116667
63460,00.97,7,46.016667,3.05
63460,00.97,7,46.033333,3.1
63460,00.97,7,45.983333,3.083333
63460,00.97,7,45.966667,3.1
63460,00.97,7,46,3.133333
63460,46.23Z,14,45.95,3.066667
63460,46.23Z,14,46,3.116667
63460,46.23Z,14,46.016667,3.05
63460,46.23Z,14,46.033333,3.1
63460,46.23Z,14,45.983333,3.083333
63460,46.23Z,14,45.966667,3.1
63460,46.23Z,14,46,3.133333
63460,95.29Z,7,45.95,3.066667
63460,95.29Z,7,46,3.116667
63460,95.29Z,7,46.016667,3.05
63460,95.29Z,7,46.033333,3.1
63460,95.29Z,7,45.983333,3.083333
63460,95.29Z,7,45.966667,3.1
63460,95.29Z,7,46,3.133333
63460,68.20A,14,45.95,3.066667
63460,68.20A,14,46,3.116667
63460,68.20A,14,46.016667,3.05
63460,68.20A,14,46.033333,3.1
63460,68.20A,14,45.983333,3.083333
63460,68.20A,14,45.966667,3.1
63460,68.20A,14,46,3.133333
63460,51.3J,7,45.95,3.066667
63460,51.3J,7,46,3.116667
63460,51.3J,7,46.016667,3.05
63460,51.3J,7,46.033333,3.1
63460,51.3J,7,45.983333,3.083333
63460,51.3J,7,45.966667,3.1
63460,51.3J,7,46,3.133333
63460,01.50,7,45.95,3.066667
63460,01.50,7,46,3.116667
63460,01.50,7,46.016667,3.05
63460,01.50,7,46.033333,3.1
63460,01.50,7,45.983333,3.083333
63460,01.50,7,45.966667,3.1
63460,01.50,7,46,3.133333
63460,45.3E,7,45.95,3.066667
63460,45.3E,7,46,3.116667
63460,45.3E,7,46.016667,3.05
63460,45.3E,7,46.033333,3.1
63460,45.3E,7,45.983333,3.083333
63460,45.3E,7,45.966667,3.1
63460,45.3E,7,46,3.133333
63460,55.60,7,45.95,3.066667
63460,55.60,7,46,3.116667
63460,55.60,7,46.016667,3.05
63460,55.60,7,46.033333,3.1
63460,55.60,7,45.983333,3.083333
63460,55.60,7,45.966667,3.1
63460,55.60,7,46,3.133333
63460,56.30Z,7,45.95,3.066667
63460,56.30Z,7,46,3.116667
63460,56.30Z,7,46.016667,3.05
63460,56.30Z,7,46.033333,3.1
63460,56.30Z,7,45.983333,3.083333
63460,56.30Z,7,45.966667,3.1
63460,56.30Z,7,46,3.133333
63460,72.2Z,7,45.95,3.066667
63460,72.2Z,7,46,3.116667
63460,72.2Z,7,46.016667,3.05
63460,72.2Z,7,46.033333,3.1
63460,72.2Z,7,45.983333,3.083333
63460,72.2Z,7,45.966667,3.1
63460,72.2Z,7,46,3.133333
63460,62.11,7,45.95,3.066667
63460,62.11,7,46,3.116667
63460,62.11,7,46.016667,3.05
63460,62.11,7,46.033333,3.1
63460,62.11,7,45.983333,3.083333
63460,62.11,7,45.966667,3.1
63460,62.11,7,46,3.133333
63460,50.2Z,7,45.95,3.066667
63460,50.2Z,7,46,3.116667
63460,50.2Z,7,46.016667,3.05
63460,50.2Z,7,46.033333,3.1
63460,50.2Z,7,45.983333,3.083333
63460,50.2Z,7,45.966667,3.1
63460,50.2Z,7,46,3.133333
63460,01.47Z,7,45.95,3.066667
63460,01.47Z,7,46,3.116667
63460,01.47Z,7,46.016667,3.05
63460,01.47Z,7,46.033333,3.1
63460,01.47Z,7,45.983333,3.083333
63460,01.47Z,7,45.966667,3.1
63460,01.47Z,7,46,3.133333
63460,73.20Z,7,45.95,3.066667
63460,73.20Z,7,46,3.116667
63460,73.20Z,7,46.016667,3.05
63460,73.20Z,7,46.033333,3.1
63460,73.20Z,7,45.983333,3.083333
63460,73.20Z,7,45.966667,3.1
63460,73.20Z,7,46,3.133333
63460,01.43Z,21,45.95,3.066667
63460,01.43Z,21,46,3.116667
63460,01.43Z,21,46.016667,3.05
63460,01.43Z,21,46.033333,3.1
63460,01.43Z,21,45.983333,3.083333
63460,01.43Z,21,45.966667,3.1
63460,01.43Z,21,46,3.133333
63460,86.90E,7,45.95,3.066667
63460,86.90E,7,46,3.116667
63460,86.90E,7,46.016667,3.05
63460,86.90E,7,46.033333,3.1
63460,86.90E,7,45.983333,3.083333
63460,86.90E,7,45.966667,3.1
63460,86.90E,7,46,3.133333
63460,71.20A,14,45.95,3.066667
63460,71.20A,14,46,3.116667
63460,71.20A,14,46.016667,3.05
63460,71.20A,14,46.033333,3.1
63460,71.20A,14,45.983333,3.083333
63460,71.20A,14,45.966667,3.1
63460,71.20A,14,46,3.133333
