codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
64170,43.22A,16,43.416667,-0.483333
64170,43.22A,16,43.416667,-0.55
64170,43.22A,16,43.416667,-0.633333
64170,43.22A,16,43.4,-0.516667
64170,43.22A,16,43.383333,-0.533333
64170,43.22A,16,43.416667,-0.5
64170,43.22A,16,43.416667,-0.516667
64170,43.22A,16,43.4,-0.55
64170,01.11Z,72,43.416667,-0.483333
64170,01.11Z,72,43.416667,-0.55
64170,01.11Z,72,43.416667,-0.633333
64170,01.11Z,72,43.4,-0.516667
64170,01.11Z,72,43.383333,-0.533333
64170,01.11Z,72,43.416667,-0.5
64170,01.11Z,72,43.416667,-0.516667
64170,01.11Z,72,43.4,-0.55
64170,68.20A,16,43.416667,-0.483333
64170,68.20A,16,43.416667,-0.55
64170,68.20A,16,43.416667,-0.633333
64170,68.20A,16,43.4,-0.516667
64170,68.20A,16,43.383333,-0.533333
64170,68.20A,16,43.416667,-0.5
64170,68.20A,16,43.416667,-0.516667
64170,68.20A,16,43.4,-0.55
64170,55.40,8,43.416667,-0.483333
64170,55.40,8,43.416667,-0.55
64170,55.40,8,43.416667,-0.633333
64170,55.40,8,43.4,-0.516667
64170,55.40,8,43.383333,-0.533333
64170,55.40,8,43.416667,-0.5
64170,55.40,8,43.416667,-0.516667
64170,55.40,8,43.4,-0.55
64170,36.00Z,8,43.416667,-0.483333
64170,36.00Z,8,43.416667,-0.55
64170,36.00Z,8,43.416667,-0.633333
64170,36.00Z,8,43.4,-0.516667
64170,36.00Z,8,43.383333,-0.533333
64170,36.00Z,8,43.416667,-0.5
64170,36.00Z,8,43.416667,-0.516667
64170,36.00Z,8,43.4,-0.55
64170,01.47Z,8,43.416667,-0.483333
64170,01.47Z,8,43.416667,-0.55
64170,01.47Z,8,43.416667,-0.633333
64170,01.47Z,8,43.4,-0.516667
64170,01.47Z,8,43.383333,-0.533333
64170,01.47Z,8,43.416667,-0.5
64170,01.47Z,8,43.416667,-0.516667
64170,01.47Z,8,43.4,-0.55
64170,43.34Z,16,43.416667,-0.483333
64170,43.34Z,16,43.416667,-0.55
64170,43.34Z,16,43.416667,-0.633333
64170,43.34Z,16,43.4,-0.516667
64170,43.34Z,16,43.383333,-0.533333
64170,43.34Z,16,43.416667,-0.5
64170,43.34Z,16,43.416667,-0.516667
64170,43.34Z,16,43.4,-0.55
64170,93.0N,8,43.416667,-0.483333
64170,93.0N,8,43.416667,-0.55
64170,93.0N,8,43.416667,-0.633333
64170,93.0N,8,43.4,-0.516667
64170,93.0N,8,43.383333,-0.533333
64170,93.0N,8,43.416667,-0.5
64170,93.0N,8,43.416667,-0.516667
64170,93.0N,8,43.4,-0.55
64170,56.10C,8,43.416667,-0.483333
64170,56.10C,8,43.416667,-0.55
64170,56.10C,8,43.416667,-0.633333
64170,56.10C,8,43.4,-0.516667
64170,56.10C,8,43.383333,-0.533333
64170,56.10C,8,43.416667,-0.5
64170,56.10C,8,43.416667,-0.516667
64170,56.10C,8,43.4,-0.55
64170,74.10Z,8,43.416667,-0.483333
64170,74.10Z,8,43.416667,-0.55
64170,74.10Z,8,43.416667,-0.633333
64170,74.10Z,8,43.4,-0.516667
64170,74.10Z,8,43.383333,-0.533333
64170,74.10Z,8,43.416667,-0.5
64170,74.10Z,8,43.416667,-0.516667
64170,74.10Z,8,43.4,-0.55
64170,84.11Z,16,43.416667,-0.483333
64170,84.11Z,16,43.416667,-0.55
64170,84.11Z,16,43.416667,-0.633333
64170,84.11Z,16,43.4,-0.516667
64170,84.11Z,16,43.383333,-0.533333
64170,84.11Z,16,43.416667,-0.5
64170,84.11Z,16,43.416667,-0.516667
64170,84.11Z,16,43.4,-0.55
64170,01.4A,8,43.416667,-0.483333
64170,01.4A,8,43.416667,-0.55
64170,01.4A,8,43.416667,-0.633333
64170,01.4A,8,43.4,-0.516667
64170,01.4A,8,43.383333,-0.533333
64170,01.4A,8,43.416667,-0.5
64170,01.4A,8,43.416667,-0.516667
64170,01.4A,8,43.4,-0.55
64170,55.20Z,8,43.416667,-0.483333
64170,55.20Z,8,43.416667,-0.55
64170,55.20Z,8,43.416667,-0.633333
64170,55.20Z,8,43.4,-0.516667
64170,55.20Z,8,43.383333,-0.533333
64170,55.20Z,8,43.416667,-0.5
64170,55.20Z,8,43.416667,-0.516667
64170,55.20Z,8,43.4,-0.55
64170,74.30Z,8,43.416667,-0.483333
64170,74.30Z,8,43.416667,-0.55
64170,74.30Z,8,43.416667,-0.633333
64170,74.30Z,8,43.4,-0.516667
64170,74.30Z,8,43.383333,-0.533333
64170,74.30Z,8,43.416667,-0.5
64170,74.30Z,8,43.416667,-0.516667
64170,74.30Z,8,43.4,-0.55
64170,01.24Z,8,43.416667,-0.483333
64170,01.24Z,8,43.416667,-0.55
64170,01.24Z,8,43.416667,-0.633333
64170,01.24Z,8,43.4,-0.516667
64170,01.24Z,8,43.383333,-0.533333
64170,01.24Z,8,43.416667,-0.5
64170,01.24Z,8,43.416667,-0.516667
64170,01.24Z,8,43.4,-0.55
64170,43.33Z,8,43.416667,-0.483333
64170,43.33Z,8,43.416667,-0.55
64170,43.33Z,8,43.416667,-0.633333
64170,43.33Z,8,43.4,-0.516667
64170,43.33Z,8,43.383333,-0.533333
64170,43.33Z,8,43.416667,-0.5
64170,43.33Z,8,43.416667,-0.516667
64170,43.33Z,8,43.4,-0.55
64170,01.25Z,8,43.416667,-0.483333
64170,01.25Z,8,43.416667,-0.55
64170,01.25Z,8,43.416667,-0.633333
64170,01.25Z,8,43.4,-0.516667
64170,01.25Z,8,43.383333,-0.533333
64170,01.25Z,8,43.416667,-0.5
64170,01.25Z,8,43.416667,-0.516667
64170,01.25Z,8,43.4,-0.55
64170,45.3A,8,43.416667,-0.483333
64170,45.3A,8,43.416667,-0.55
64170,45.3A,8,43.416667,-0.633333
64170,45.3A,8,43.4,-0.516667
64170,45.3A,8,43.383333,-0.533333
64170,45.3A,8,43.416667,-0.5
64170,45.3A,8,43.416667,-0.516667
64170,45.3A,8,43.4,-0.55
64170,94.99Z,8,43.416667,-0.483333
64170,94.99Z,8,43.416667,-0.55
64170,94.99Z,8,43.416667,-0.633333
64170,94.99Z,8,43.4,-0.516667
64170,94.99Z,8,43.383333,-0.533333
64170,94.99Z,8,43.416667,-0.5
64170,94.99Z,8,43.416667,-0.516667
64170,94.99Z,8,43.4,-0.55
64170,49.10Z,8,43.416667,-0.483333
64170,49.10Z,8,43.416667,-0.55
64170,49.10Z,8,43.416667,-0.633333
64170,49.10Z,8,43.4,-0.516667
64170,49.10Z,8,43.383333,-0.533333
64170,49.10Z,8,43.416667,-0.5
64170,49.10Z,8,43.416667,-0.516667
64170,49.10Z,8,43.4,-0.55
64170,01.1G,8,43.416667,-0.483333
64170,01.1G,8,43.416667,-0.55
64170,01.1G,8,43.416667,-0.633333
64170,01.1G,8,43.4,-0.516667
64170,01.1G,8,43.383333,-0.533333
64170,01.1G,8,43.416667,-0.5
64170,01.1G,8,43.416667,-0.516667
64170,01.1G,8,43.4,-0.55
64170,42.99Z,8,43.416667,-0.483333
64170,42.99Z,8,43.416667,-0.55
64170,42.99Z,8,43.416667,-0.633333
64170,42.99Z,8,43.4,-0.516667
64170,42.99Z,8,43.383333,-0.533333
64170,42.99Z,8,43.416667,-0.5
64170,42.99Z,8,43.416667,-0.516667
64170,42.99Z,8,43.4,-0.55
64170,01.50Z,32,43.416667,-0.483333
64170,01.50Z,32,43.416667,-0.55
64170,01.50Z,32,43.416667,-0.633333
64170,01.50Z,32,43.4,-0.516667
64170,01.50Z,32,43.383333,-0.533333
64170,01.50Z,32,43.416667,-0.5
64170,01.50Z,32,43.416667,-0.516667
64170,01.50Z,32,43.4,-0.55
64170,90.03A,16,43.416667,-0.483333
64170,90.03A,16,43.416667,-0.55
64170,90.03A,16,43.416667,-0.633333
64170,90.03A,16,43.4,-0.516667
64170,90.03A,16,43.383333,-0.533333
64170,90.03A,16,43.416667,-0.5
64170,90.03A,16,43.416667,-0.516667
64170,90.03A,16,43.4,-0.55
64170,01.2A,8,43.416667,-0.483333
64170,01.2A,8,43.416667,-0.55
64170,01.2A,8,43.416667,-0.633333
64170,01.2A,8,43.4,-0.516667
64170,01.2A,8,43.383333,-0.533333
64170,01.2A,8,43.416667,-0.5
64170,01.2A,8,43.416667,-0.516667
64170,01.2A,8,43.4,-0.55
64170,85.52Z,8,43.416667,-0.483333
64170,85.52Z,8,43.416667,-0.55
64170,85.52Z,8,43.416667,-0.633333
64170,85.52Z,8,43.4,-0.516667
64170,85.52Z,8,43.383333,-0.533333
64170,85.52Z,8,43.416667,-0.5
64170,85.52Z,8,43.416667,-0.516667
64170,85.52Z,8,43.4,-0.55
