codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
64190,45.20B,28,43.35,-0.783333
64190,45.20B,28,43.366667,-0.9
64190,45.20B,28,43.316667,-0.766667
64190,45.20B,28,43.3,-0.766667
64190,45.20B,28,43.35,-0.883333
64190,45.20B,28,43.283333,-0.716667
64190,45.20B,28,43.266667,-0.716667
64190,45.20B,28,43.366667,-0.816667
64190,45.20B,28,43.316667,-0.7
64190,45.20B,28,43.333333,-0.75
64190,45.20B,28,43.366667,-0.833333
64190,45.20B,28,43.333333,-0.866667
64190,45.20B,28,43.366667,-0.85
64190,45.20B,28,43.333333,-0.766667
64190,45.20B,28,43.283333,-0.716667
64190,45.20B,28,43.316667,-0.75
64190,45.20B,28,43.283333,-0.75
64190,45.20B,28,43.35,-0.883333
64190,45.20B,28,43.283333,-0.733333
64190,45.20B,28,43.316667,-0.866667
64190,45.20B,28,43.333333,-0.783333
64190,45.20B,28,43.383333,-0.783333
64190,45.20B,28,43.35,-0.783333
64190,45.20B,28,43.35,-0.766667
64190,45.20B,28,43.366667,-0.783333
64190,45.20B,28,43.35,-0.8
64190,45.20B,28,43.366667,-0.816667
64190,45.20B,28,43.3,-0.816667
64190,01.11Z,420,43.35,-0.783333
64190,01.11Z,420,43.366667,-0.9
64190,01.11Z,420,43.316667,-0.766667
64190,01.11Z,420,43.3,-0.766667
64190,01.11Z,420,43.35,-0.883333
64190,01.11Z,420,43.283333,-0.716667
64190,01.11Z,420,43.266667,-0.716667
64190,01.11Z,420,43.366667,-0.816667
64190,01.11Z,420,43.316667,-0.7
64190,01.11Z,420,43.333333,-0.75
64190,01.11Z,420,43.366667,-0.833333
64190,01.11Z,420,43.333333,-0.866667
64190,01.11Z,420,43.366667,-0.85
64190,01.11Z,420,43.333333,-0.766667
64190,01.11Z,420,43.283333,-0.716667
64190,01.11Z,420,43.316667,-0.75
64190,01.11Z,420,43.283333,-0.75
64190,01.11Z,420,43.35,-0.883333
64190,01.11Z,420,43.283333,-0.733333
64190,01.11Z,420,43.316667,-0.866667
64190,01.11Z,420,43.333333,-0.783333
64190,01.11Z,420,43.383333,-0.783333
64190,01.11Z,420,43.35,-0.783333
64190,01.11Z,420,43.35,-0.766667
