codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
64480,43.22A,8,43.4,-1.45
64480,43.22A,8,43.366667,-1.433333
64480,43.22A,8,43.383333,-1.433333
64480,43.22A,8,43.366667,-1.416667
64480,01.11Z,48,43.4,-1.45
64480,01.11Z,48,43.366667,-1.433333
64480,01.11Z,48,43.383333,-1.433333
64480,01.11Z,48,43.366667,-1.416667
64480,68.20A,4,43.4,-1.45
64480,68.20A,4,43.366667,-1.433333
64480,68.20A,4,43.383333,-1.433333
64480,68.20A,4,43.366667,-1.416667
64480,01.47Z,12,43.4,-1.45
64480,01.47Z,12,43.366667,-1.433333
64480,01.47Z,12,43.383333,-1.433333
64480,01.47Z,12,43.366667,-1.416667
64480,46.13Z,8,43.4,-1.45
64480,46.13Z,8,43.366667,-1.433333
64480,46.13Z,8,43.383333,-1.433333
64480,46.13Z,8,43.366667,-1.416667
64480,64.20Z,8,43.4,-1.45
64480,64.20Z,8,43.366667,-1.433333
64480,64.20Z,8,43.383333,-1.433333
64480,64.20Z,8,43.366667,-1.416667
64480,86.90E,4,43.4,-1.45
64480,86.90E,4,43.366667,-1.433333
64480,86.90E,4,43.383333,-1.433333
64480,86.90E,4,43.366667,-1.416667
64480,80.4C,4,43.4,-1.45
64480,80.4C,4,43.366667,-1.433333
64480,80.4C,4,43.383333,-1.433333
64480,80.4C,4,43.366667,-1.416667
64480,43.32B,4,43.4,-1.45
64480,43.32B,4,43.366667,-1.433333
64480,43.32B,4,43.383333,-1.433333
64480,43.32B,4,43.366667,-1.416667
64480,43.91A,8,43.4,-1.45
64480,43.91A,8,43.366667,-1.433333
64480,43.91A,8,43.383333,-1.433333
64480,43.91A,8,43.366667,-1.416667
64480,81.30Z,4,43.4,-1.45
64480,81.30Z,4,43.366667,-1.433333
64480,81.30Z,4,43.383333,-1.433333
64480,81.30Z,4,43.366667,-1.416667
64480,84.11Z,8,43.4,-1.45
64480,84.11Z,8,43.366667,-1.433333
64480,84.11Z,8,43.383333,-1.433333
64480,84.11Z,8,43.366667,-1.416667
64480,01.3Z,8,43.4,-1.45
64480,01.3Z,8,43.366667,-1.433333
64480,01.3Z,8,43.383333,-1.433333
64480,01.3Z,8,43.366667,-1.416667
64480,43.32A,4,43.4,-1.45
64480,43.32A,4,43.366667,-1.433333
64480,43.32A,4,43.383333,-1.433333
64480,43.32A,4,43.366667,-1.416667
64480,45.2L,4,43.4,-1.45
64480,45.2L,4,43.366667,-1.433333
64480,45.2L,4,43.383333,-1.433333
64480,45.2L,4,43.366667,-1.416667
64480,96.02A,4,43.4,-1.45
64480,96.02A,4,43.366667,-1.433333
64480,96.02A,4,43.383333,-1.433333
64480,96.02A,4,43.366667,-1.416667
64480,86.90D,4,43.4,-1.45
64480,86.90D,4,43.366667,-1.433333
64480,86.90D,4,43.383333,-1.433333
64480,86.90D,4,43.366667,-1.416667
64480,46.69B,4,43.4,-1.45
64480,46.69B,4,43.366667,-1.433333
64480,46.69B,4,43.383333,-1.433333
64480,46.69B,4,43.366667,-1.416667
64480,70.1C,4,43.4,-1.45
64480,70.1C,4,43.366667,-1.433333
64480,70.1C,4,43.383333,-1.433333
64480,70.1C,4,43.366667,-1.416667
64480,94.99Z,4,43.4,-1.45
64480,94.99Z,4,43.366667,-1.433333
64480,94.99Z,4,43.383333,-1.433333
64480,94.99Z,4,43.366667,-1.416667
64480,28.2D,4,43.4,-1.45
64480,28.2D,4,43.366667,-1.433333
64480,28.2D,4,43.383333,-1.433333
64480,28.2D,4,43.366667,-1.416667
64480,69.23,4,43.4,-1.45
64480,69.23,4,43.366667,-1.433333
64480,69.23,4,43.383333,-1.433333
64480,69.23,4,43.366667,-1.416667
64480,46.21Z,8,43.4,-1.45
64480,46.21Z,8,43.366667,-1.433333
