codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
65150,70.3A,15,43.083333,0.433333
65150,70.3A,15,43.016667,0.483333
65150,70.3A,15,"",""
65150,70.3A,15,43.083333,0.483333
65150,70.3A,15,"",""
65150,70.3A,15,43.066667,0.5
65150,70.3A,15,43.05,0.433333
65150,70.3A,15,43.066667,0.508333
65150,70.3A,15,43.05,0.516667
65150,70.3A,15,43.05,0.466667
65150,70.3A,15,43.033333,0.533333
65150,70.3A,15,"",""
65150,70.3A,15,43.066667,0.433333
65150,70.3A,15,43.033333,0.483333
65150,70.3A,15,43.066667,0.483333
65150,02.10Z,15,43.083333,0.433333
65150,02.10Z,15,43.016667,0.483333
65150,02.10Z,15,"",""
65150,02.10Z,15,43.083333,0.483333
65150,02.10Z,15,"",""
65150,02.10Z,15,43.066667,0.5
65150,02.10Z,15,43.05,0.433333
65150,02.10Z,15,43.066667,0.508333
65150,02.10Z,15,43.05,0.516667
65150,02.10Z,15,43.05,0.466667
65150,02.10Z,15,43.033333,0.533333
65150,02.10Z,15,"",""
65150,02.10Z,15,43.066667,0.433333
65150,02.10Z,15,43.033333,0.483333
65150,02.10Z,15,43.066667,0.483333
65150,01.11Z,90,43.083333,0.433333
65150,01.11Z,90,43.016667,0.483333
65150,01.11Z,90,"",""
65150,01.11Z,90,43.083333,0.483333
65150,01.11Z,90,"",""
65150,01.11Z,90,43.066667,0.5
65150,01.11Z,90,43.05,0.433333
65150,01.11Z,90,43.066667,0.508333
65150,01.11Z,90,43.05,0.516667
65150,01.11Z,90,43.05,0.466667
65150,01.11Z,90,43.033333,0.533333
65150,01.11Z,90,"",""
65150,01.11Z,90,43.066667,0.433333
65150,01.11Z,90,43.033333,0.483333
65150,01.11Z,90,43.066667,0.483333
65150,49.41A,15,43.083333,0.433333
65150,49.41A,15,43.016667,0.483333
65150,49.41A,15,"",""
65150,49.41A,15,43.083333,0.483333
65150,49.41A,15,"",""
65150,49.41A,15,43.066667,0.5
65150,49.41A,15,43.05,0.433333
65150,49.41A,15,43.066667,0.508333
65150,49.41A,15,43.05,0.516667
65150,49.41A,15,43.05,0.466667
65150,49.41A,15,43.033333,0.533333
65150,49.41A,15,"",""
65150,49.41A,15,43.066667,0.433333
65150,49.41A,15,43.033333,0.483333
65150,49.41A,15,43.066667,0.483333
65150,68.20A,60,43.083333,0.433333
65150,68.20A,60,43.016667,0.483333
65150,68.20A,60,"",""
65150,68.20A,60,43.083333,0.483333
65150,68.20A,60,"",""
65150,68.20A,60,43.066667,0.5
65150,68.20A,60,43.05,0.433333
65150,68.20A,60,43.066667,0.508333
65150,68.20A,60,43.05,0.516667
65150,68.20A,60,43.05,0.466667
