codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
65250,47.99A,20,43.05,0.4
65250,47.99A,20,43.066667,0.416667
65250,47.99A,20,43.033333,0.4
65250,47.99A,20,43.05,0.383333
65250,47.99A,20,43.083333,0.383333
65250,47.99A,20,43.066667,0.383333
65250,47.99A,20,43.016667,0.366667
65250,47.99A,20,43.033333,0.45
65250,47.99A,20,43.083333,0.4
65250,47.99A,20,43.033333,0.383333
65250,41.10A,20,43.05,0.4
65250,41.10A,20,43.066667,0.416667
65250,41.10A,20,43.033333,0.4
65250,41.10A,20,43.05,0.383333
65250,41.10A,20,43.083333,0.383333
65250,41.10A,20,43.066667,0.383333
65250,41.10A,20,43.016667,0.366667
65250,41.10A,20,43.033333,0.45
65250,41.10A,20,43.083333,0.4
65250,41.10A,20,43.033333,0.383333
65250,01.11Z,70,43.05,0.4
65250,01.11Z,70,43.066667,0.416667
65250,01.11Z,70,43.033333,0.4
65250,01.11Z,70,43.05,0.383333
65250,01.11Z,70,43.083333,0.383333
65250,01.11Z,70,43.066667,0.383333
65250,01.11Z,70,43.016667,0.366667
65250,01.11Z,70,43.033333,0.45
65250,01.11Z,70,43.083333,0.4
65250,01.11Z,70,43.033333,0.383333
65250,68.20A,20,43.05,0.4
65250,68.20A,20,43.066667,0.416667
65250,68.20A,20,43.033333,0.4
65250,68.20A,20,43.05,0.383333
65250,68.20A,20,43.083333,0.383333
65250,68.20A,20,43.066667,0.383333
65250,68.20A,20,43.016667,0.366667
65250,68.20A,20,43.033333,0.45
65250,68.20A,20,43.083333,0.4
65250,68.20A,20,43.033333,0.383333
65250,56.30Z,10,43.05,0.4
65250,56.30Z,10,43.066667,0.416667
65250,56.30Z,10,43.033333,0.4
65250,56.30Z,10,43.05,0.383333
65250,56.30Z,10,43.083333,0.383333
65250,56.30Z,10,43.066667,0.383333
65250,56.30Z,10,43.016667,0.366667
65250,56.30Z,10,43.033333,0.45
65250,56.30Z,10,43.083333,0.4
65250,56.30Z,10,43.033333,0.383333
65250,32.99Z,10,43.05,0.4
65250,32.99Z,10,43.066667,0.416667
65250,32.99Z,10,43.033333,0.4
65250,32.99Z,10,43.05,0.383333
65250,32.99Z,10,43.083333,0.383333
65250,32.99Z,10,43.066667,0.383333
65250,32.99Z,10,43.016667,0.366667
65250,32.99Z,10,43.033333,0.45
65250,32.99Z,10,43.083333,0.4
65250,32.99Z,10,43.033333,0.383333
65250,01.2E,10,43.05,0.4
65250,01.2E,10,43.066667,0.416667
65250,01.2E,10,43.033333,0.4
65250,01.2E,10,43.05,0.383333
65250,01.2E,10,43.083333,0.383333
65250,01.2E,10,43.066667,0.383333
65250,01.2E,10,43.016667,0.366667
65250,01.2E,10,43.033333,0.45
65250,01.2E,10,43.083333,0.4
65250,01.2E,10,43.033333,0.383333
65250,01.47Z,30,43.05,0.4
65250,01.47Z,30,43.066667,0.416667
65250,01.47Z,30,43.033333,0.4
65250,01.47Z,30,43.05,0.383333
65250,01.47Z,30,43.083333,0.383333
65250,01.47Z,30,43.066667,0.383333
65250,01.47Z,30,43.016667,0.366667
65250,01.47Z,30,43.033333,0.45
65250,01.47Z,30,43.083333,0.4
65250,01.47Z,30,43.033333,0.383333
65250,47.52A,10,43.05,0.4
65250,47.52A,10,43.066667,0.416667
65250,47.52A,10,43.033333,0.4
65250,47.52A,10,43.05,0.383333
65250,47.52A,10,43.083333,0.383333
65250,47.52A,10,43.066667,0.383333
65250,47.52A,10,43.016667,0.366667
65250,47.52A,10,43.033333,0.45
65250,47.52A,10,43.083333,0.4
65250,47.52A,10,43.033333,0.383333
65250,95.21Z,10,43.05,0.4
65250,95.21Z,10,43.066667,0.416667
65250,95.21Z,10,43.033333,0.4
65250,95.21Z,10,43.05,0.383333
65250,95.21Z,10,43.083333,0.383333
65250,95.21Z,10,43.066667,0.383333
65250,95.21Z,10,43.016667,0.366667
65250,95.21Z,10,43.033333,0.45
65250,95.21Z,10,43.083333,0.4
65250,95.21Z,10,43.033333,0.383333
65250,64.20Z,20,43.05,0.4
65250,64.20Z,20,43.066667,0.416667
65250,64.20Z,20,43.033333,0.4
65250,64.20Z,20,43.05,0.383333
65250,64.20Z,20,43.083333,0.383333
65250,64.20Z,20,43.066667,0.383333
65250,64.20Z,20,43.016667,0.366667
65250,64.20Z,20,43.033333,0.45
65250,64.20Z,20,43.083333,0.4
65250,64.20Z,20,43.033333,0.383333
65250,90.01Z,10,43.05,0.4
65250,90.01Z,10,43.066667,0.416667
65250,90.01Z,10,43.033333,0.4
65250,90.01Z,10,43.05,0.383333
65250,90.01Z,10,43.083333,0.383333
65250,90.01Z,10,43.066667,0.383333
65250,90.01Z,10,43.016667,0.366667
65250,90.01Z,10,43.033333,0.45
65250,90.01Z,10,43.083333,0.4
65250,90.01Z,10,43.033333,0.383333
65250,74.10Z,10,43.05,0.4
65250,74.10Z,10,43.066667,0.416667
65250,74.10Z,10,43.033333,0.4
65250,74.10Z,10,43.05,0.383333
65250,74.10Z,10,43.083333,0.383333
65250,74.10Z,10,43.066667,0.383333
65250,74.10Z,10,43.016667,0.366667
65250,74.10Z,10,43.033333,0.45
65250,74.10Z,10,43.083333,0.4
65250,74.10Z,10,43.033333,0.383333
65250,43.91A,10,43.05,0.4
65250,43.91A,10,43.066667,0.416667
65250,43.91A,10,43.033333,0.4
65250,43.91A,10,43.05,0.383333
65250,43.91A,10,43.083333,0.383333
65250,43.91A,10,43.066667,0.383333
65250,43.91A,10,43.016667,0.366667
65250,43.91A,10,43.033333,0.45
65250,43.91A,10,43.083333,0.4
65250,43.91A,10,43.033333,0.383333
65250,84.11Z,20,43.05,0.4
65250,84.11Z,20,43.066667,0.416667
65250,84.11Z,20,43.033333,0.4
65250,84.11Z,20,43.05,0.383333
65250,84.11Z,20,43.083333,0.383333
65250,84.11Z,20,43.066667,0.383333
65250,84.11Z,20,43.016667,0.366667
65250,84.11Z,20,43.033333,0.45
65250,84.11Z,20,43.083333,0.4
65250,84.11Z,20,43.033333,0.383333
65250,01.4A,10,43.05,0.4
65250,01.4A,10,43.066667,0.416667
65250,01.4A,10,43.033333,0.4
65250,01.4A,10,43.05,0.383333
65250,01.4A,10,43.083333,0.383333
65250,01.4A,10,43.066667,0.383333
65250,01.4A,10,43.016667,0.366667
65250,01.4A,10,43.033333,0.45
65250,01.4A,10,43.083333,0.4
65250,01.4A,10,43.033333,0.383333
65250,55.20Z,10,43.05,0.4
65250,55.20Z,10,43.066667,0.416667
65250,55.20Z,10,43.033333,0.4
65250,55.20Z,10,43.05,0.383333
65250,55.20Z,10,43.083333,0.383333
65250,55.20Z,10,43.066667,0.383333
65250,55.20Z,10,43.016667,0.366667
65250,55.20Z,10,43.033333,0.45
65250,55.20Z,10,43.083333,0.4
65250,55.20Z,10,43.033333,0.383333
65250,43.32A,10,43.05,0.4
65250,43.32A,10,43.066667,0.416667
65250,43.32A,10,43.033333,0.4
65250,43.32A,10,43.05,0.383333
65250,43.32A,10,43.083333,0.383333
65250,43.32A,10,43.066667,0.383333
65250,43.32A,10,43.016667,0.366667
65250,43.32A,10,43.033333,0.45
65250,43.32A,10,43.083333,0.4
65250,43.32A,10,43.033333,0.383333
65250,96.03Z,10,43.05,0.4
65250,96.03Z,10,43.066667,0.416667
65250,96.03Z,10,43.033333,0.4
65250,96.03Z,10,43.05,0.383333
65250,96.03Z,10,43.083333,0.383333
65250,96.03Z,10,43.066667,0.383333
65250,96.03Z,10,43.016667,0.366667
65250,96.03Z,10,43.033333,0.45
65250,96.03Z,10,43.083333,0.4
65250,96.03Z,10,43.033333,0.383333
65250,65.06,10,43.05,0.4
65250,65.06,10,43.066667,0.416667
65250,65.06,10,43.033333,0.4
65250,65.06,10,43.05,0.383333
65250,65.06,10,43.083333,0.383333
65250,65.06,10,43.066667,0.383333
65250,65.06,10,43.016667,0.366667
65250,65.06,10,43.033333,0.45
65250,65.06,10,43.083333,0.4
65250,65.06,10,43.033333,0.383333
65250,13.92Z,10,43.05,0.4
65250,13.92Z,10,43.066667,0.416667
65250,13.92Z,10,43.033333,0.4
65250,13.92Z,10,43.05,0.383333
65250,13.92Z,10,43.083333,0.383333
65250,13.92Z,10,43.066667,0.383333
65250,13.92Z,10,43.016667,0.366667
65250,13.92Z,10,43.033333,0.45
65250,13.92Z,10,43.083333,0.4
65250,13.92Z,10,43.033333,0.383333
65250,23.63Z,10,43.05,0.4
65250,23.63Z,10,43.066667,0.416667
65250,23.63Z,10,43.033333,0.4
65250,23.63Z,10,43.05,0.383333
65250,23.63Z,10,43.083333,0.383333
65250,23.63Z,10,43.066667,0.383333
65250,23.63Z,10,43.016667,0.366667
65250,23.63Z,10,43.033333,0.45
65250,23.63Z,10,43.083333,0.4
65250,23.63Z,10,43.033333,0.383333
65250,02.20Z,10,43.05,0.4
65250,02.20Z,10,43.066667,0.416667
65250,02.20Z,10,43.033333,0.4
65250,02.20Z,10,43.05,0.383333
65250,02.20Z,10,43.083333,0.383333
65250,02.20Z,10,43.066667,0.383333
65250,02.20Z,10,43.016667,0.366667
65250,02.20Z,10,43.033333,0.45
65250,02.20Z,10,43.083333,0.4
65250,02.20Z,10,43.033333,0.383333
65250,74.1J,10,43.05,0.4
65250,74.1J,10,43.066667,0.416667
65250,74.1J,10,43.033333,0.4
65250,74.1J,10,43.05,0.383333
65250,74.1J,10,43.083333,0.383333
65250,74.1J,10,43.066667,0.383333
65250,74.1J,10,43.016667,0.366667
65250,74.1J,10,43.033333,0.45
65250,74.1J,10,43.083333,0.4
65250,74.1J,10,43.033333,0.383333
65250,64.30Z,10,43.05,0.4
65250,64.30Z,10,43.066667,0.416667
65250,64.30Z,10,43.033333,0.4
65250,64.30Z,10,43.05,0.383333
65250,64.30Z,10,43.083333,0.383333
65250,64.30Z,10,43.066667,0.383333
65250,64.30Z,10,43.016667,0.366667
65250,64.30Z,10,43.033333,0.45
65250,64.30Z,10,43.083333,0.4
65250,64.30Z,10,43.033333,0.383333
65250,56.10A,10,43.05,0.4
65250,56.10A,10,43.066667,0.416667
65250,56.10A,10,43.033333,0.4
65250,56.10A,10,43.05,0.383333
65250,56.10A,10,43.083333,0.383333
65250,56.10A,10,43.066667,0.383333
65250,56.10A,10,43.016667,0.366667
65250,56.10A,10,43.033333,0.45
65250,56.10A,10,43.083333,0.4
65250,56.10A,10,43.033333,0.383333
65250,47.11D,20,43.05,0.4
65250,47.11D,20,43.066667,0.416667
65250,47.11D,20,43.033333,0.4
65250,47.11D,20,43.05,0.383333
65250,47.11D,20,43.083333,0.383333
65250,47.11D,20,43.066667,0.383333
65250,47.11D,20,43.016667,0.366667
65250,47.11D,20,43.033333,0.45
65250,47.11D,20,43.083333,0.4
65250,47.11D,20,43.033333,0.383333
65250,86.90D,10,43.05,0.4
65250,86.90D,10,43.066667,0.416667
65250,86.90D,10,43.033333,0.4
65250,86.90D,10,43.05,0.383333
65250,86.90D,10,43.083333,0.383333
65250,86.90D,10,43.066667,0.383333
65250,86.90D,10,43.016667,0.366667
65250,86.90D,10,43.033333,0.45
65250,86.90D,10,43.083333,0.4
65250,86.90D,10,43.033333,0.383333
65250,96.02A,20,43.05,0.4
65250,96.02A,20,43.066667,0.416667
65250,96.02A,20,43.033333,0.4
65250,96.02A,20,43.05,0.383333
65250,96.02A,20,43.083333,0.383333
65250,96.02A,20,43.066667,0.383333
65250,96.02A,20,43.016667,0.366667
65250,96.02A,20,43.033333,0.45
65250,96.02A,20,43.083333,0.4
65250,96.02A,20,43.033333,0.383333
65250,46.69B,10,43.05,0.4
65250,46.69B,10,43.066667,0.416667
65250,46.69B,10,43.033333,0.4
65250,46.69B,10,43.05,0.383333
65250,46.69B,10,43.083333,0.383333
65250,46.69B,10,43.066667,0.383333
65250,46.69B,10,43.016667,0.366667
65250,46.69B,10,43.033333,0.45
65250,46.69B,10,43.083333,0.4
65250,46.69B,10,43.033333,0.383333
65250,94.99Z,20,43.05,0.4
65250,94.99Z,20,43.066667,0.416667
65250,94.99Z,20,43.033333,0.4
65250,94.99Z,20,43.05,0.383333
65250,94.99Z,20,43.083333,0.383333
65250,94.99Z,20,43.066667,0.383333
65250,94.99Z,20,43.016667,0.366667
65250,94.99Z,20,43.033333,0.45
65250,94.99Z,20,43.083333,0.4
65250,94.99Z,20,43.033333,0.383333
65250,47.76Z,10,43.05,0.4
65250,47.76Z,10,43.066667,0.416667
65250,47.76Z,10,43.033333,0.4
65250,47.76Z,10,43.05,0.383333
65250,47.76Z,10,43.083333,0.383333
65250,47.76Z,10,43.066667,0.383333
65250,47.76Z,10,43.016667,0.366667
65250,47.76Z,10,43.033333,0.45
65250,47.76Z,10,43.083333,0.4
65250,47.76Z,10,43.033333,0.383333
65250,47.72A,10,43.05,0.4
65250,47.72A,10,43.066667,0.416667
65250,47.72A,10,43.033333,0.4
65250,47.72A,10,43.05,0.383333
65250,47.72A,10,43.083333,0.383333
65250,47.72A,10,43.066667,0.383333
65250,47.72A,10,43.016667,0.366667
65250,47.72A,10,43.033333,0.45
65250,47.72A,10,43.083333,0.4
65250,47.72A,10,43.033333,0.383333
65250,01.1G,10,43.05,0.4
65250,01.1G,10,43.066667,0.416667
65250,01.1G,10,43.033333,0.4
65250,01.1G,10,43.05,0.383333
65250,01.1G,10,43.083333,0.383333
65250,01.1G,10,43.066667,0.383333
65250,01.1G,10,43.016667,0.366667
65250,01.1G,10,43.033333,0.45
65250,01.1G,10,43.083333,0.4
65250,01.1G,10,43.033333,0.383333
65250,46.21Z,20,43.05,0.4
65250,46.21Z,20,43.066667,0.416667
65250,46.21Z,20,43.033333,0.4
65250,46.21Z,20,43.05,0.383333
65250,46.21Z,20,43.083333,0.383333
65250,46.21Z,20,43.066667,0.383333
65250,46.21Z,20,43.016667,0.366667
65250,46.21Z,20,43.033333,0.45
65250,46.21Z,20,43.083333,0.4
65250,46.21Z,20,43.033333,0.383333
65250,62.43,10,43.05,0.4
65250,62.43,10,43.066667,0.416667
65250,62.43,10,43.033333,0.4
65250,62.43,10,43.05,0.383333
65250,62.43,10,43.083333,0.383333
65250,62.43,10,43.066667,0.383333
65250,62.43,10,43.016667,0.366667
65250,62.43,10,43.033333,0.45
65250,62.43,10,43.083333,0.4
65250,62.43,10,43.033333,0.383333
65250,43.29A,10,43.05,0.4
65250,43.29A,10,43.066667,0.416667
65250,43.29A,10,43.033333,0.4
65250,43.29A,10,43.05,0.383333
65250,43.29A,10,43.083333,0.383333
65250,43.29A,10,43.066667,0.383333
65250,43.29A,10,43.016667,0.366667
65250,43.29A,10,43.033333,0.45
65250,43.29A,10,43.083333,0.4
65250,43.29A,10,43.033333,0.383333
65250,42.99Z,10,43.05,0.4
65250,42.99Z,10,43.066667,0.416667
65250,42.99Z,10,43.033333,0.4
65250,42.99Z,10,43.05,0.383333
65250,42.99Z,10,43.083333,0.383333
65250,42.99Z,10,43.066667,0.383333
65250,42.99Z,10,43.016667,0.366667
65250,42.99Z,10,43.033333,0.45
65250,42.99Z,10,43.083333,0.4
65250,42.99Z,10,43.033333,0.383333
65250,31.02Z,10,43.05,0.4
65250,31.02Z,10,43.066667,0.416667
65250,31.02Z,10,43.033333,0.4
65250,31.02Z,10,43.05,0.383333
65250,31.02Z,10,43.083333,0.383333
65250,31.02Z,10,43.066667,0.383333
65250,31.02Z,10,43.016667,0.366667
65250,31.02Z,10,43.033333,0.45
65250,31.02Z,10,43.083333,0.4
65250,31.02Z,10,43.033333,0.383333
65250,01.50Z,60,43.05,0.4
65250,01.50Z,60,43.066667,0.416667
65250,01.50Z,60,43.033333,0.4
65250,01.50Z,60,43.05,0.383333
65250,01.50Z,60,43.083333,0.383333
65250,01.50Z,60,43.066667,0.383333
65250,01.50Z,60,43.016667,0.366667
65250,01.50Z,60,43.033333,0.45
65250,01.50Z,60,43.083333,0.4
65250,01.50Z,60,43.033333,0.383333
65250,11.05Z,10,43.05,0.4
65250,11.05Z,10,43.066667,0.416667
65250,11.05Z,10,43.033333,0.4
65250,11.05Z,10,43.05,0.383333
65250,11.05Z,10,43.083333,0.383333
65250,11.05Z,10,43.066667,0.383333
65250,11.05Z,10,43.016667,0.366667
65250,11.05Z,10,43.033333,0.45
65250,11.05Z,10,43.083333,0.4
65250,11.05Z,10,43.033333,0.383333
65250,47.71Z,20,43.05,0.4
65250,47.71Z,20,43.066667,0.416667
65250,47.71Z,20,43.033333,0.4
65250,47.71Z,20,43.05,0.383333
65250,47.71Z,20,43.083333,0.383333
65250,47.71Z,20,43.066667,0.383333
65250,47.71Z,20,43.016667,0.366667
65250,47.71Z,20,43.033333,0.45
65250,47.71Z,20,43.083333,0.4
