codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
65350,47.99A,168,43.266667,0.25
65350,47.99A,168,43.233333,0.183333
65350,47.99A,168,43.316667,0.166667
65350,47.99A,168,43.283333,0.133333
65350,47.99A,168,43.266667,0.166667
65350,47.99A,168,43.25,0.266667
65350,47.99A,168,43.266667,0.133333
65350,47.99A,168,43.283333,0.266667
65350,47.99A,168,43.3,0.216667
65350,47.99A,168,43.266667,0.2
65350,47.99A,168,43.3,0.15
65350,47.99A,168,43.266667,0.15
65350,47.99A,168,43.233333,0.166667
65350,47.99A,168,43.216667,0.166667
65350,47.99A,168,43.316667,0.216667
65350,47.99A,168,43.25,0.166667
65350,47.99A,168,43.233333,0.216667
65350,47.99A,168,43.3,0.133333
65350,47.99A,168,43.25,0.2
65350,47.99A,168,43.283333,0.166667
65350,47.99A,168,43.3,0.233333
65350,47.99A,168,43.316667,0.15
65350,47.99A,168,43.283333,0.2
65350,47.99A,168,43.266667,0.233333
65350,47.99A,168,43.25,0.133333
65350,47.99A,168,43.3,0.183333
65350,47.99A,168,43.266667,0.25
65350,47.99A,168,43.3,0.266667
65350,87.30A,28,43.266667,0.25
65350,87.30A,28,43.233333,0.183333
65350,87.30A,28,43.316667,0.166667
65350,87.30A,28,43.283333,0.133333
65350,87.30A,28,43.266667,0.166667
65350,87.30A,28,43.25,0.266667
65350,87.30A,28,43.266667,0.133333
65350,87.30A,28,43.283333,0.266667
65350,87.30A,28,43.3,0.216667
65350,87.30A,28,43.266667,0.2
65350,87.30A,28,43.3,0.15
65350,87.30A,28,43.266667,0.15
65350,87.30A,28,43.233333,0.166667
65350,87.30A,28,43.216667,0.166667
65350,87.30A,28,43.316667,0.216667
65350,87.30A,28,43.25,0.166667
65350,87.30A,28,43.233333,0.216667
65350,87.30A,28,43.3,0.133333
65350,87.30A,28,43.25,0.2
65350,87.30A,28,43.283333,0.166667
65350,87.30A,28,43.3,0.233333
65350,87.30A,28,43.316667,0.15
65350,87.30A,28,43.283333,0.2
65350,87.30A,28,43.266667,0.233333
65350,87.30A,28,43.25,0.133333
65350,87.30A,28,43.3,0.183333
65350,87.30A,28,43.266667,0.25
65350,87.30A,28,43.3,0.266667
65350,64.11,28,43.266667,0.25
65350,64.11,28,43.233333,0.183333
65350,64.11,28,43.316667,0.166667
65350,64.11,28,43.283333,0.133333
65350,64.11,28,43.266667,0.166667
65350,64.11,28,43.25,0.266667
65350,64.11,28,43.266667,0.133333
65350,64.11,28,43.283333,0.266667
65350,64.11,28,43.3,0.216667
65350,64.11,28,43.266667,0.2
65350,64.11,28,43.3,0.15
65350,64.11,28,43.266667,0.15
65350,64.11,28,43.233333,0.166667
65350,64.11,28,43.216667,0.166667
65350,64.11,28,43.316667,0.216667
65350,64.11,28,43.25,0.166667
65350,64.11,28,43.233333,0.216667
65350,64.11,28,43.3,0.133333
65350,64.11,28,43.25,0.2
