codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
65360,47.99A,9,43.166667,0.083333
65360,47.99A,9,43.183333,0.083333
65360,47.99A,9,43.15,0.1
65360,47.99A,9,43.15,0.116667
65360,47.99A,9,43.183333,0.1
65360,47.99A,9,43.166667,0.116667
65360,47.99A,9,43.166667,0.116667
65360,47.99A,9,43.166667,0.133333
65360,47.99A,9,43.183333,0.116667
65360,64.11,9,43.166667,0.083333
65360,64.11,9,43.183333,0.083333
65360,64.11,9,43.15,0.1
65360,64.11,9,43.15,0.116667
65360,64.11,9,43.183333,0.1
65360,64.11,9,43.166667,0.116667
65360,64.11,9,43.166667,0.116667
65360,64.11,9,43.166667,0.133333
65360,64.11,9,43.183333,0.116667
65360,01.11Z,36,43.166667,0.083333
65360,01.11Z,36,43.183333,0.083333
65360,01.11Z,36,43.15,0.1
65360,01.11Z,36,43.15,0.116667
65360,01.11Z,36,43.183333,0.1
65360,01.11Z,36,43.166667,0.116667
65360,01.11Z,36,43.166667,0.116667
65360,01.11Z,36,43.166667,0.133333
65360,01.11Z,36,43.183333,0.116667
65360,68.20A,27,43.166667,0.083333
65360,68.20A,27,43.183333,0.083333
65360,68.20A,27,43.15,0.1
65360,68.20A,27,43.15,0.116667
65360,68.20A,27,43.183333,0.1
65360,68.20A,27,43.166667,0.116667
65360,68.20A,27,43.166667,0.116667
65360,68.20A,27,43.166667,0.133333
65360,68.20A,27,43.183333,0.116667
65360,55.40,9,43.166667,0.083333
65360,55.40,9,43.183333,0.083333
65360,55.40,9,43.15,0.1
65360,55.40,9,43.15,0.116667
65360,55.40,9,43.183333,0.1
65360,55.40,9,43.166667,0.116667
65360,55.40,9,43.166667,0.116667
65360,55.40,9,43.166667,0.133333
65360,55.40,9,43.183333,0.116667
65360,32.99Z,9,43.166667,0.083333
65360,32.99Z,9,43.183333,0.083333
65360,32.99Z,9,43.15,0.1
65360,32.99Z,9,43.15,0.116667
65360,32.99Z,9,43.183333,0.1
65360,32.99Z,9,43.166667,0.116667
65360,32.99Z,9,43.166667,0.116667
65360,32.99Z,9,43.166667,0.133333
65360,32.99Z,9,43.183333,0.116667
65360,52.29A,9,43.166667,0.083333
65360,52.29A,9,43.183333,0.083333
65360,52.29A,9,43.15,0.1
65360,52.29A,9,43.15,0.116667
65360,52.29A,9,43.183333,0.1
65360,52.29A,9,43.166667,0.116667
65360,52.29A,9,43.166667,0.116667
65360,52.29A,9,43.166667,0.133333
65360,52.29A,9,43.183333,0.116667
65360,01.47Z,9,43.166667,0.083333
65360,01.47Z,9,43.183333,0.083333
65360,01.47Z,9,43.15,0.1
65360,01.47Z,9,43.15,0.116667
65360,01.47Z,9,43.183333,0.1
65360,01.47Z,9,43.166667,0.116667
65360,01.47Z,9,43.166667,0.116667
65360,01.47Z,9,43.166667,0.133333
65360,01.47Z,9,43.183333,0.116667
65360,43.34Z,9,43.166667,0.083333
65360,43.34Z,9,43.183333,0.083333
65360,43.34Z,9,43.15,0.1
65360,43.34Z,9,43.15,0.116667
65360,43.34Z,9,43.183333,0.1
65360,43.34Z,9,43.166667,0.116667
65360,43.34Z,9,43.166667,0.116667
65360,43.34Z,9,43.166667,0.133333
65360,43.34Z,9,43.183333,0.116667
65360,01.43Z,18,43.166667,0.083333
65360,01.43Z,18,43.183333,0.083333
65360,01.43Z,18,43.15,0.1
65360,01.43Z,18,43.15,0.116667
65360,01.43Z,18,43.183333,0.1
65360,01.43Z,18,43.166667,0.116667
65360,01.43Z,18,43.166667,0.116667
65360,01.43Z,18,43.166667,0.133333
65360,01.43Z,18,43.183333,0.116667
65360,86.90E,9,43.166667,0.083333
65360,86.90E,9,43.183333,0.083333
65360,86.90E,9,43.15,0.1
65360,86.90E,9,43.15,0.116667
65360,86.90E,9,43.183333,0.1
65360,86.90E,9,43.166667,0.116667
65360,86.90E,9,43.166667,0.116667
65360,86.90E,9,43.166667,0.133333
65360,86.90E,9,43.183333,0.116667
65360,90.01Z,9,43.166667,0.083333
65360,90.01Z,9,43.183333,0.083333
65360,90.01Z,9,43.15,0.1
65360,90.01Z,9,43.15,0.116667
65360,90.01Z,9,43.183333,0.1
65360,90.01Z,9,43.166667,0.116667
65360,90.01Z,9,43.166667,0.116667
65360,90.01Z,9,43.166667,0.133333
65360,90.01Z,9,43.183333,0.116667
65360,43.32B,9,43.166667,0.083333
65360,43.32B,9,43.183333,0.083333
65360,43.32B,9,43.15,0.1
65360,43.32B,9,43.15,0.116667
65360,43.32B,9,43.183333,0.1
65360,43.32B,9,43.166667,0.116667
65360,43.32B,9,43.166667,0.116667
65360,43.32B,9,43.166667,0.133333
65360,43.32B,9,43.183333,0.116667
65360,56.10C,18,43.166667,0.083333
65360,56.10C,18,43.183333,0.083333
65360,56.10C,18,43.15,0.1
65360,56.10C,18,43.15,0.116667
65360,56.10C,18,43.183333,0.1
