codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
66170,41.10A,4,42.683333,2.733333
66170,41.10A,4,42.683333,2.716667
66170,41.10A,4,42.7,2.666667
66170,41.10A,4,42.7,2.7
66170,90.13,4,42.683333,2.733333
66170,90.13,4,42.683333,2.716667
66170,90.13,4,42.7,2.666667
66170,90.13,4,42.7,2.7
66170,92.3A,4,42.683333,2.733333
66170,92.3A,4,42.683333,2.716667
66170,92.3A,4,42.7,2.666667
66170,92.3A,4,42.7,2.7
66170,68.20A,16,42.683333,2.733333
66170,68.20A,16,42.683333,2.716667
66170,68.20A,16,42.7,2.666667
66170,68.20A,16,42.7,2.7
66170,64.20Z,8,42.683333,2.733333
66170,64.20Z,8,42.683333,2.716667
66170,64.20Z,8,42.7,2.666667
66170,64.20Z,8,42.7,2.7
66170,90.01Z,8,42.683333,2.733333
66170,90.01Z,8,42.683333,2.716667
66170,90.01Z,8,42.7,2.666667
66170,90.01Z,8,42.7,2.7
66170,01.43Z,4,42.683333,2.733333
66170,01.43Z,4,42.683333,2.716667
66170,01.43Z,4,42.7,2.666667
66170,01.43Z,4,42.7,2.7
66170,82.11Z,4,42.683333,2.733333
66170,82.11Z,4,42.683333,2.716667
66170,82.11Z,4,42.7,2.666667
66170,82.11Z,4,42.7,2.7
66170,55.4C,4,42.683333,2.733333
66170,55.4C,4,42.683333,2.716667
66170,55.4C,4,42.7,2.666667
66170,55.4C,4,42.7,2.7
66170,50.4Z,4,42.683333,2.733333
66170,50.4Z,4,42.683333,2.716667
66170,50.4Z,4,42.7,2.666667
66170,50.4Z,4,42.7,2.7
66170,84.11Z,4,42.683333,2.733333
66170,84.11Z,4,42.683333,2.716667
66170,84.11Z,4,42.7,2.666667
66170,84.11Z,4,42.7,2.7
66170,01.21Z,32,42.683333,2.733333
66170,01.21Z,32,42.683333,2.716667
66170,01.21Z,32,42.7,2.666667
66170,01.21Z,32,42.7,2.7
66170,66.30Z,4,42.683333,2.733333
66170,66.30Z,4,42.683333,2.716667
66170,66.30Z,4,42.7,2.666667
66170,66.30Z,4,42.7,2.7
66170,43.12B,4,42.683333,2.733333
66170,43.12B,4,42.683333,2.716667
66170,43.12B,4,42.7,2.666667
66170,43.12B,4,42.7,2.7
66170,55.20Z,4,42.683333,2.733333
66170,55.20Z,4,42.683333,2.716667
66170,55.20Z,4,42.7,2.666667
66170,55.20Z,4,42.7,2.7
66170,93.12Z,8,42.683333,2.733333
66170,93.12Z,8,42.683333,2.716667
66170,93.12Z,8,42.7,2.666667
66170,93.12Z,8,42.7,2.7
66170,47.11C,4,42.683333,2.733333
66170,47.11C,4,42.683333,2.716667
66170,47.11C,4,42.7,2.666667
66170,47.11C,4,42.7,2.7
66170,64.19Z,4,42.683333,2.733333
66170,64.19Z,4,42.683333,2.716667
66170,64.19Z,4,42.7,2.666667
66170,64.19Z,4,42.7,2.7
66170,46.38B,4,42.683333,2.733333
66170,46.38B,4,42.683333,2.716667
