codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
66230,47.99A,24,42.4,2.566667
66230,47.99A,24,42.4,2.483333
66230,47.99A,24,42.416667,2.55
66230,47.99A,24,42.366667,2.516667
66230,70.3A,8,42.4,2.566667
66230,70.3A,8,42.4,2.483333
66230,70.3A,8,42.416667,2.55
66230,70.3A,8,42.366667,2.516667
66230,64.11,12,42.4,2.566667
66230,64.11,12,42.4,2.483333
66230,64.11,12,42.416667,2.55
66230,64.11,12,42.366667,2.516667
66230,65.12Z,4,42.4,2.566667
66230,65.12Z,4,42.4,2.483333
66230,65.12Z,4,42.416667,2.55
66230,65.12Z,4,42.366667,2.516667
66230,55.3A,20,42.4,2.566667
66230,55.3A,20,42.4,2.483333
66230,55.3A,20,42.416667,2.55
66230,55.3A,20,42.366667,2.516667
66230,45.1B,4,42.4,2.566667
66230,45.1B,4,42.4,2.483333
66230,45.1B,4,42.416667,2.55
66230,45.1B,4,42.366667,2.516667
66230,43.22A,40,42.4,2.566667
66230,43.22A,40,42.4,2.483333
66230,43.22A,40,42.416667,2.55
66230,43.22A,40,42.366667,2.516667
66230,47.04,8,42.4,2.566667
66230,47.04,8,42.4,2.483333
66230,47.04,8,42.416667,2.55
66230,47.04,8,42.366667,2.516667
66230,74.09,4,42.4,2.566667
66230,74.09,4,42.4,2.483333
66230,74.09,4,42.416667,2.55
66230,74.09,4,42.366667,2.516667
66230,51.9B,4,42.4,2.566667
66230,51.9B,4,42.4,2.483333
66230,51.9B,4,42.416667,2.55
66230,51.9B,4,42.366667,2.516667
66230,01.1F,64,42.4,2.566667
66230,01.1F,64,42.4,2.483333
66230,01.1F,64,42.416667,2.55
66230,01.1F,64,42.366667,2.516667
66230,47.79Z,8,42.4,2.566667
66230,47.79Z,8,42.4,2.483333
66230,47.79Z,8,42.416667,2.55
66230,47.79Z,8,42.366667,2.516667
66230,49.41A,4,42.4,2.566667
66230,49.41A,4,42.4,2.483333
66230,49.41A,4,42.416667,2.55
66230,49.41A,4,42.366667,2.516667
66230,77.01,8,42.4,2.566667
66230,77.01,8,42.4,2.483333
66230,77.01,8,42.416667,2.55
66230,77.01,8,42.366667,2.516667
66230,95.29Z,12,42.4,2.566667
66230,95.29Z,12,42.4,2.483333
66230,95.29Z,12,42.416667,2.55
66230,95.29Z,12,42.366667,2.516667
66230,92.3A,16,42.4,2.566667
66230,92.3A,16,42.4,2.483333
66230,92.3A,16,42.416667,2.55
66230,92.3A,16,42.366667,2.516667
66230,52.4Z,4,42.4,2.566667
66230,52.4Z,4,42.4,2.483333
66230,52.4Z,4,42.416667,2.55
66230,52.4Z,4,42.366667,2.516667
66230,68.20A,60,42.4,2.566667
66230,68.20A,60,42.4,2.483333
66230,68.20A,60,42.416667,2.55
66230,68.20A,60,42.366667,2.516667
66230,55.40,8,42.4,2.566667
66230,55.40,8,42.4,2.483333
66230,55.40,8,42.416667,2.55
66230,55.40,8,42.366667,2.516667
66230,64.49,8,42.4,2.566667
66230,64.49,8,42.4,2.483333
66230,64.49,8,42.416667,2.55
66230,64.49,8,42.366667,2.516667
66230,85.1E,4,42.4,2.566667
66230,85.1E,4,42.4,2.483333
66230,85.1E,4,42.416667,2.55
66230,85.1E,4,42.366667,2.516667
66230,51.3A,8,42.4,2.566667
66230,51.3A,8,42.4,2.483333
66230,51.3A,8,42.416667,2.55
66230,51.3A,8,42.366667,2.516667
66230,60.2E,12,42.4,2.566667
66230,60.2E,12,42.4,2.483333
66230,60.2E,12,42.416667,2.55
66230,60.2E,12,42.366667,2.516667
66230,45.3E,4,42.4,2.566667
66230,45.3E,4,42.4,2.483333
66230,45.3E,4,42.416667,2.55
66230,45.3E,4,42.366667,2.516667
66230,49.32Z,4,42.4,2.566667
66230,49.32Z,4,42.4,2.483333
66230,49.32Z,4,42.416667,2.55
66230,49.32Z,4,42.366667,2.516667
66230,45.2R,4,42.4,2.566667
66230,45.2R,4,42.4,2.483333
66230,45.2R,4,42.416667,2.55
66230,45.2R,4,42.366667,2.516667
66230,55.60,32,42.4,2.566667
66230,55.60,32,42.4,2.483333
66230,55.60,32,42.416667,2.55
66230,55.60,32,42.366667,2.516667
66230,56.30Z,20,42.4,2.566667
66230,56.30Z,20,42.4,2.483333
66230,56.30Z,20,42.416667,2.55
66230,56.30Z,20,42.366667,2.516667
66230,32.99Z,12,42.4,2.566667
66230,32.99Z,12,42.4,2.483333
66230,32.99Z,12,42.416667,2.55
66230,32.99Z,12,42.366667,2.516667
66230,52.21Z,8,42.4,2.566667
66230,52.21Z,8,42.4,2.483333
66230,52.21Z,8,42.416667,2.55
66230,52.21Z,8,42.366667,2.516667
66230,36.00Z,8,42.4,2.566667
66230,36.00Z,8,42.4,2.483333
66230,36.00Z,8,42.416667,2.55
66230,36.00Z,8,42.366667,2.516667
66230,56.21Z,8,42.4,2.566667
66230,56.21Z,8,42.4,2.483333
66230,56.21Z,8,42.416667,2.55
66230,56.21Z,8,42.366667,2.516667
66230,95.11Z,8,42.4,2.566667
66230,95.11Z,8,42.4,2.483333
66230,95.11Z,8,42.416667,2.55
66230,95.11Z,8,42.366667,2.516667
66230,62.11,16,42.4,2.566667
66230,62.11,16,42.4,2.483333
66230,62.11,16,42.416667,2.55
66230,62.11,16,42.366667,2.516667
66230,85.1C,4,42.4,2.566667
66230,85.1C,4,42.4,2.483333
66230,85.1C,4,42.416667,2.55
66230,85.1C,4,42.366667,2.516667
66230,50.2Z,4,42.4,2.566667
66230,50.2Z,4,42.4,2.483333
66230,50.2Z,4,42.416667,2.55
66230,50.2Z,4,42.366667,2.516667
66230,45.4J,16,42.4,2.566667
66230,45.4J,16,42.4,2.483333
66230,45.4J,16,42.416667,2.55
66230,45.4J,16,42.366667,2.516667
66230,73.20Z,4,42.4,2.566667
66230,73.20Z,4,42.4,2.483333
66230,73.20Z,4,42.416667,2.55
66230,73.20Z,4,42.366667,2.516667
66230,52.4Y,4,42.4,2.566667
66230,52.4Y,4,42.4,2.483333
66230,52.4Y,4,42.416667,2.55
66230,52.4Y,4,42.366667,2.516667
66230,43.34Z,40,42.4,2.566667
66230,43.34Z,40,42.4,2.483333
66230,43.34Z,40,42.416667,2.55
66230,43.34Z,40,42.366667,2.516667
66230,93.19Z,4,42.4,2.566667
66230,93.19Z,4,42.4,2.483333
66230,93.19Z,4,42.416667,2.55
66230,93.19Z,4,42.366667,2.516667
66230,36.4Z,4,42.4,2.566667
66230,36.4Z,4,42.4,2.483333
66230,36.4Z,4,42.416667,2.55
66230,36.4Z,4,42.366667,2.516667
66230,93.0N,4,42.4,2.566667
66230,93.0N,4,42.4,2.483333
66230,93.0N,4,42.416667,2.55
66230,93.0N,4,42.366667,2.516667
66230,64.20Z,8,42.4,2.566667
66230,64.20Z,8,42.4,2.483333
66230,64.20Z,8,42.416667,2.55
66230,64.20Z,8,42.366667,2.516667
66230,87.10A,4,42.4,2.566667
66230,87.10A,4,42.4,2.483333
66230,87.10A,4,42.416667,2.55
66230,87.10A,4,42.366667,2.516667
66230,25.12Z,4,42.4,2.566667
66230,25.12Z,4,42.4,2.483333
66230,25.12Z,4,42.416667,2.55
66230,25.12Z,4,42.366667,2.516667
66230,86.90E,108,42.4,2.566667
66230,86.90E,108,42.4,2.483333
66230,86.90E,108,42.416667,2.55
66230,86.90E,108,42.366667,2.516667
66230,90.01Z,24,42.4,2.566667
66230,90.01Z,24,42.4,2.483333
66230,90.01Z,24,42.416667,2.55
66230,90.01Z,24,42.366667,2.516667
66230,38.11Z,4,42.4,2.566667
66230,38.11Z,4,42.4,2.483333
66230,38.11Z,4,42.416667,2.55
66230,38.11Z,4,42.366667,2.516667
66230,82.20Z,4,42.4,2.566667
66230,82.20Z,4,42.4,2.483333
66230,82.20Z,4,42.416667,2.55
66230,82.20Z,4,42.366667,2.516667
66230,43.32B,4,42.4,2.566667
66230,43.32B,4,42.4,2.483333
66230,43.32B,4,42.416667,2.55
66230,43.32B,4,42.366667,2.516667
66230,94.91Z,12,42.4,2.566667
66230,94.91Z,12,42.4,2.483333
66230,94.91Z,12,42.416667,2.55
66230,94.91Z,12,42.366667,2.516667
66230,77.12Z,4,42.4,2.566667
66230,77.12Z,4,42.4,2.483333
66230,77.12Z,4,42.416667,2.55
66230,77.12Z,4,42.366667,2.516667
66230,56.10C,68,42.4,2.566667
66230,56.10C,68,42.4,2.483333
66230,56.10C,68,42.416667,2.55
66230,56.10C,68,42.366667,2.516667
66230,74.10Z,16,42.4,2.566667
66230,74.10Z,16,42.4,2.483333
66230,74.10Z,16,42.416667,2.55
66230,74.10Z,16,42.366667,2.516667
66230,52.4R,4,42.4,2.566667
66230,52.4R,4,42.4,2.483333
66230,52.4R,4,42.416667,2.55
66230,52.4R,4,42.366667,2.516667
66230,01.16,8,42.4,2.566667
66230,01.16,8,42.4,2.483333
66230,01.16,8,42.416667,2.55
66230,01.16,8,42.366667,2.516667
66230,74.90A,8,42.4,2.566667
66230,74.90A,8,42.4,2.483333
66230,74.90A,8,42.416667,2.55
66230,74.90A,8,42.366667,2.516667
66230,06.01,4,42.4,2.566667
66230,06.01,4,42.4,2.483333
66230,06.01,4,42.416667,2.55
66230,06.01,4,42.366667,2.516667
66230,81.30Z,20,42.4,2.566667
66230,81.30Z,20,42.4,2.483333
66230,81.30Z,20,42.416667,2.55
66230,81.30Z,20,42.366667,2.516667
66230,01.4B,12,42.4,2.566667
66230,01.4B,12,42.4,2.483333
66230,01.4B,12,42.416667,2.55
66230,01.4B,12,42.366667,2.516667
66230,84.11Z,36,42.4,2.566667
66230,84.11Z,36,42.4,2.483333
66230,84.11Z,36,42.416667,2.55
66230,84.11Z,36,42.366667,2.516667
66230,42.21Z,4,42.4,2.566667
66230,42.21Z,4,42.4,2.483333
66230,42.21Z,4,42.416667,2.55
66230,42.21Z,4,42.366667,2.516667
66230,50.1Z,8,42.4,2.566667
66230,50.1Z,8,42.4,2.483333
66230,50.1Z,8,42.416667,2.55
66230,50.1Z,8,42.366667,2.516667
66230,52.7C,4,42.4,2.566667
66230,52.7C,4,42.4,2.483333
66230,52.7C,4,42.416667,2.55
66230,52.7C,4,42.366667,2.516667
66230,29.13,4,42.4,2.566667
66230,29.13,4,42.4,2.483333
66230,29.13,4,42.416667,2.55
66230,29.13,4,42.366667,2.516667
66230,77.08,4,42.4,2.566667
66230,77.08,4,42.4,2.483333
66230,77.08,4,42.416667,2.55
66230,77.08,4,42.366667,2.516667
66230,01.21Z,88,42.4,2.566667
66230,01.21Z,88,42.4,2.483333
66230,01.21Z,88,42.416667,2.55
66230,01.21Z,88,42.366667,2.516667
66230,10.13B,4,42.4,2.566667
66230,10.13B,4,42.4,2.483333
66230,10.13B,4,42.416667,2.55
66230,10.13B,4,42.366667,2.516667
66230,"",8,42.4,2.566667
66230,"",8,42.4,2.483333
66230,"",8,42.416667,2.55
66230,"",8,42.366667,2.516667
66230,45.4D,8,42.4,2.566667
66230,45.4D,8,42.4,2.483333
66230,45.4D,8,42.416667,2.55
66230,45.4D,8,42.366667,2.516667
66230,64.45,4,42.4,2.566667
66230,64.45,4,42.4,2.483333
66230,64.45,4,42.416667,2.55
66230,64.45,4,42.366667,2.516667
66230,70.2B,4,42.4,2.566667
66230,70.2B,4,42.4,2.483333
66230,70.2B,4,42.416667,2.55
66230,70.2B,4,42.366667,2.516667
66230,85.1G,16,42.4,2.566667
66230,85.1G,16,42.4,2.483333
66230,85.1G,16,42.416667,2.55
66230,85.1G,16,42.366667,2.516667
66230,17.21B,4,42.4,2.566667
66230,17.21B,4,42.4,2.483333
66230,17.21B,4,42.416667,2.55
66230,17.21B,4,42.366667,2.516667
66230,77.14,4,42.4,2.566667
66230,77.14,4,42.4,2.483333
66230,77.14,4,42.416667,2.55
66230,77.14,4,42.366667,2.516667
66230,01.3Z,8,42.4,2.566667
66230,01.3Z,8,42.4,2.483333
66230,01.3Z,8,42.416667,2.55
66230,01.3Z,8,42.366667,2.516667
66230,43.39Z,20,42.4,2.566667
66230,43.39Z,20,42.4,2.483333
66230,43.39Z,20,42.416667,2.55
66230,43.39Z,20,42.366667,2.516667
66230,55.20Z,4,42.4,2.566667
66230,55.20Z,4,42.4,2.483333
66230,55.20Z,4,42.416667,2.55
66230,55.20Z,4,42.366667,2.516667
