codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
67116,47.99A,8,48.65,7.75
67116,64.11,1,48.65,7.75
67116,55.3A,2,48.65,7.75
67116,47.04,1,48.65,7.75
67116,01.11Z,2,48.65,7.75
67116,68.20A,3,48.65,7.75
67116,64.49,1,48.65,7.75
67116,60.2E,1,48.65,7.75
67116,55.60,1,48.65,7.75
67116,86.22A,1,48.65,7.75
67116,49.01,1,48.65,7.75
67116,43.34Z,3,48.65,7.75
67116,64.20Z,2,48.65,7.75
67116,46.73B,1,48.65,7.75
67116,94.91Z,1,48.65,7.75
67116,33.20C,1,48.65,7.75
67116,81.30Z,3,48.65,7.75
67116,84.11Z,2,48.65,7.75
67116,01.21Z,1,48.65,7.75
67116,55.20Z,1,48.65,7.75
67116,43.22B,2,48.65,7.75
67116,43.32A,2,48.65,7.75
67116,57.02,1,48.65,7.75
67116,64.19Z,2,48.65,7.75
67116,52.6E,1,48.65,7.75
67116,43.33Z,1,48.65,7.75
67116,56.10A,3,48.65,7.75
67116,86.90D,1,48.65,7.75
67116,96.02A,1,48.65,7.75
67116,82.19Z,1,48.65,7.75
67116,31.09B,1,48.65,7.75
67116,52.7D,1,48.65,7.75
67116,43.91B,2,48.65,7.75
67116,94.99Z,3,48.65,7.75
67116,82.99Z,1,48.65,7.75
67116,47.59A,1,48.65,7.75
67116,67.01,1,48.65,7.75
67116,46.63Z,1,48.65,7.75
67116,00.00Z,1,48.65,7.75
67116,42.99Z,1,48.65,7.75
67116,01.50Z,3,48.65,7.75
67116,11.06Z,1,48.65,7.75
67116,84.12Z,1,48.65,7.75
67116,81.21,2,48.65,7.75
67116,87.90A,1,48.65,7.75
67116,91.3E,1,48.65,7.75
67116,43.31Z,2,48.65,7.75
67116,70.2C,3,48.65,7.75
67116,47.78B,1,48.65,7.75
67116,71.11Z,1,48.65,7.75
67116,08.01,1,48.65,7.75
67116,79.01,1,48.65,7.75
67116,68.31Z,3,48.65,7.75
67116,85.59B,1,48.65,7.75
67116,43.99C,4,48.65,7.75
67116,52.5Z,1,48.65,7.75
67116,10.71C,1,48.65,7.75
67116,41.20A,1,48.65,7.75
67116,96.09Z,1,48.65,7.75
67116,81.21Z,1,48.65,7.75
67116,01.70Z,1,48.65,7.75
67116,52.4C,1,48.65,7.75
67116,89.03,1,48.65,7.75
67116,55.1A,1,48.65,7.75
67116,41.10D,3,48.65,7.75
67116,01.1A,4,48.65,7.75
67116,85.1J,2,48.65,7.75
67116,68.10Z,4,48.65,7.75
67116,70.22Z,3,48.65,7.75
67116,88.99B,2,48.65,7.75
67116,93.29Z,1,48.65,7.75
67116,69.10Z,1,48.65,7.75
67116,47.89Z,1,48.65,7.75
67116,85.51Z,2,48.65,7.75
67116,45.2V,1,48.65,7.75
67116,43.21A,1,48.65,7.75
67116,74.90B,1,48.65,7.75
67116,71.12B,3,48.65,7.75
67116,55.72,1,48.65,7.75
67116,68.20B,21,48.65,7.75
67116,60.2L,1,48.65,7.75
