codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
67440,47.99A,56,"",""
67440,47.99A,56,"",""
67440,47.99A,56,48.666667,7.383333
67440,47.99A,56,"",""
67440,47.99A,56,48.666667,7.366667
67440,47.99A,56,48.683333,7.4
67440,47.99A,56,48.683333,7.316667
67440,47.99A,56,48.683333,7.383333
67440,47.99A,56,48.7,7.416667
67440,47.99A,56,48.683333,7.45
67440,47.99A,56,"",""
67440,47.99A,56,48.666667,7.333333
67440,47.99A,56,48.666667,7.366667
67440,47.99A,56,48.666667,7.35
67440,55.3A,42,"",""
67440,55.3A,42,"",""
67440,55.3A,42,48.666667,7.383333
67440,55.3A,42,"",""
67440,55.3A,42,48.666667,7.366667
67440,55.3A,42,48.683333,7.4
67440,55.3A,42,48.683333,7.316667
67440,55.3A,42,48.683333,7.383333
67440,55.3A,42,48.7,7.416667
67440,55.3A,42,48.683333,7.45
67440,55.3A,42,"",""
67440,55.3A,42,48.666667,7.333333
67440,55.3A,42,48.666667,7.366667
67440,55.3A,42,48.666667,7.35
67440,45.1B,14,"",""
67440,45.1B,14,"",""
67440,45.1B,14,48.666667,7.383333
67440,45.1B,14,"",""
67440,45.1B,14,48.666667,7.366667
67440,45.1B,14,48.683333,7.4
67440,45.1B,14,48.683333,7.316667
67440,45.1B,14,48.683333,7.383333
67440,45.1B,14,48.7,7.416667
67440,45.1B,14,48.683333,7.45
67440,45.1B,14,"",""
67440,45.1B,14,48.666667,7.333333
67440,45.1B,14,48.666667,7.366667
67440,45.1B,14,48.666667,7.35
67440,43.22A,14,"",""
67440,43.22A,14,"",""
67440,43.22A,14,48.666667,7.383333
67440,43.22A,14,"",""
67440,43.22A,14,48.666667,7.366667
67440,43.22A,14,48.683333,7.4
67440,43.22A,14,48.683333,7.316667
67440,43.22A,14,48.683333,7.383333
67440,43.22A,14,48.7,7.416667
67440,43.22A,14,48.683333,7.45
67440,43.22A,14,"",""
67440,43.22A,14,48.666667,7.333333
67440,43.22A,14,48.666667,7.366667
67440,43.22A,14,48.666667,7.35
67440,01.11Z,224,"",""
67440,01.11Z,224,"",""
67440,01.11Z,224,48.666667,7.383333
67440,01.11Z,224,"",""
67440,01.11Z,224,48.666667,7.366667
67440,01.11Z,224,48.683333,7.4
67440,01.11Z,224,48.683333,7.316667
67440,01.11Z,224,48.683333,7.383333
67440,01.11Z,224,48.7,7.416667
67440,01.11Z,224,48.683333,7.45
67440,01.11Z,224,"",""
67440,01.11Z,224,48.666667,7.333333
67440,01.11Z,224,48.666667,7.366667
67440,01.11Z,224,48.666667,7.35
67440,00.97,14,"",""
67440,00.97,14,"",""
67440,00.97,14,48.666667,7.383333
67440,00.97,14,"",""
67440,00.97,14,48.666667,7.366667
67440,00.97,14,48.683333,7.4
67440,00.97,14,48.683333,7.316667
67440,00.97,14,48.683333,7.383333
67440,00.97,14,48.7,7.416667
67440,00.97,14,48.683333,7.45
67440,00.97,14,"",""
67440,00.97,14,48.666667,7.333333
67440,00.97,14,48.666667,7.366667
67440,00.97,14,48.666667,7.35
67440,26.4B,14,"",""
67440,26.4B,14,"",""
67440,26.4B,14,48.666667,7.383333
67440,26.4B,14,"",""
67440,26.4B,14,48.666667,7.366667
67440,26.4B,14,48.683333,7.4
67440,26.4B,14,48.683333,7.316667
67440,26.4B,14,48.683333,7.383333
67440,26.4B,14,48.7,7.416667
67440,26.4B,14,48.683333,7.45
67440,26.4B,14,"",""
67440,26.4B,14,48.666667,7.333333
67440,26.4B,14,48.666667,7.366667
67440,26.4B,14,48.666667,7.35
67440,46.23Z,14,"",""
67440,46.23Z,14,"",""
67440,46.23Z,14,48.666667,7.383333
67440,46.23Z,14,"",""
67440,46.23Z,14,48.666667,7.366667
67440,46.23Z,14,48.683333,7.4
67440,46.23Z,14,48.683333,7.316667
67440,46.23Z,14,48.683333,7.383333
67440,46.23Z,14,48.7,7.416667
67440,46.23Z,14,48.683333,7.45
67440,46.23Z,14,"",""
67440,46.23Z,14,48.666667,7.333333
67440,46.23Z,14,48.666667,7.366667
67440,46.23Z,14,48.666667,7.35
67440,62.11,14,"",""
67440,62.11,14,"",""
67440,62.11,14,48.666667,7.383333
67440,62.11,14,"",""
67440,62.11,14,48.666667,7.366667
67440,62.11,14,48.683333,7.4
67440,62.11,14,48.683333,7.316667
67440,62.11,14,48.683333,7.383333
67440,62.11,14,48.7,7.416667
67440,62.11,14,48.683333,7.45
67440,62.11,14,"",""
67440,62.11,14,48.666667,7.333333
67440,62.11,14,48.666667,7.366667
67440,62.11,14,48.666667,7.35
67440,54.08,14,"",""
67440,54.08,14,"",""
67440,54.08,14,48.666667,7.383333
67440,54.08,14,"",""
67440,54.08,14,48.666667,7.366667
