codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
68125,47.99A,4,48.116667,7.383333
68125,45.1B,1,48.116667,7.383333
68125,01.11Z,2,48.116667,7.383333
68125,92.3A,1,48.116667,7.383333
68125,68.20A,2,48.116667,7.383333
68125,55.40,1,48.116667,7.383333
68125,46.49Z,1,48.116667,7.383333
68125,50.2Z,1,48.116667,7.383333
68125,43.34Z,1,48.116667,7.383333
68125,93.0N,2,48.116667,7.383333
68125,52.29B,2,48.116667,7.383333
68125,38.11Z,1,48.116667,7.383333
68125,77.12Z,1,48.116667,7.383333
68125,74.90A,1,48.116667,7.383333
68125,33.20C,2,48.116667,7.383333
68125,82.11Z,1,48.116667,7.383333
68125,84.11Z,4,48.116667,7.383333
68125,63.4B,1,48.116667,7.383333
68125,70.2B,1,48.116667,7.383333
68125,93.12Z,1,48.116667,7.383333
68125,43.32A,1,48.116667,7.383333
68125,38.32Z,2,48.116667,7.383333
68125,70.1F,2,48.116667,7.383333
68125,36.1G,1,48.116667,7.383333
68125,64.19Z,1,48.116667,7.383333
68125,43.33Z,1,48.116667,7.383333
68125,01.80,1,48.116667,7.383333
68125,86.90D,2,48.116667,7.383333
68125,96.02A,1,48.116667,7.383333
68125,46.19B,3,48.116667,7.383333
68125,43.91B,1,48.116667,7.383333
68125,94.99Z,3,48.116667,7.383333
68125,82.99Z,1,48.116667,7.383333
68125,45.3F,1,48.116667,7.383333
68125,46.16Z,1,48.116667,7.383333
68125,02.0B,1,48.116667,7.383333
68125,47.78C,1,48.116667,7.383333
68125,55.73,2,48.116667,7.383333
68125,42.99Z,1,48.116667,7.383333
68125,01.50Z,1,48.116667,7.383333
68125,81.21,1,48.116667,7.383333
68125,70.2C,2,48.116667,7.383333
68125,46.39B,1,48.116667,7.383333
68125,46.90Z,1,48.116667,7.383333
68125,47.78B,1,48.116667,7.383333
68125,96.02B,1,48.116667,7.383333
68125,88.10A,1,48.116667,7.383333
68125,49.41B,1,48.116667,7.383333
68125,33.20B,1,48.116667,7.383333
68125,96.09Z,7,48.116667,7.383333
68125,81.21Z,2,48.116667,7.383333
68125,74.2C,1,48.116667,7.383333
68125,35.11Z,1,48.116667,7.383333
68125,89.03,1,48.116667,7.383333
68125,16.10A,1,48.116667,7.383333
68125,68.10Z,1,48.116667,7.383333
68125,70.22Z,5,48.116667,7.383333
68125,01.62Z,1,48.116667,7.383333
68125,58.14Z,1,48.116667,7.383333
68125,51.4A,1,48.116667,7.383333
68125,52.10B,1,48.116667,7.383333
68125,93.29Z,1,48.116667,7.383333
68125,73.11Z,2,48.116667,7.383333
68125,47.89Z,1,48.116667,7.383333
68125,45.2V,2,48.116667,7.383333
68125,85.51Z,1,48.116667,7.383333
68125,60.2M,3,48.116667,7.383333
68125,71.12B,2,48.116667,7.383333
68125,68.20B,16,48.116667,7.383333
