codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
68160,47.99A,6,48.25,7.183333
68160,47.99A,6,48.266667,7.216667
68160,43.22A,2,48.25,7.183333
68160,43.22A,2,48.266667,7.216667
68160,01.11Z,16,48.25,7.183333
68160,01.11Z,16,48.266667,7.216667
68160,46.23Z,2,48.25,7.183333
68160,46.23Z,2,48.266667,7.216667
68160,68.20A,4,48.25,7.183333
68160,68.20A,4,48.266667,7.216667
68160,55.40,2,48.25,7.183333
68160,55.40,2,48.266667,7.216667
68160,45.2R,2,48.25,7.183333
68160,45.2R,2,48.266667,7.216667
68160,56.30Z,2,48.25,7.183333
68160,56.30Z,2,48.266667,7.216667
68160,56.21Z,2,48.25,7.183333
68160,56.21Z,2,48.266667,7.216667
68160,52.4Y,2,48.25,7.183333
68160,52.4Y,2,48.266667,7.216667
68160,86.90E,4,48.25,7.183333
68160,86.90E,4,48.266667,7.216667
68160,43.32B,2,48.25,7.183333
68160,43.32B,2,48.266667,7.216667
68160,94.91Z,2,48.25,7.183333
68160,94.91Z,2,48.266667,7.216667
68160,56.10C,2,48.25,7.183333
68160,56.10C,2,48.266667,7.216667
68160,74.90A,4,48.25,7.183333
68160,74.90A,4,48.266667,7.216667
68160,81.30Z,4,48.25,7.183333
68160,81.30Z,4,48.266667,7.216667
68160,84.11Z,8,48.25,7.183333
68160,84.11Z,8,48.266667,7.216667
68160,43.32A,2,48.25,7.183333
68160,43.32A,2,48.266667,7.216667
68160,65.06,2,48.25,7.183333
68160,65.06,2,48.266667,7.216667
68160,64.19Z,2,48.25,7.183333
68160,64.19Z,2,48.266667,7.216667
68160,13.92Z,2,48.25,7.183333
68160,13.92Z,2,48.266667,7.216667
68160,22.2J,2,48.25,7.183333
68160,22.2J,2,48.266667,7.216667
68160,97.22,2,48.25,7.183333
68160,97.22,2,48.266667,7.216667
68160,47.22Z,2,48.25,7.183333
68160,47.22Z,2,48.266667,7.216667
68160,96.02A,6,48.25,7.183333
68160,96.02A,6,48.266667,7.216667
68160,82.19Z,2,48.25,7.183333
68160,82.19Z,2,48.266667,7.216667
68160,46.19B,4,48.25,7.183333
68160,46.19B,4,48.266667,7.216667
