codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
68230,47.99A,24,48.066667,7.233333
68230,47.99A,24,48.05,7.2
68230,47.99A,24,48,7.166667
68230,47.99A,24,48.066667,7.233333
68230,47.99A,24,48.083333,7.283333
68230,47.99A,24,48.033333,7.2
68230,47.99A,24,48.1,7.283333
68230,47.99A,24,48.1,7.283333
68230,45.20B,8,48.066667,7.233333
68230,45.20B,8,48.05,7.2
68230,45.20B,8,48,7.166667
68230,45.20B,8,48.066667,7.233333
68230,45.20B,8,48.083333,7.283333
68230,45.20B,8,48.033333,7.2
68230,45.20B,8,48.1,7.283333
68230,45.20B,8,48.1,7.283333
68230,02.10Z,8,48.066667,7.233333
68230,02.10Z,8,48.05,7.2
68230,02.10Z,8,48,7.166667
68230,02.10Z,8,48.066667,7.233333
68230,02.10Z,8,48.083333,7.283333
68230,02.10Z,8,48.033333,7.2
68230,02.10Z,8,48.1,7.283333
68230,02.10Z,8,48.1,7.283333
68230,01.11Z,184,48.066667,7.233333
68230,01.11Z,184,48.05,7.2
68230,01.11Z,184,48,7.166667
68230,01.11Z,184,48.066667,7.233333
68230,01.11Z,184,48.083333,7.283333
68230,01.11Z,184,48.033333,7.2
68230,01.11Z,184,48.1,7.283333
68230,01.11Z,184,48.1,7.283333
68230,00.97,16,48.066667,7.233333
68230,00.97,16,48.05,7.2
68230,00.97,16,48,7.166667
68230,00.97,16,48.066667,7.233333
68230,00.97,16,48.083333,7.283333
68230,00.97,16,48.033333,7.2
68230,00.97,16,48.1,7.283333
68230,00.97,16,48.1,7.283333
68230,95.29Z,8,48.066667,7.233333
68230,95.29Z,8,48.05,7.2
68230,95.29Z,8,48,7.166667
68230,95.29Z,8,48.066667,7.233333
68230,95.29Z,8,48.083333,7.283333
68230,95.29Z,8,48.033333,7.2
68230,95.29Z,8,48.1,7.283333
68230,95.29Z,8,48.1,7.283333
68230,49.32Z,8,48.066667,7.233333
68230,49.32Z,8,48.05,7.2
68230,49.32Z,8,48,7.166667
68230,49.32Z,8,48.066667,7.233333
68230,49.32Z,8,48.083333,7.283333
68230,49.32Z,8,48.033333,7.2
