codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
68370,47.99A,3,48.133333,7.166667
68370,64.11,1,48.133333,7.166667
68370,55.3A,1,48.133333,7.166667
68370,67.05,1,48.133333,7.166667
68370,00.97,1,48.133333,7.166667
68370,01.11Z,1,48.133333,7.166667
68370,49.41A,2,48.133333,7.166667
68370,80.30Z,1,48.133333,7.166667
68370,93.19Z,1,48.133333,7.166667
68370,92.5C,1,48.133333,7.166667
68370,94.91Z,1,48.133333,7.166667
68370,74.10Z,1,48.133333,7.166667
68370,84.11Z,4,48.133333,7.166667
68370,55.20Z,2,48.133333,7.166667
68370,43.22B,1,48.133333,7.166667
68370,97.22,1,48.133333,7.166667
68370,56.10A,2,48.133333,7.166667
68370,31.09B,2,48.133333,7.166667
68370,94.99Z,2,48.133333,7.166667
68370,67.01,1,48.133333,7.166667
68370,47.64Z,2,48.133333,7.166667
68370,55.71,1,48.133333,7.166667
68370,42.99Z,1,48.133333,7.166667
68370,01.45Z,1,48.133333,7.166667
68370,81.21,2,48.133333,7.166667
68370,90.03A,2,48.133333,7.166667
68370,74.6Z,1,48.133333,7.166667
68370,01.41Z,1,48.133333,7.166667
68370,67.04,1,48.133333,7.166667
68370,55.10Z,2,48.133333,7.166667
68370,42.11Z,1,48.133333,7.166667
68370,91.04Z,3,48.133333,7.166667
68370,10.12Z,1,48.133333,7.166667
68370,67.08,1,48.133333,7.166667
68370,01.13Z,1,48.133333,7.166667
68370,01.49Z,1,48.133333,7.166667
68370,90.02Z,1,48.133333,7.166667
68370,51.10,1,48.133333,7.166667
68370,01.62Z,1,48.133333,7.166667
68370,32.12Z,1,48.133333,7.166667
68370,70.2A,1,48.133333,7.166667
68370,68.20B,5,48.133333,7.166667
