codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
69120,47.99A,2,45.783333,4.933333
69120,64.11,2,45.783333,4.933333
69120,55.3A,6,45.783333,4.933333
69120,43.22A,1,45.783333,4.933333
69120,64.40,1,45.783333,4.933333
69120,01.11Z,3,45.783333,4.933333
69120,49.41A,2,45.783333,4.933333
69120,52.4Z,1,45.783333,4.933333
69120,68.20A,2,45.783333,4.933333
69120,60.2E,1,45.783333,4.933333
69120,55.60,1,45.783333,4.933333
69120,32.99Z,1,45.783333,4.933333
69120,26.6J,1,45.783333,4.933333
69120,22.01,1,45.783333,4.933333
69120,47.77Z,1,45.783333,4.933333
69120,01.47Z,1,45.783333,4.933333
69120,25.12Z,1,45.783333,4.933333
69120,64.20Z,1,45.783333,4.933333
69120,90.01Z,2,45.783333,4.933333
69120,86.90E,5,45.783333,4.933333
69120,01.43Z,5,45.783333,4.933333
69120,43.32B,1,45.783333,4.933333
69120,40.1Z,1,45.783333,4.933333
69120,47.82Z,1,45.783333,4.933333
69120,47.75Z,1,45.783333,4.933333
69120,82.11Z,1,45.783333,4.933333
69120,43.91A,1,45.783333,4.933333
69120,84.11Z,4,45.783333,4.933333
69120,55.2C,1,45.783333,4.933333
69120,66.30Z,1,45.783333,4.933333
69120,45.4D,1,45.783333,4.933333
69120,77.14,1,45.783333,4.933333
69120,01.3Z,8,45.783333,4.933333
69120,43.39Z,1,45.783333,4.933333
69120,55.20Z,3,45.783333,4.933333
69120,93.12Z,1,45.783333,4.933333
69120,43.32A,1,45.783333,4.933333
69120,59.20Z,1,45.783333,4.933333
69120,46.38B,4,45.783333,4.933333
69120,52.6E,2,45.783333,4.933333
69120,43.33Z,1,45.783333,4.933333
69120,01.80,1,45.783333,4.933333
69120,64.30Z,2,45.783333,4.933333
69120,56.10A,4,45.783333,4.933333
69120,86.90D,7,45.783333,4.933333
69120,96.02A,2,45.783333,4.933333
69120,82.19Z,3,45.783333,4.933333
69120,01.25Z,2,45.783333,4.933333
69120,69.12,1,45.783333,4.933333
69120,85.20Z,1,45.783333,4.933333
69120,01.00,1,45.783333,4.933333
69120,94.99Z,5,45.783333,4.933333
69120,82.06,1,45.783333,4.933333
69120,51.6N,1,45.783333,4.933333
69120,67.01,1,45.783333,4.933333
69120,02.0B,1,45.783333,4.933333
69120,47.78C,1,45.783333,4.933333
69120,46.34Z,1,45.783333,4.933333
69120,62.43,1,45.783333,4.933333
69120,55.71,1,45.783333,4.933333
69120,01.50Z,3,45.783333,4.933333
69120,46.18Z,1,45.783333,4.933333
69120,01.45Z,2,45.783333,4.933333
69120,55.2E,1,45.783333,4.933333
69120,91.3E,2,45.783333,4.933333
69120,47.26Z,1,45.783333,4.933333
69120,43.31Z,1,45.783333,4.933333
69120,70.2C,2,45.783333,4.933333
69120,02.40Z,1,45.783333,4.933333
69120,46.39B,1,45.783333,4.933333
69120,01.2A,6,45.783333,4.933333
69120,86.21Z,1,45.783333,4.933333
69120,96.02B,1,45.783333,4.933333
69120,48.01,1,45.783333,4.933333
69120,85.52Z,2,45.783333,4.933333
69120,71.11Z,2,45.783333,4.933333
69120,47.73Z,1,45.783333,4.933333
69120,01.2C,1,45.783333,4.933333
69120,47.81Z,4,45.783333,4.933333
69120,01.41Z,28,45.783333,4.933333
69120,68.31Z,1,45.783333,4.933333
69120,01.42Z,5,45.783333,4.933333
69120,85.59B,1,45.783333,4.933333
69120,43.99C,2,45.783333,4.933333
69120,10.71C,3,45.783333,4.933333
69120,01.61Z,1,45.783333,4.933333
69120,96.09Z,2,45.783333,4.933333
69120,60.09,1,45.783333,4.933333
69120,74.2C,2,45.783333,4.933333
69120,81.21Z,2,45.783333,4.933333
69120,35.11Z,2,45.783333,4.933333
69120,46.73A,2,45.783333,4.933333
69120,90.03B,2,45.783333,4.933333
69120,01.49Z,3,45.783333,4.933333
69120,74.2A,1,45.783333,4.933333
69120,16.23Z,1,45.783333,4.933333
69120,78.30Z,1,45.783333,4.933333
69120,47.30Z,2,45.783333,4.933333
69120,01.1A,10,45.783333,4.933333
69120,10.72Z,1,45.783333,4.933333
69120,86.90F,2,45.783333,4.933333
69120,90.02Z,1,45.783333,4.933333
69120,01.46Z,1,45.783333,4.933333
69120,70.22Z,5,45.783333,4.933333
69120,71.20B,1,45.783333,4.933333
69120,47.59B,2,45.783333,4.933333
69120,47.91B,1,45.783333,4.933333
69120,57.05,1,45.783333,4.933333
69120,88.99B,2,45.783333,4.933333
69120,93.29Z,3,45.783333,4.933333
69120,47.89Z,1,45.783333,4.933333
69120,85.51Z,1,45.783333,4.933333
69120,45.2V,1,45.783333,4.933333
69120,43.21A,3,45.783333,4.933333
69120,52.1B,1,45.783333,4.933333
69120,66.19A,2,45.783333,4.933333
69120,80.1Z,1,45.783333,4.933333
69120,53.10Z,1,45.783333,4.933333
69120,74.90B,1,45.783333,4.933333
69120,71.12B,2,45.783333,4.933333
69120,68.20B,51,45.783333,4.933333
