codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
69160,47.99A,5,45.766667,4.783333
69160,33.20A,1,45.766667,4.783333
69160,64.11,1,45.766667,4.783333
69160,70.3A,1,45.766667,4.783333
69160,55.3A,3,45.766667,4.783333
69160,43.22A,2,45.766667,4.783333
69160,47.04,2,45.766667,4.783333
69160,67.05,2,45.766667,4.783333
69160,93.0D,2,45.766667,4.783333
69160,02.10Z,70,45.766667,4.783333
69160,00.97,4,45.766667,4.783333
69160,01.11Z,1,45.766667,4.783333
69160,49.41A,3,45.766667,4.783333
69160,52.4Z,1,45.766667,4.783333
69160,68.20A,3,45.766667,4.783333
69160,55.40,1,45.766667,4.783333
69160,49.32Z,1,45.766667,4.783333
69160,45.3E,2,45.766667,4.783333
69160,55.60,4,45.766667,4.783333
69160,56.30Z,1,45.766667,4.783333
69160,32.99Z,1,45.766667,4.783333
69160,72.2Z,1,45.766667,4.783333
69160,52.21Z,1,45.766667,4.783333
69160,62.11,2,45.766667,4.783333
69160,50.2Z,1,45.766667,4.783333
69160,51.1G,1,45.766667,4.783333
69160,43.34Z,4,45.766667,4.783333
69160,44.32,1,45.766667,4.783333
69160,64.20Z,2,45.766667,4.783333
69160,90.01Z,2,45.766667,4.783333
69160,01.43Z,2,45.766667,4.783333
69160,86.90E,2,45.766667,4.783333
69160,38.11Z,1,45.766667,4.783333
69160,43.32B,4,45.766667,4.783333
69160,47.82Z,1,45.766667,4.783333
69160,56.10C,3,45.766667,4.783333
69160,43.91A,4,45.766667,4.783333
69160,81.30Z,2,45.766667,4.783333
69160,84.11Z,6,45.766667,4.783333
69160,50.1Z,1,45.766667,4.783333
69160,10.13B,1,45.766667,4.783333
69160,01.21Z,1,45.766667,4.783333
69160,95.22Z,1,45.766667,4.783333
69160,85.1G,1,45.766667,4.783333
69160,17.21B,4,45.766667,4.783333
69160,01.3Z,2,45.766667,4.783333
69160,01.4A,1,45.766667,4.783333
69160,55.20Z,2,45.766667,4.783333
69160,93.12Z,2,45.766667,4.783333
69160,43.29B,2,45.766667,4.783333
69160,43.32A,4,45.766667,4.783333
69160,65.1E,1,45.766667,4.783333
69160,56.29B,2,45.766667,4.783333
69160,00.10,1,45.766667,4.783333
69160,74.1G,1,45.766667,4.783333
69160,72.5Z,1,45.766667,4.783333
69160,74.30Z,2,45.766667,4.783333
69160,65.06,4,45.766667,4.783333
69160,51.8N,1,45.766667,4.783333
69160,64.19Z,1,45.766667,4.783333
69160,02.20Z,14,45.766667,4.783333
69160,55.4B,1,45.766667,4.783333
69160,74.1J,1,45.766667,4.783333
69160,24.2Z,1,45.766667,4.783333
69160,47.22Z,2,45.766667,4.783333
69160,64.12,1,45.766667,4.783333
69160,56.10A,8,45.766667,4.783333
69160,86.90D,10,45.766667,4.783333
69160,96.02A,5,45.766667,4.783333
69160,85.32Z,1,45.766667,4.783333
69160,55.3B,1,45.766667,4.783333
69160,31.09B,1,45.766667,4.783333
69160,69.12,2,45.766667,4.783333
69160,85.20Z,1,45.766667,4.783333
69160,46.69B,1,45.766667,4.783333
69160,01.00,6,45.766667,4.783333
69160,43.91B,1,45.766667,4.783333
69160,94.99Z,8,45.766667,4.783333
69160,81.11,2,45.766667,4.783333
69160,47.76Z,2,45.766667,4.783333
69160,70.10Z,3,45.766667,4.783333
69160,77.29Z,1,45.766667,4.783333
69160,10.51A,1,45.766667,4.783333
69160,02.20,10,45.766667,4.783333
69160,82.99Z,1,45.766667,4.783333
69160,79.90Z,1,45.766667,4.783333
69160,23.41Z,2,45.766667,4.783333
69160,20.1A,3,45.766667,4.783333
69160,49.10Z,1,45.766667,4.783333
69160,01.28Z,1,45.766667,4.783333
69160,67.01,1,45.766667,4.783333
69160,02.0B,9,45.766667,4.783333
69160,47.72A,1,45.766667,4.783333
69160,82.30Z,1,45.766667,4.783333
69160,69.23,1,45.766667,4.783333
69160,62.43,2,45.766667,4.783333
69160,55.73,4,45.766667,4.783333
69160,62.01Z,2,45.766667,4.783333
69160,55.71,2,45.766667,4.783333
69160,51.3G,1,45.766667,4.783333
69160,01.50Z,2,45.766667,4.783333
69160,29.20Z,4,45.766667,4.783333
69160,01.45Z,3,45.766667,4.783333
69160,81.21,1,45.766667,4.783333
69160,43.31Z,3,45.766667,4.783333
69160,91.3E,1,45.766667,4.783333
69160,47.62Z,1,45.766667,4.783333
69160,45.4C,2,45.766667,4.783333
69160,70.2C,5,45.766667,4.783333
69160,02.40Z,4,45.766667,4.783333
69160,51.1L,1,45.766667,4.783333
69160,46.90Z,1,45.766667,4.783333
69160,01.2A,3,45.766667,4.783333
69160,67.07,1,45.766667,4.783333
69160,86.21Z,2,45.766667,4.783333
69160,47.19B,1,45.766667,4.783333
69160,48.01,6,45.766667,4.783333
69160,85.52Z,2,45.766667,4.783333
69160,17.2J,1,45.766667,4.783333
69160,71.11Z,1,45.766667,4.783333
69160,47.73Z,2,45.766667,4.783333
69160,77.02,1,45.766667,4.783333
69160,47.81Z,3,45.766667,4.783333
69160,20.5A,1,45.766667,4.783333
69160,25.11Z,1,45.766667,4.783333
69160,01.41Z,9,45.766667,4.783333
69160,68.31Z,2,45.766667,4.783333
69160,01.42Z,15,45.766667,4.783333
69160,93.0H,1,45.766667,4.783333
69160,43.99C,3,45.766667,4.783333
69160,49.41B,3,45.766667,4.783333
69160,70.21Z,1,45.766667,4.783333
69160,10.71C,3,45.766667,4.783333
69160,97.23,1,45.766667,4.783333
69160,01.61Z,2,45.766667,4.783333
69160,33.20B,2,45.766667,4.783333
69160,45.20A,2,45.766667,4.783333
69160,55.10Z,3,45.766667,4.783333
69160,96.09Z,2,45.766667,4.783333
69160,33.12Z,2,45.766667,4.783333
69160,81.21Z,2,45.766667,4.783333
69160,35.11Z,2,45.766667,4.783333
69160,43.12A,1,45.766667,4.783333
69160,10.11Z,1,45.766667,4.783333
69160,46.73A,2,45.766667,4.783333
69160,55.1A,6,45.766667,4.783333
69160,67.08,4,45.766667,4.783333
69160,01.49Z,6,45.766667,4.783333
69160,90.03B,1,45.766667,4.783333
69160,45.11Z,1,45.766667,4.783333
69160,16.23Z,1,45.766667,4.783333
69160,78.30Z,1,45.766667,4.783333
69160,01.1A,6,45.766667,4.783333
69160,10.72Z,1,45.766667,4.783333
69160,16.10A,4,45.766667,4.783333
69160,46.32A,1,45.766667,4.783333
69160,16.24Z,2,45.766667,4.783333
69160,86.90F,3,45.766667,4.783333
69160,62.09Z,1,45.766667,4.783333
69160,70.22Z,8,45.766667,4.783333
69160,01.62Z,1,45.766667,4.783333
69160,64.25,1,45.766667,4.783333
69160,47.11F,1,45.766667,4.783333
69160,51.4A,2,45.766667,4.783333
69160,47.59B,1,45.766667,4.783333
69160,62.46,1,45.766667,4.783333
69160,66.01,1,45.766667,4.783333
69160,62.02A,1,45.766667,4.783333
69160,88.99B,1,45.766667,4.783333
69160,93.29Z,4,45.766667,4.783333
69160,69.10Z,1,45.766667,4.783333
69160,69.11,2,45.766667,4.783333
69160,38.40,1,45.766667,4.783333
69160,47.89Z,2,45.766667,4.783333
69160,45.2V,3,45.766667,4.783333
69160,85.51Z,2,45.766667,4.783333
69160,60.10,1,45.766667,4.783333
69160,65.03,1,45.766667,4.783333
69160,43.21A,6,45.766667,4.783333
69160,52.1B,1,45.766667,4.783333
69160,21.01,1,45.766667,4.783333
69160,51.6K,1,45.766667,4.783333
69160,64.43,1,45.766667,4.783333
69160,80.1Z,1,45.766667,4.783333
69160,53.10Z,1,45.766667,4.783333
69160,60.2M,1,45.766667,4.783333
69160,71.12B,2,45.766667,4.783333
69160,52.6D,1,45.766667,4.783333
69160,68.20B,44,45.766667,4.783333
69160,74.8F,1,45.766667,4.783333
69160,60.2L,1,45.766667,4.783333
