codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
70310,33.20A,36,47.833333,6.516667
70310,33.20A,36,"",""
70310,33.20A,36,47.833333,6.533333
70310,33.20A,36,47.916667,6.633333
70310,33.20A,36,47.833333,6.5
70310,33.20A,36,47.916667,6.6
70310,33.20A,36,47.883333,6.583333
70310,33.20A,36,47.85,6.566667
70310,33.20A,36,47.85,6.616667
70310,33.20A,36,"",""
70310,33.20A,36,47.866667,6.683333
70310,33.20A,36,"",""
70310,47.99A,888,47.833333,6.516667
70310,47.99A,888,"",""
70310,47.99A,888,47.833333,6.533333
70310,47.99A,888,47.916667,6.633333
70310,47.99A,888,47.833333,6.5
70310,47.99A,888,47.916667,6.6
70310,47.99A,888,47.883333,6.583333
70310,47.99A,888,47.85,6.566667
70310,47.99A,888,47.85,6.616667
70310,47.99A,888,"",""
70310,47.99A,888,47.866667,6.683333
70310,47.99A,888,"",""
70310,48.04,12,47.833333,6.516667
70310,48.04,12,"",""
70310,48.04,12,47.833333,6.533333
70310,48.04,12,47.916667,6.633333
70310,48.04,12,47.833333,6.5
70310,48.04,12,47.916667,6.6
70310,48.04,12,47.883333,6.583333
70310,48.04,12,47.85,6.566667
70310,48.04,12,47.85,6.616667
70310,48.04,12,"",""
70310,48.04,12,47.866667,6.683333
70310,48.04,12,"",""
70310,45.20B,24,47.833333,6.516667
70310,45.20B,24,"",""
70310,45.20B,24,47.833333,6.533333
70310,45.20B,24,47.916667,6.633333
70310,45.20B,24,47.833333,6.5
70310,45.20B,24,47.916667,6.6
70310,45.20B,24,47.883333,6.583333
70310,45.20B,24,47.85,6.566667
70310,45.20B,24,47.85,6.616667
70310,45.20B,24,"",""
70310,45.20B,24,47.866667,6.683333
70310,45.20B,24,"",""
70310,58.19Z,12,47.833333,6.516667
70310,58.19Z,12,"",""
70310,58.19Z,12,47.833333,6.533333
70310,58.19Z,12,47.916667,6.633333
70310,58.19Z,12,47.833333,6.5
70310,58.19Z,12,47.916667,6.6
70310,58.19Z,12,47.883333,6.583333
70310,58.19Z,12,47.85,6.566667
70310,58.19Z,12,47.85,6.616667
70310,58.19Z,12,"",""
70310,58.19Z,12,47.866667,6.683333
70310,58.19Z,12,"",""
70310,64.11,180,47.833333,6.516667
70310,64.11,180,"",""
70310,64.11,180,47.833333,6.533333
70310,64.11,180,47.916667,6.633333
70310,64.11,180,47.833333,6.5
70310,64.11,180,47.916667,6.6
70310,64.11,180,47.883333,6.583333
70310,64.11,180,47.85,6.566667
70310,64.11,180,47.85,6.616667
70310,64.11,180,"",""
70310,64.11,180,47.866667,6.683333
70310,64.11,180,"",""
70310,70.3A,72,47.833333,6.516667
70310,70.3A,72,"",""
70310,70.3A,72,47.833333,6.533333
70310,70.3A,72,47.916667,6.633333
70310,70.3A,72,47.833333,6.5
70310,70.3A,72,47.916667,6.6
70310,70.3A,72,47.883333,6.583333
70310,70.3A,72,47.85,6.566667
70310,70.3A,72,47.85,6.616667
70310,70.3A,72,"",""
70310,70.3A,72,47.866667,6.683333
70310,70.3A,72,"",""
70310,61.10Z,12,47.833333,6.516667
70310,61.10Z,12,"",""
70310,61.10Z,12,47.833333,6.533333
70310,61.10Z,12,47.916667,6.633333
70310,61.10Z,12,47.833333,6.5
70310,61.10Z,12,47.916667,6.6
70310,61.10Z,12,47.883333,6.583333
70310,61.10Z,12,47.85,6.566667
70310,61.10Z,12,47.85,6.616667
70310,61.10Z,12,"",""
70310,61.10Z,12,47.866667,6.683333
70310,61.10Z,12,"",""
70310,55.3A,204,47.833333,6.516667
70310,55.3A,204,"",""
70310,55.3A,204,47.833333,6.533333
70310,55.3A,204,47.916667,6.633333
70310,55.3A,204,47.833333,6.5
