codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
71118,47.99A,37,46.383333,4.85
71118,33.20A,2,46.383333,4.85
71118,45.20B,3,46.383333,4.85
71118,25.73B,1,46.383333,4.85
71118,64.11,3,46.383333,4.85
71118,70.3A,2,46.383333,4.85
71118,55.3A,4,46.383333,4.85
71118,45.1B,1,46.383333,4.85
71118,43.22A,10,46.383333,4.85
71118,95.12Z,1,46.383333,4.85
71118,67.05,1,46.383333,4.85
71118,93.0D,4,46.383333,4.85
71118,47.79Z,6,46.383333,4.85
71118,01.11Z,2,46.383333,4.85
71118,52.3A,2,46.383333,4.85
71118,77.01,1,46.383333,4.85
71118,49.41A,6,46.383333,4.85
71118,65.02,2,46.383333,4.85
71118,52.4Z,2,46.383333,4.85
71118,64.23,1,46.383333,4.85
71118,25.2A,1,46.383333,4.85
71118,92.3A,1,46.383333,4.85
71118,95.29Z,1,46.383333,4.85
71118,68.20A,40,46.383333,4.85
71118,51.3J,1,46.383333,4.85
71118,51.3A,1,46.383333,4.85
71118,64.49,1,46.383333,4.85
71118,49.32Z,3,46.383333,4.85
71118,60.2E,2,46.383333,4.85
71118,45.3E,5,46.383333,4.85
71118,46.46Z,4,46.383333,4.85
71118,55.60,4,46.383333,4.85
71118,36.6E,3,46.383333,4.85
71118,56.30Z,7,46.383333,4.85
71118,86.22A,1,46.383333,4.85
71118,32.99Z,3,46.383333,4.85
71118,52.21Z,2,46.383333,4.85
71118,95.11Z,5,46.383333,4.85
71118,52.29A,1,46.383333,4.85
71118,20.4Z,1,46.383333,4.85
71118,85.1C,3,46.383333,4.85
71118,62.11,1,46.383333,4.85
71118,46.49Z,4,46.383333,4.85
71118,50.2Z,3,46.383333,4.85
71118,45.4J,10,46.383333,4.85
71118,43.34Z,11,46.383333,4.85
71118,80.4D,3,46.383333,4.85
71118,93.19Z,7,46.383333,4.85
71118,46.74A,7,46.383333,4.85
71118,72.20Z,1,46.383333,4.85
71118,93.0N,1,46.383333,4.85
71118,25.61Z,2,46.383333,4.85
71118,52.4X,1,46.383333,4.85
71118,64.20Z,16,46.383333,4.85
71118,87.10A,2,46.383333,4.85
71118,90.01Z,16,46.383333,4.85
71118,86.90E,25,46.383333,4.85
71118,52.29B,3,46.383333,4.85
71118,46.71Z,2,46.383333,4.85
71118,71.3G,2,46.383333,4.85
71118,85.31Z,1,46.383333,4.85
71118,74.3B,1,46.383333,4.85
71118,46.73B,20,46.383333,4.85
71118,71.20A,3,46.383333,4.85
71118,77.10,1,46.383333,4.85
71118,51.5A,1,46.383333,4.85
71118,38.11Z,1,46.383333,4.85
71118,66.0A,1,46.383333,4.85
71118,80.4C,3,46.383333,4.85
71118,47.82Z,4,46.383333,4.85
71118,43.32B,10,46.383333,4.85
71118,77.12Z,2,46.383333,4.85
71118,47.75Z,2,46.383333,4.85
71118,56.10C,10,46.383333,4.85
71118,33.20C,4,46.383333,4.85
71118,74.90A,1,46.383333,4.85
71118,74.10Z,6,46.383333,4.85
