codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
71290,47.99A,26,46.633333,4.983333
71290,47.99A,26,46.533333,5.016667
71290,47.99A,26,46.6,5.083333
71290,47.99A,26,46.533333,4.933333
71290,47.99A,26,46.633333,4.966667
71290,47.99A,26,46.583333,5.033333
71290,47.99A,26,46.516667,4.95
71290,47.99A,26,46.55,5.05
71290,47.99A,26,46.566667,4.95
71290,47.99A,26,46.583333,5.066667
71290,47.99A,26,"",""
71290,47.99A,26,46.55,5
71290,47.99A,26,46.566667,5.016667
71290,43.22A,13,46.633333,4.983333
71290,43.22A,13,46.533333,5.016667
71290,43.22A,13,46.6,5.083333
71290,43.22A,13,46.533333,4.933333
71290,43.22A,13,46.633333,4.966667
71290,43.22A,13,46.583333,5.033333
71290,43.22A,13,46.516667,4.95
71290,43.22A,13,46.55,5.05
71290,43.22A,13,46.566667,4.95
71290,43.22A,13,46.583333,5.066667
71290,43.22A,13,"",""
71290,43.22A,13,46.55,5
71290,43.22A,13,46.566667,5.016667
71290,93.0D,13,46.633333,4.983333
71290,93.0D,13,46.533333,5.016667
71290,93.0D,13,46.6,5.083333
71290,93.0D,13,46.533333,4.933333
71290,93.0D,13,46.633333,4.966667
71290,93.0D,13,46.583333,5.033333
71290,93.0D,13,46.516667,4.95
71290,93.0D,13,46.55,5.05
71290,93.0D,13,46.566667,4.95
71290,93.0D,13,46.583333,5.066667
71290,93.0D,13,"",""
71290,93.0D,13,46.55,5
71290,93.0D,13,46.566667,5.016667
71290,02.10Z,52,46.633333,4.983333
71290,02.10Z,52,46.533333,5.016667
71290,02.10Z,52,46.6,5.083333
71290,02.10Z,52,46.533333,4.933333
71290,02.10Z,52,46.633333,4.966667
71290,02.10Z,52,46.583333,5.033333
71290,02.10Z,52,46.516667,4.95
71290,02.10Z,52,46.55,5.05
71290,02.10Z,52,46.566667,4.95
71290,02.10Z,52,46.583333,5.066667
71290,02.10Z,52,"",""
71290,02.10Z,52,46.55,5
71290,02.10Z,52,46.566667,5.016667
71290,01.11Z,26,46.633333,4.983333
71290,01.11Z,26,46.533333,5.016667
71290,01.11Z,26,46.6,5.083333
71290,01.11Z,26,46.533333,4.933333
71290,01.11Z,26,46.633333,4.966667
71290,01.11Z,26,46.583333,5.033333
71290,01.11Z,26,46.516667,4.95
71290,01.11Z,26,46.55,5.05
71290,01.11Z,26,46.566667,4.95
71290,01.11Z,26,46.583333,5.066667
71290,01.11Z,26,"",""
71290,01.11Z,26,46.55,5
71290,01.11Z,26,46.566667,5.016667
71290,68.20A,13,46.633333,4.983333
71290,68.20A,13,46.533333,5.016667
71290,68.20A,13,46.6,5.083333
71290,68.20A,13,46.533333,4.933333
71290,68.20A,13,46.633333,4.966667
71290,68.20A,13,46.583333,5.033333
71290,68.20A,13,46.516667,4.95
71290,68.20A,13,46.55,5.05
71290,68.20A,13,46.566667,4.95
71290,68.20A,13,46.583333,5.066667
71290,68.20A,13,"",""
71290,68.20A,13,46.55,5
71290,68.20A,13,46.566667,5.016667
71290,55.40,13,46.633333,4.983333
71290,55.40,13,46.533333,5.016667
71290,55.40,13,46.6,5.083333
71290,55.40,13,46.533333,4.933333
71290,55.40,13,46.633333,4.966667
71290,55.40,13,46.583333,5.033333
71290,55.40,13,46.516667,4.95
71290,55.40,13,46.55,5.05
71290,55.40,13,46.566667,4.95
71290,55.40,13,46.583333,5.066667
71290,55.40,13,"",""
71290,55.40,13,46.55,5
71290,55.40,13,46.566667,5.016667
71290,56.21Z,13,46.633333,4.983333
71290,56.21Z,13,46.533333,5.016667
71290,56.21Z,13,46.6,5.083333
71290,56.21Z,13,46.533333,4.933333
71290,56.21Z,13,46.633333,4.966667
71290,56.21Z,13,46.583333,5.033333
71290,56.21Z,13,46.516667,4.95
71290,56.21Z,13,46.55,5.05
71290,56.21Z,13,46.566667,4.95
71290,56.21Z,13,46.583333,5.066667
71290,56.21Z,13,"",""
71290,56.21Z,13,46.55,5
71290,56.21Z,13,46.566667,5.016667
71290,62.11,13,46.633333,4.983333
71290,62.11,13,46.533333,5.016667
71290,62.11,13,46.6,5.083333
71290,62.11,13,46.533333,4.933333
71290,62.11,13,46.633333,4.966667
71290,62.11,13,46.583333,5.033333
71290,62.11,13,46.516667,4.95
71290,62.11,13,46.55,5.05
71290,62.11,13,46.566667,4.95
71290,62.11,13,46.583333,5.066667
71290,62.11,13,"",""
71290,62.11,13,46.55,5
71290,62.11,13,46.566667,5.016667
71290,43.34Z,13,46.633333,4.983333
71290,43.34Z,13,46.533333,5.016667
71290,43.34Z,13,46.6,5.083333
71290,43.34Z,13,46.533333,4.933333
71290,43.34Z,13,46.633333,4.966667
71290,43.34Z,13,46.583333,5.033333
71290,43.34Z,13,46.516667,4.95
71290,43.34Z,13,46.55,5.05
71290,43.34Z,13,46.566667,4.95
71290,43.34Z,13,46.583333,5.066667
71290,43.34Z,13,"",""
71290,43.34Z,13,46.55,5
71290,43.34Z,13,46.566667,5.016667
71290,87.10A,13,46.633333,4.983333
71290,87.10A,13,46.533333,5.016667
71290,87.10A,13,46.6,5.083333
71290,87.10A,13,46.533333,4.933333
71290,87.10A,13,46.633333,4.966667
71290,87.10A,13,46.583333,5.033333
71290,87.10A,13,46.516667,4.95
71290,87.10A,13,46.55,5.05
71290,87.10A,13,46.566667,4.95
71290,87.10A,13,46.583333,5.066667
71290,87.10A,13,"",""
71290,87.10A,13,46.55,5
71290,87.10A,13,46.566667,5.016667
71290,51.5A,13,46.633333,4.983333
71290,51.5A,13,46.533333,5.016667
71290,51.5A,13,46.6,5.083333
71290,51.5A,13,46.533333,4.933333
71290,51.5A,13,46.633333,4.966667
71290,51.5A,13,46.583333,5.033333
71290,51.5A,13,46.516667,4.95
71290,51.5A,13,46.55,5.05
71290,51.5A,13,46.566667,4.95
71290,51.5A,13,46.583333,5.066667
71290,51.5A,13,"",""
71290,51.5A,13,46.55,5
71290,51.5A,13,46.566667,5.016667
71290,94.91Z,13,46.633333,4.983333
71290,94.91Z,13,46.533333,5.016667
71290,94.91Z,13,46.6,5.083333
71290,94.91Z,13,46.533333,4.933333
71290,94.91Z,13,46.633333,4.966667
71290,94.91Z,13,46.583333,5.033333
71290,94.91Z,13,46.516667,4.95
71290,94.91Z,13,46.55,5.05
71290,94.91Z,13,46.566667,4.95
71290,94.91Z,13,46.583333,5.066667
71290,94.91Z,13,"",""
71290,94.91Z,13,46.55,5
71290,94.91Z,13,46.566667,5.016667
71290,77.12Z,13,46.633333,4.983333
71290,77.12Z,13,46.533333,5.016667
71290,77.12Z,13,46.6,5.083333
71290,77.12Z,13,46.533333,4.933333
71290,77.12Z,13,46.633333,4.966667
71290,77.12Z,13,46.583333,5.033333
71290,77.12Z,13,46.516667,4.95
71290,77.12Z,13,46.55,5.05
71290,77.12Z,13,46.566667,4.95
71290,77.12Z,13,46.583333,5.066667
71290,77.12Z,13,"",""
71290,77.12Z,13,46.55,5
71290,77.12Z,13,46.566667,5.016667
71290,43.91A,13,46.633333,4.983333
71290,43.91A,13,46.533333,5.016667
71290,43.91A,13,46.6,5.083333
71290,43.91A,13,46.533333,4.933333
71290,43.91A,13,46.633333,4.966667
71290,43.91A,13,46.583333,5.033333
71290,43.91A,13,46.516667,4.95
71290,43.91A,13,46.55,5.05
71290,43.91A,13,46.566667,4.95
71290,43.91A,13,46.583333,5.066667
71290,43.91A,13,"",""
71290,43.91A,13,46.55,5
71290,43.91A,13,46.566667,5.016667
71290,81.30Z,13,46.633333,4.983333
71290,81.30Z,13,46.533333,5.016667
71290,81.30Z,13,46.6,5.083333
71290,81.30Z,13,46.533333,4.933333
71290,81.30Z,13,46.633333,4.966667
71290,81.30Z,13,46.583333,5.033333
71290,81.30Z,13,46.516667,4.95
71290,81.30Z,13,46.55,5.05
71290,81.30Z,13,46.566667,4.95
71290,81.30Z,13,46.583333,5.066667
71290,81.30Z,13,"",""
71290,81.30Z,13,46.55,5
71290,81.30Z,13,46.566667,5.016667
71290,84.11Z,52,46.633333,4.983333
71290,84.11Z,52,46.533333,5.016667
71290,84.11Z,52,46.6,5.083333
71290,84.11Z,52,46.533333,4.933333
71290,84.11Z,52,46.633333,4.966667
71290,84.11Z,52,46.583333,5.033333
71290,84.11Z,52,46.516667,4.95
71290,84.11Z,52,46.55,5.05
71290,84.11Z,52,46.566667,4.95
71290,84.11Z,52,46.583333,5.066667
71290,84.11Z,52,"",""
71290,84.11Z,52,46.55,5
71290,84.11Z,52,46.566667,5.016667
71290,20.42Z,13,46.633333,4.983333
71290,20.42Z,13,46.533333,5.016667
71290,20.42Z,13,46.6,5.083333
71290,20.42Z,13,46.533333,4.933333
71290,20.42Z,13,46.633333,4.966667
71290,20.42Z,13,46.583333,5.033333
71290,20.42Z,13,46.516667,4.95
71290,20.42Z,13,46.55,5.05
71290,20.42Z,13,46.566667,4.95
71290,20.42Z,13,46.583333,5.066667
71290,20.42Z,13,"",""
71290,20.42Z,13,46.55,5
71290,20.42Z,13,46.566667,5.016667
71290,90.0A,13,46.633333,4.983333
71290,90.0A,13,46.533333,5.016667
