codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
71330,47.99A,110,46.716667,5.183333
71330,47.99A,110,"",""
71330,47.99A,110,46.75,5.25
71330,47.99A,110,46.75,5.366667
71330,47.99A,110,46.783333,5.333333
71330,47.99A,110,"",""
71330,47.99A,110,46.766667,5.133333
71330,47.99A,110,46.766667,5.166667
71330,47.99A,110,46.766667,5.3
71330,47.99A,110,46.766667,5.333333
71330,64.11,20,46.716667,5.183333
71330,64.11,20,"",""
71330,64.11,20,46.75,5.25
71330,64.11,20,46.75,5.366667
71330,64.11,20,46.783333,5.333333
71330,64.11,20,"",""
71330,64.11,20,46.766667,5.133333
71330,64.11,20,46.766667,5.166667
71330,64.11,20,46.766667,5.3
71330,64.11,20,46.766667,5.333333
71330,55.3A,10,46.716667,5.183333
71330,55.3A,10,"",""
71330,55.3A,10,46.75,5.25
71330,55.3A,10,46.75,5.366667
71330,55.3A,10,46.783333,5.333333
71330,55.3A,10,"",""
71330,55.3A,10,46.766667,5.133333
71330,55.3A,10,46.766667,5.166667
71330,55.3A,10,46.766667,5.3
71330,55.3A,10,46.766667,5.333333
71330,43.22A,10,46.716667,5.183333
71330,43.22A,10,"",""
71330,43.22A,10,46.75,5.25
71330,43.22A,10,46.75,5.366667
71330,43.22A,10,46.783333,5.333333
71330,43.22A,10,"",""
71330,43.22A,10,46.766667,5.133333
71330,43.22A,10,46.766667,5.166667
71330,43.22A,10,46.766667,5.3
71330,43.22A,10,46.766667,5.333333
71330,02.10Z,30,46.716667,5.183333
71330,02.10Z,30,"",""
71330,02.10Z,30,46.75,5.25
71330,02.10Z,30,46.75,5.366667
71330,02.10Z,30,46.783333,5.333333
71330,02.10Z,30,"",""
71330,02.10Z,30,46.766667,5.133333
71330,02.10Z,30,46.766667,5.166667
71330,02.10Z,30,46.766667,5.3
71330,02.10Z,30,46.766667,5.333333
71330,52.3A,10,46.716667,5.183333
71330,52.3A,10,"",""
71330,52.3A,10,46.75,5.25
71330,52.3A,10,46.75,5.366667
71330,52.3A,10,46.783333,5.333333
71330,52.3A,10,"",""
71330,52.3A,10,46.766667,5.133333
71330,52.3A,10,46.766667,5.166667
71330,52.3A,10,46.766667,5.3
71330,52.3A,10,46.766667,5.333333
71330,00.97,10,46.716667,5.183333
71330,00.97,10,"",""
71330,00.97,10,46.75,5.25
71330,00.97,10,46.75,5.366667
71330,00.97,10,46.783333,5.333333
71330,00.97,10,"",""
71330,00.97,10,46.766667,5.133333
71330,00.97,10,46.766667,5.166667
71330,00.97,10,46.766667,5.3
71330,00.97,10,46.766667,5.333333
71330,01.11Z,20,46.716667,5.183333
71330,01.11Z,20,"",""
71330,01.11Z,20,46.75,5.25
71330,01.11Z,20,46.75,5.366667
71330,01.11Z,20,46.783333,5.333333
71330,01.11Z,20,"",""
71330,01.11Z,20,46.766667,5.133333
71330,01.11Z,20,46.766667,5.166667
71330,01.11Z,20,46.766667,5.3
71330,01.11Z,20,46.766667,5.333333
71330,49.41A,10,46.716667,5.183333
71330,49.41A,10,"",""
71330,49.41A,10,46.75,5.25
71330,49.41A,10,46.75,5.366667
71330,49.41A,10,46.783333,5.333333
71330,49.41A,10,"",""
71330,49.41A,10,46.766667,5.133333
71330,49.41A,10,46.766667,5.166667
71330,49.41A,10,46.766667,5.3
71330,49.41A,10,46.766667,5.333333
71330,46.23Z,20,46.716667,5.183333
71330,46.23Z,20,"",""
71330,46.23Z,20,46.75,5.25
71330,46.23Z,20,46.75,5.366667
71330,46.23Z,20,46.783333,5.333333
71330,46.23Z,20,"",""
71330,46.23Z,20,46.766667,5.133333
71330,46.23Z,20,46.766667,5.166667
71330,46.23Z,20,46.766667,5.3
71330,46.23Z,20,46.766667,5.333333
71330,51.3J,10,46.716667,5.183333
71330,51.3J,10,"",""
71330,51.3J,10,46.75,5.25
71330,51.3J,10,46.75,5.366667
71330,51.3J,10,46.783333,5.333333
71330,51.3J,10,"",""
71330,51.3J,10,46.766667,5.133333
71330,51.3J,10,46.766667,5.166667
71330,51.3J,10,46.766667,5.3
71330,51.3J,10,46.766667,5.333333
71330,01.50,10,46.716667,5.183333
71330,01.50,10,"",""
71330,01.50,10,46.75,5.25
71330,01.50,10,46.75,5.366667
71330,01.50,10,46.783333,5.333333
71330,01.50,10,"",""
71330,01.50,10,46.766667,5.133333
71330,01.50,10,46.766667,5.166667
