codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
72120,47.99A,20,47.883333,0.733333
72120,47.99A,20,47.883333,0.616667
72120,47.99A,20,47.9,0.683333
72120,47.99A,20,47.916667,0.75
72120,47.99A,20,47.966667,0.833333
72120,47.99A,20,47.933333,0.7
72120,47.99A,20,47.916667,0.783333
72120,47.99A,20,47.9,0.633333
72120,47.99A,20,47.933333,0.666667
72120,47.99A,20,47.95,0.75
72120,70.3A,10,47.883333,0.733333
72120,70.3A,10,47.883333,0.616667
72120,70.3A,10,47.9,0.683333
72120,70.3A,10,47.916667,0.75
72120,70.3A,10,47.966667,0.833333
72120,70.3A,10,47.933333,0.7
72120,70.3A,10,47.916667,0.783333
72120,70.3A,10,47.9,0.633333
72120,70.3A,10,47.933333,0.666667
72120,70.3A,10,47.95,0.75
72120,01.56,20,47.883333,0.733333
72120,01.56,20,47.883333,0.616667
72120,01.56,20,47.9,0.683333
72120,01.56,20,47.916667,0.75
72120,01.56,20,47.966667,0.833333
72120,01.56,20,47.933333,0.7
72120,01.56,20,47.916667,0.783333
72120,01.56,20,47.9,0.633333
72120,01.56,20,47.933333,0.666667
72120,01.56,20,47.95,0.75
72120,67.05,10,47.883333,0.733333
72120,67.05,10,47.883333,0.616667
72120,67.05,10,47.9,0.683333
72120,67.05,10,47.916667,0.75
72120,67.05,10,47.966667,0.833333
72120,67.05,10,47.933333,0.7
72120,67.05,10,47.916667,0.783333
72120,67.05,10,47.9,0.633333
72120,67.05,10,47.933333,0.666667
72120,67.05,10,47.95,0.75
72120,01.11Z,20,47.883333,0.733333
72120,01.11Z,20,47.883333,0.616667
72120,01.11Z,20,47.9,0.683333
72120,01.11Z,20,47.916667,0.75
72120,01.11Z,20,47.966667,0.833333
72120,01.11Z,20,47.933333,0.7
72120,01.11Z,20,47.916667,0.783333
72120,01.11Z,20,47.9,0.633333
72120,01.11Z,20,47.933333,0.666667
72120,01.11Z,20,47.95,0.75
72120,64.49,10,47.883333,0.733333
72120,64.49,10,47.883333,0.616667
72120,64.49,10,47.9,0.683333
72120,64.49,10,47.916667,0.75
72120,64.49,10,47.966667,0.833333
72120,64.49,10,47.933333,0.7
72120,64.49,10,47.916667,0.783333
72120,64.49,10,47.9,0.633333
72120,64.49,10,47.933333,0.666667
72120,64.49,10,47.95,0.75
72120,01.47Z,10,47.883333,0.733333
72120,01.47Z,10,47.883333,0.616667
72120,01.47Z,10,47.9,0.683333
72120,01.47Z,10,47.916667,0.75
72120,01.47Z,10,47.966667,0.833333
72120,01.47Z,10,47.933333,0.7
72120,01.47Z,10,47.916667,0.783333
72120,01.47Z,10,47.9,0.633333
72120,01.47Z,10,47.933333,0.666667
72120,01.47Z,10,47.95,0.75
72120,43.34Z,10,47.883333,0.733333
72120,43.34Z,10,47.883333,0.616667
72120,43.34Z,10,47.9,0.683333
72120,43.34Z,10,47.916667,0.75
72120,43.34Z,10,47.966667,0.833333
72120,43.34Z,10,47.933333,0.7
72120,43.34Z,10,47.916667,0.783333
72120,43.34Z,10,47.9,0.633333
72120,43.34Z,10,47.933333,0.666667
72120,43.34Z,10,47.95,0.75
72120,93.19Z,10,47.883333,0.733333
72120,93.19Z,10,47.883333,0.616667
72120,93.19Z,10,47.9,0.683333
72120,93.19Z,10,47.916667,0.75
72120,93.19Z,10,47.966667,0.833333
72120,93.19Z,10,47.933333,0.7
72120,93.19Z,10,47.916667,0.783333
72120,93.19Z,10,47.9,0.633333
72120,93.19Z,10,47.933333,0.666667
72120,93.19Z,10,47.95,0.75
72120,64.20Z,10,47.883333,0.733333
72120,64.20Z,10,47.883333,0.616667
72120,64.20Z,10,47.9,0.683333
72120,64.20Z,10,47.916667,0.75
72120,64.20Z,10,47.966667,0.833333
72120,64.20Z,10,47.933333,0.7
72120,64.20Z,10,47.916667,0.783333
72120,64.20Z,10,47.9,0.633333
72120,64.20Z,10,47.933333,0.666667
72120,64.20Z,10,47.95,0.75
72120,56.10C,20,47.883333,0.733333
72120,56.10C,20,47.883333,0.616667
72120,56.10C,20,47.9,0.683333
72120,56.10C,20,47.916667,0.75
