codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
72210,43.22A,8,47.933333,0.066667
72210,43.22A,8,47.983333,0.016667
72210,43.22A,8,47.9,0.066667
72210,43.22A,8,47.95,-0.05
72210,43.22A,8,47.95,-0.05
72210,43.22A,8,47.9,0.033333
72210,43.22A,8,47.9,0.133333
72210,43.22A,8,47.933333,-0.016667
72210,47.04,24,47.933333,0.066667
72210,47.04,24,47.983333,0.016667
72210,47.04,24,47.9,0.066667
72210,47.04,24,47.95,-0.05
72210,47.04,24,47.95,-0.05
72210,47.04,24,47.9,0.033333
72210,47.04,24,47.9,0.133333
72210,47.04,24,47.933333,-0.016667
72210,02.10Z,8,47.933333,0.066667
72210,02.10Z,8,47.983333,0.016667
72210,02.10Z,8,47.9,0.066667
72210,02.10Z,8,47.95,-0.05
72210,02.10Z,8,47.95,-0.05
72210,02.10Z,8,47.9,0.033333
72210,02.10Z,8,47.9,0.133333
72210,02.10Z,8,47.933333,-0.016667
72210,01.11Z,48,47.933333,0.066667
72210,01.11Z,48,47.983333,0.016667
72210,01.11Z,48,47.9,0.066667
72210,01.11Z,48,47.95,-0.05
72210,01.11Z,48,47.95,-0.05
72210,01.11Z,48,47.9,0.033333
72210,01.11Z,48,47.9,0.133333
72210,01.11Z,48,47.933333,-0.016667
72210,23.19Z,8,47.933333,0.066667
72210,23.19Z,8,47.983333,0.016667
72210,23.19Z,8,47.9,0.066667
72210,23.19Z,8,47.95,-0.05
72210,23.19Z,8,47.95,-0.05
72210,23.19Z,8,47.9,0.033333
72210,23.19Z,8,47.9,0.133333
72210,23.19Z,8,47.933333,-0.016667
72210,46.23Z,8,47.933333,0.066667
72210,46.23Z,8,47.983333,0.016667
72210,46.23Z,8,47.9,0.066667
72210,46.23Z,8,47.95,-0.05
72210,46.23Z,8,47.95,-0.05
72210,46.23Z,8,47.9,0.033333
72210,46.23Z,8,47.9,0.133333
72210,46.23Z,8,47.933333,-0.016667
72210,92.3A,8,47.933333,0.066667
72210,92.3A,8,47.983333,0.016667
