codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
72260,47.99A,338,48.283333,0.25
72260,47.99A,338,48.283333,0.216667
72260,47.99A,338,48.25,0.366667
72260,47.99A,338,48.233333,0.216667
72260,47.99A,338,48.25,0.4
72260,47.99A,338,48.283333,0.333333
72260,47.99A,338,48.283333,0.383333
72260,47.99A,338,48.25,0.316667
72260,47.99A,338,48.316667,0.233333
72260,47.99A,338,48.233333,0.3
72260,47.99A,338,48.25,0.25
72260,47.99A,338,48.283333,0.283333
72260,47.99A,338,"",""
72260,33.20A,13,48.283333,0.25
72260,33.20A,13,48.283333,0.216667
72260,33.20A,13,48.25,0.366667
72260,33.20A,13,48.233333,0.216667
72260,33.20A,13,48.25,0.4
72260,33.20A,13,48.283333,0.333333
72260,33.20A,13,48.283333,0.383333
72260,33.20A,13,48.25,0.316667
72260,33.20A,13,48.316667,0.233333
72260,33.20A,13,48.233333,0.3
72260,33.20A,13,48.25,0.25
72260,33.20A,13,48.283333,0.283333
72260,33.20A,13,"",""
72260,70.3A,26,48.283333,0.25
72260,70.3A,26,48.283333,0.216667
72260,70.3A,26,48.25,0.366667
72260,70.3A,26,48.233333,0.216667
72260,70.3A,26,48.25,0.4
72260,70.3A,26,48.283333,0.333333
72260,70.3A,26,48.283333,0.383333
72260,70.3A,26,48.25,0.316667
72260,70.3A,26,48.316667,0.233333
72260,70.3A,26,48.233333,0.3
72260,70.3A,26,48.25,0.25
72260,70.3A,26,48.283333,0.283333
72260,70.3A,26,"",""
72260,64.11,13,48.283333,0.25
72260,64.11,13,48.283333,0.216667
72260,64.11,13,48.25,0.366667
72260,64.11,13,48.233333,0.216667
72260,64.11,13,48.25,0.4
72260,64.11,13,48.283333,0.333333
72260,64.11,13,48.283333,0.383333
72260,64.11,13,48.25,0.316667
72260,64.11,13,48.316667,0.233333
72260,64.11,13,48.233333,0.3
72260,64.11,13,48.25,0.25
72260,64.11,13,48.283333,0.283333
72260,64.11,13,"",""
72260,55.3A,39,48.283333,0.25
72260,55.3A,39,48.283333,0.216667
72260,55.3A,39,48.25,0.366667
72260,55.3A,39,48.233333,0.216667
72260,55.3A,39,48.25,0.4
72260,55.3A,39,48.283333,0.333333
72260,55.3A,39,48.283333,0.383333
72260,55.3A,39,48.25,0.316667
72260,55.3A,39,48.316667,0.233333
72260,55.3A,39,48.233333,0.3
72260,55.3A,39,48.25,0.25
72260,55.3A,39,48.283333,0.283333
72260,55.3A,39,"",""
72260,46.45Z,13,48.283333,0.25
72260,46.45Z,13,48.283333,0.216667
72260,46.45Z,13,48.25,0.366667
72260,46.45Z,13,48.233333,0.216667
72260,46.45Z,13,48.25,0.4
72260,46.45Z,13,48.283333,0.333333
72260,46.45Z,13,48.283333,0.383333
72260,46.45Z,13,48.25,0.316667
72260,46.45Z,13,48.316667,0.233333
72260,46.45Z,13,48.233333,0.3
72260,46.45Z,13,48.25,0.25
72260,46.45Z,13,48.283333,0.283333
72260,46.45Z,13,"",""
72260,43.22A,39,48.283333,0.25
72260,43.22A,39,48.283333,0.216667
72260,43.22A,39,48.25,0.366667
72260,43.22A,39,48.233333,0.216667
72260,43.22A,39,48.25,0.4
72260,43.22A,39,48.283333,0.333333
72260,43.22A,39,48.283333,0.383333
72260,43.22A,39,48.25,0.316667
72260,43.22A,39,48.316667,0.233333
72260,43.22A,39,48.233333,0.3
72260,43.22A,39,48.25,0.25
72260,43.22A,39,48.283333,0.283333
72260,43.22A,39,"",""
72260,41.10A,52,48.283333,0.25
72260,41.10A,52,48.283333,0.216667
72260,41.10A,52,48.25,0.366667
72260,41.10A,52,48.233333,0.216667
72260,41.10A,52,48.25,0.4
72260,41.10A,52,48.283333,0.333333
72260,41.10A,52,48.283333,0.383333
72260,41.10A,52,48.25,0.316667
72260,41.10A,52,48.316667,0.233333
72260,41.10A,52,48.233333,0.3
72260,41.10A,52,48.25,0.25
72260,41.10A,52,48.283333,0.283333
72260,41.10A,52,"",""
72260,67.05,13,48.283333,0.25
72260,67.05,13,48.283333,0.216667
72260,67.05,13,48.25,0.366667
72260,67.05,13,48.233333,0.216667
72260,67.05,13,48.25,0.4
72260,67.05,13,48.283333,0.333333
72260,67.05,13,48.283333,0.383333
72260,67.05,13,48.25,0.316667
72260,67.05,13,48.316667,0.233333
72260,67.05,13,48.233333,0.3
72260,67.05,13,48.25,0.25
72260,67.05,13,48.283333,0.283333
72260,67.05,13,"",""
72260,93.0D,13,48.283333,0.25
72260,93.0D,13,48.283333,0.216667
72260,93.0D,13,48.25,0.366667
72260,93.0D,13,48.233333,0.216667
72260,93.0D,13,48.25,0.4
72260,93.0D,13,48.283333,0.333333
72260,93.0D,13,48.283333,0.383333
72260,93.0D,13,48.25,0.316667
72260,93.0D,13,48.316667,0.233333
72260,93.0D,13,48.233333,0.3
72260,93.0D,13,48.25,0.25
72260,93.0D,13,48.283333,0.283333
72260,93.0D,13,"",""
72260,02.10Z,26,48.283333,0.25
72260,02.10Z,26,48.283333,0.216667
72260,02.10Z,26,48.25,0.366667
72260,02.10Z,26,48.233333,0.216667
72260,02.10Z,26,48.25,0.4
72260,02.10Z,26,48.283333,0.333333
72260,02.10Z,26,48.283333,0.383333
72260,02.10Z,26,48.25,0.316667
72260,02.10Z,26,48.316667,0.233333
72260,02.10Z,26,48.233333,0.3
72260,02.10Z,26,48.25,0.25
72260,02.10Z,26,48.283333,0.283333
72260,02.10Z,26,"",""
72260,00.97,13,48.283333,0.25
72260,00.97,13,48.283333,0.216667
72260,00.97,13,48.25,0.366667
72260,00.97,13,48.233333,0.216667
72260,00.97,13,48.25,0.4
72260,00.97,13,48.283333,0.333333
72260,00.97,13,48.283333,0.383333
72260,00.97,13,48.25,0.316667
72260,00.97,13,48.316667,0.233333
72260,00.97,13,48.233333,0.3
72260,00.97,13,48.25,0.25
72260,00.97,13,48.283333,0.283333
72260,00.97,13,"",""
72260,01.11Z,39,48.283333,0.25
72260,01.11Z,39,48.283333,0.216667
72260,01.11Z,39,48.25,0.366667
72260,01.11Z,39,48.233333,0.216667
72260,01.11Z,39,48.25,0.4
72260,01.11Z,39,48.283333,0.333333
72260,01.11Z,39,48.283333,0.383333
72260,01.11Z,39,48.25,0.316667
72260,01.11Z,39,48.316667,0.233333
72260,01.11Z,39,48.233333,0.3
