codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
72340,47.99A,56,47.75,0.616667
72340,47.99A,56,"",""
72340,47.99A,56,47.716667,0.516667
72340,47.99A,56,47.75,0.55
72340,47.99A,56,47.733333,0.583333
72340,47.99A,56,47.733333,0.516667
72340,47.99A,56,47.7,0.566667
72340,55.3A,7,47.75,0.616667
72340,55.3A,7,"",""
72340,55.3A,7,47.716667,0.516667
72340,55.3A,7,47.75,0.55
72340,55.3A,7,47.733333,0.583333
72340,55.3A,7,47.733333,0.516667
72340,55.3A,7,47.7,0.566667
72340,01.56,7,47.75,0.616667
72340,01.56,7,"",""
72340,01.56,7,47.716667,0.516667
72340,01.56,7,47.75,0.55
72340,01.56,7,47.733333,0.583333
72340,01.56,7,47.733333,0.516667
72340,01.56,7,47.7,0.566667
72340,43.22A,14,47.75,0.616667
72340,43.22A,14,"",""
72340,43.22A,14,47.716667,0.516667
72340,43.22A,14,47.75,0.55
72340,43.22A,14,47.733333,0.583333
72340,43.22A,14,47.733333,0.516667
72340,43.22A,14,47.7,0.566667
72340,02.10Z,7,47.75,0.616667
72340,02.10Z,7,"",""
72340,02.10Z,7,47.716667,0.516667
72340,02.10Z,7,47.75,0.55
72340,02.10Z,7,47.733333,0.583333
72340,02.10Z,7,47.733333,0.516667
72340,02.10Z,7,47.7,0.566667
72340,01.11Z,56,47.75,0.616667
72340,01.11Z,56,"",""
72340,01.11Z,56,47.716667,0.516667
72340,01.11Z,56,47.75,0.55
72340,01.11Z,56,47.733333,0.583333
72340,01.11Z,56,47.733333,0.516667
72340,01.11Z,56,47.7,0.566667
72340,52.4Z,7,47.75,0.616667
72340,52.4Z,7,"",""
72340,52.4Z,7,47.716667,0.516667
72340,52.4Z,7,47.75,0.55
72340,52.4Z,7,47.733333,0.583333
72340,52.4Z,7,47.733333,0.516667
72340,52.4Z,7,47.7,0.566667
72340,60.01,7,47.75,0.616667
72340,60.01,7,"",""
72340,60.01,7,47.716667,0.516667
72340,60.01,7,47.75,0.55
72340,60.01,7,47.733333,0.583333
72340,60.01,7,47.733333,0.516667
72340,60.01,7,47.7,0.566667
72340,68.20A,7,47.75,0.616667
72340,68.20A,7,"",""
72340,68.20A,7,47.716667,0.516667
72340,68.20A,7,47.75,0.55
72340,68.20A,7,47.733333,0.583333
72340,68.20A,7,47.733333,0.516667
72340,68.20A,7,47.7,0.566667
72340,56.30Z,14,47.75,0.616667
72340,56.30Z,14,"",""
72340,56.30Z,14,47.716667,0.516667
72340,56.30Z,14,47.75,0.55
72340,56.30Z,14,47.733333,0.583333
72340,56.30Z,14,47.733333,0.516667
72340,56.30Z,14,47.7,0.566667
72340,62.11,7,47.75,0.616667
72340,62.11,7,"",""
72340,62.11,7,47.716667,0.516667
72340,62.11,7,47.75,0.55
72340,62.11,7,47.733333,0.583333
72340,62.11,7,47.733333,0.516667
72340,62.11,7,47.7,0.566667
72340,01.47Z,7,47.75,0.616667
72340,01.47Z,7,"",""
72340,01.47Z,7,47.716667,0.516667
72340,01.47Z,7,47.75,0.55
72340,01.47Z,7,47.733333,0.583333
72340,01.47Z,7,47.733333,0.516667
72340,01.47Z,7,47.7,0.566667
72340,52.4Y,7,47.75,0.616667
72340,52.4Y,7,"",""
72340,52.4Y,7,47.716667,0.516667
72340,52.4Y,7,47.75,0.55
72340,52.4Y,7,47.733333,0.583333
72340,52.4Y,7,47.733333,0.516667
72340,52.4Y,7,47.7,0.566667
72340,43.34Z,14,47.75,0.616667
72340,43.34Z,14,"",""
72340,43.34Z,14,47.716667,0.516667
72340,43.34Z,14,47.75,0.55
72340,43.34Z,14,47.733333,0.583333
72340,43.34Z,14,47.733333,0.516667
72340,43.34Z,14,47.7,0.566667
72340,80.4D,7,47.75,0.616667
72340,80.4D,7,"",""
72340,80.4D,7,47.716667,0.516667
72340,80.4D,7,47.75,0.55
72340,80.4D,7,47.733333,0.583333
72340,80.4D,7,47.733333,0.516667
72340,80.4D,7,47.7,0.566667
72340,93.19Z,7,47.75,0.616667
72340,93.19Z,7,"",""
72340,93.19Z,7,47.716667,0.516667
72340,93.19Z,7,47.75,0.55
72340,93.19Z,7,47.733333,0.583333
72340,93.19Z,7,47.733333,0.516667
72340,93.19Z,7,47.7,0.566667
72340,52.4X,7,47.75,0.616667
72340,52.4X,7,"",""
72340,52.4X,7,47.716667,0.516667
72340,52.4X,7,47.75,0.55
72340,52.4X,7,47.733333,0.583333
72340,52.4X,7,47.733333,0.516667
72340,52.4X,7,47.7,0.566667
72340,64.20Z,21,47.75,0.616667
72340,64.20Z,21,"",""
72340,64.20Z,21,47.716667,0.516667
72340,64.20Z,21,47.75,0.55
72340,64.20Z,21,47.733333,0.583333
72340,64.20Z,21,47.733333,0.516667
72340,64.20Z,21,47.7,0.566667
72340,01.43Z,14,47.75,0.616667
72340,01.43Z,14,"",""
72340,01.43Z,14,47.716667,0.516667
72340,01.43Z,14,47.75,0.55
72340,01.43Z,14,47.733333,0.583333
72340,01.43Z,14,47.733333,0.516667
72340,01.43Z,14,47.7,0.566667
72340,90.01Z,7,47.75,0.616667
72340,90.01Z,7,"",""
72340,90.01Z,7,47.716667,0.516667
72340,90.01Z,7,47.75,0.55
72340,90.01Z,7,47.733333,0.583333
72340,90.01Z,7,47.733333,0.516667
72340,90.01Z,7,47.7,0.566667
72340,86.90E,7,47.75,0.616667
72340,86.90E,7,"",""
72340,86.90E,7,47.716667,0.516667
72340,86.90E,7,47.75,0.55
72340,86.90E,7,47.733333,0.583333
72340,86.90E,7,47.733333,0.516667
72340,86.90E,7,47.7,0.566667
72340,01.07,7,47.75,0.616667
72340,01.07,7,"",""
72340,01.07,7,47.716667,0.516667
72340,01.07,7,47.75,0.55
72340,01.07,7,47.733333,0.583333
72340,01.07,7,47.733333,0.516667
72340,01.07,7,47.7,0.566667
72340,80.4C,7,47.75,0.616667
72340,80.4C,7,"",""
72340,80.4C,7,47.716667,0.516667
72340,80.4C,7,47.75,0.55
72340,80.4C,7,47.733333,0.583333
72340,80.4C,7,47.733333,0.516667
