codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
74110,55.3A,4,46.183333,6.716667
74110,55.3A,4,46.2,6.683333
74110,55.3A,4,46.183333,6.666667
74110,55.3A,4,46.2,6.666667
74110,00.97,8,46.183333,6.716667
74110,00.97,8,46.2,6.683333
74110,00.97,8,46.183333,6.666667
74110,00.97,8,46.2,6.666667
74110,67.12,12,46.183333,6.716667
74110,67.12,12,46.2,6.683333
74110,67.12,12,46.183333,6.666667
74110,67.12,12,46.2,6.666667
74110,50.2Z,12,46.183333,6.716667
74110,50.2Z,12,46.2,6.683333
74110,50.2Z,12,46.183333,6.666667
74110,50.2Z,12,46.2,6.666667
74110,49.05,4,46.183333,6.716667
74110,49.05,4,46.2,6.683333
74110,49.05,4,46.183333,6.666667
74110,49.05,4,46.2,6.666667
74110,65.06,4,46.183333,6.716667
74110,65.06,4,46.2,6.683333
74110,65.06,4,46.183333,6.666667
74110,65.06,4,46.2,6.666667
74110,86.11,4,46.183333,6.716667
74110,86.11,4,46.2,6.683333
74110,86.11,4,46.183333,6.666667
74110,86.11,4,46.2,6.666667
74110,81.11,4,46.183333,6.716667
74110,81.11,4,46.2,6.683333
74110,81.11,4,46.183333,6.666667
74110,81.11,4,46.2,6.666667
74110,67.01,4,46.183333,6.716667
74110,67.01,4,46.2,6.683333
74110,67.01,4,46.183333,6.666667
74110,67.01,4,46.2,6.666667
74110,45.4A,4,46.183333,6.716667
74110,45.4A,4,46.2,6.683333
74110,45.4A,4,46.183333,6.666667
74110,45.4A,4,46.2,6.666667
74110,55.71,12,46.183333,6.716667
74110,55.71,12,46.2,6.683333
74110,55.71,12,46.183333,6.666667
74110,55.71,12,46.2,6.666667
74110,55.2E,12,46.183333,6.716667
74110,55.2E,12,46.2,6.683333
74110,55.2E,12,46.183333,6.666667
74110,55.2E,12,46.2,6.666667
74110,70.2C,8,46.183333,6.716667
74110,70.2C,8,46.2,6.683333
74110,70.2C,8,46.183333,6.666667
74110,70.2C,8,46.2,6.666667
74110,01.2A,4,46.183333,6.716667
74110,01.2A,4,46.2,6.683333
74110,01.2A,4,46.183333,6.666667
74110,01.2A,4,46.2,6.666667
74110,48.01,12,46.183333,6.716667
74110,48.01,12,46.2,6.683333
74110,48.01,12,46.183333,6.666667
74110,48.01,12,46.2,6.666667
74110,41.0Z,4,46.183333,6.716667
74110,41.0Z,4,46.2,6.683333
74110,41.0Z,4,46.183333,6.666667
74110,41.0Z,4,46.2,6.666667
74110,67.04,12,46.183333,6.716667
74110,67.04,12,46.2,6.683333
74110,67.04,12,46.183333,6.666667
74110,67.04,12,46.2,6.666667
74110,21.04,4,46.183333,6.716667
74110,21.04,4,46.2,6.683333
74110,21.04,4,46.183333,6.666667
74110,21.04,4,46.2,6.666667
74110,55.1A,4,46.183333,6.716667
74110,55.1A,4,46.2,6.683333
74110,55.1A,4,46.183333,6.666667
74110,55.1A,4,46.2,6.666667
74110,67.08,4,46.183333,6.716667
74110,67.08,4,46.2,6.683333
74110,67.08,4,46.183333,6.666667
74110,67.08,4,46.2,6.666667
74110,01.1A,8,46.183333,6.716667
74110,01.1A,8,46.2,6.683333
74110,01.1A,8,46.183333,6.666667
74110,01.1A,8,46.2,6.666667
74110,74.1C,4,46.183333,6.716667
74110,74.1C,4,46.2,6.683333
74110,74.1C,4,46.183333,6.666667
74110,74.1C,4,46.2,6.666667
74110,54.10,4,46.183333,6.716667
74110,54.10,4,46.2,6.683333
74110,54.10,4,46.183333,6.666667
74110,54.10,4,46.2,6.666667
74110,92.6C,4,46.183333,6.716667
74110,92.6C,4,46.2,6.683333
74110,92.6C,4,46.183333,6.666667
74110,92.6C,4,46.2,6.666667
74110,70.2A,4,46.183333,6.716667
74110,70.2A,4,46.2,6.683333
74110,70.2A,4,46.183333,6.666667
74110,70.2A,4,46.2,6.666667
