codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76210,47.99A,32,"",""
76210,47.99A,32,49.583333,0.416667
76210,47.99A,32,49.55,0.466667
76210,47.99A,32,"",""
76210,47.99A,32,49.6,0.516667
76210,47.99A,32,49.583333,0.383333
76210,47.99A,32,49.6,0.483333
76210,47.99A,32,49.616667,0.45
76210,47.99A,32,49.566667,0.566667
76210,47.99A,32,49.583333,0.533333
76210,47.99A,32,49.55,0.483333
76210,47.99A,32,49.6,0.566667
76210,47.99A,32,49.566667,0.483333
76210,47.99A,32,49.566667,0.533333
76210,47.99A,32,49.6,0.433333
76210,47.99A,32,49.616667,0.483333
76210,45.20B,16,"",""
76210,45.20B,16,49.583333,0.416667
76210,45.20B,16,49.55,0.466667
76210,45.20B,16,"",""
76210,45.20B,16,49.6,0.516667
76210,45.20B,16,49.583333,0.383333
76210,45.20B,16,49.6,0.483333
76210,45.20B,16,49.616667,0.45
76210,45.20B,16,49.566667,0.566667
76210,45.20B,16,49.583333,0.533333
76210,45.20B,16,49.55,0.483333
76210,45.20B,16,49.6,0.566667
76210,45.20B,16,49.566667,0.483333
76210,45.20B,16,49.566667,0.533333
76210,45.20B,16,49.6,0.433333
76210,45.20B,16,49.616667,0.483333
76210,70.3A,16,"",""
76210,70.3A,16,49.583333,0.416667
76210,70.3A,16,49.55,0.466667
76210,70.3A,16,"",""
76210,70.3A,16,49.6,0.516667
76210,70.3A,16,49.583333,0.383333
76210,70.3A,16,49.6,0.483333
76210,70.3A,16,49.616667,0.45
76210,70.3A,16,49.566667,0.566667
76210,70.3A,16,49.583333,0.533333
76210,70.3A,16,49.55,0.483333
76210,70.3A,16,49.6,0.566667
76210,70.3A,16,49.566667,0.483333
76210,70.3A,16,49.566667,0.533333
76210,70.3A,16,49.6,0.433333
76210,70.3A,16,49.616667,0.483333
76210,55.3A,16,"",""
76210,55.3A,16,49.583333,0.416667
76210,55.3A,16,49.55,0.466667
76210,55.3A,16,"",""
76210,55.3A,16,49.6,0.516667
76210,55.3A,16,49.583333,0.383333
76210,55.3A,16,49.6,0.483333
76210,55.3A,16,49.616667,0.45
76210,55.3A,16,49.566667,0.566667
76210,55.3A,16,49.583333,0.533333
76210,55.3A,16,49.55,0.483333
76210,55.3A,16,49.6,0.566667
76210,55.3A,16,49.566667,0.483333
76210,55.3A,16,49.566667,0.533333
76210,55.3A,16,49.6,0.433333
76210,55.3A,16,49.616667,0.483333
76210,43.22A,16,"",""
76210,43.22A,16,49.583333,0.416667
76210,43.22A,16,49.55,0.466667
76210,43.22A,16,"",""
76210,43.22A,16,49.6,0.516667
76210,43.22A,16,49.583333,0.383333
76210,43.22A,16,49.6,0.483333
76210,43.22A,16,49.616667,0.45
76210,43.22A,16,49.566667,0.566667
76210,43.22A,16,49.583333,0.533333
76210,43.22A,16,49.55,0.483333
76210,43.22A,16,49.6,0.566667
76210,43.22A,16,49.566667,0.483333
76210,43.22A,16,49.566667,0.533333
76210,43.22A,16,49.6,0.433333
76210,43.22A,16,49.616667,0.483333
76210,93.0D,16,"",""
76210,93.0D,16,49.583333,0.416667
76210,93.0D,16,49.55,0.466667
76210,93.0D,16,"",""
76210,93.0D,16,49.6,0.516667
76210,93.0D,16,49.583333,0.383333
76210,93.0D,16,49.6,0.483333
76210,93.0D,16,49.616667,0.45
76210,93.0D,16,49.566667,0.566667
76210,93.0D,16,49.583333,0.533333
76210,93.0D,16,49.55,0.483333
76210,93.0D,16,49.6,0.566667
76210,93.0D,16,49.566667,0.483333
76210,93.0D,16,49.566667,0.533333
76210,93.0D,16,49.6,0.433333
