codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76280,47.99A,16,49.65,0.25
76280,47.99A,16,49.616667,0.283333
76280,47.99A,16,49.616667,0.233333
76280,47.99A,16,49.65,0.166667
76280,47.99A,16,49.666667,0.2
76280,47.99A,16,49.683333,0.233333
76280,47.99A,16,49.666667,0.183333
76280,47.99A,16,"",""
76280,47.99A,16,49.6,0.266667
76280,47.99A,16,49.633333,0.216667
76280,47.99A,16,49.683333,0.3
76280,47.99A,16,"",""
76280,47.99A,16,49.65,0.266667
76280,47.99A,16,49.666667,0.216667
76280,47.99A,16,49.633333,0.233333
76280,47.99A,16,49.583333,0.283333
76280,01.11Z,16,49.65,0.25
76280,01.11Z,16,49.616667,0.283333
76280,01.11Z,16,49.616667,0.233333
76280,01.11Z,16,49.65,0.166667
76280,01.11Z,16,49.666667,0.2
76280,01.11Z,16,49.683333,0.233333
76280,01.11Z,16,49.666667,0.183333
76280,01.11Z,16,"",""
76280,01.11Z,16,49.6,0.266667
76280,01.11Z,16,49.633333,0.216667
76280,01.11Z,16,49.683333,0.3
76280,01.11Z,16,"",""
76280,01.11Z,16,49.65,0.266667
76280,01.11Z,16,49.666667,0.216667
76280,01.11Z,16,49.633333,0.233333
76280,01.11Z,16,49.583333,0.283333
76280,95.29Z,16,49.65,0.25
76280,95.29Z,16,49.616667,0.283333
76280,95.29Z,16,49.616667,0.233333
76280,95.29Z,16,49.65,0.166667
76280,95.29Z,16,49.666667,0.2
76280,95.29Z,16,49.683333,0.233333
76280,95.29Z,16,49.666667,0.183333
76280,95.29Z,16,"",""
76280,95.29Z,16,49.6,0.266667
76280,95.29Z,16,49.633333,0.216667
76280,95.29Z,16,49.683333,0.3
76280,95.29Z,16,"",""
76280,95.29Z,16,49.65,0.266667
76280,95.29Z,16,49.666667,0.216667
76280,95.29Z,16,49.633333,0.233333
76280,95.29Z,16,49.583333,0.283333
76280,95.11Z,16,49.65,0.25
76280,95.11Z,16,49.616667,0.283333
76280,95.11Z,16,49.616667,0.233333
76280,95.11Z,16,49.65,0.166667
76280,95.11Z,16,49.666667,0.2
76280,95.11Z,16,49.683333,0.233333
76280,95.11Z,16,49.666667,0.183333
76280,95.11Z,16,"",""
76280,95.11Z,16,49.6,0.266667
76280,95.11Z,16,49.633333,0.216667
76280,95.11Z,16,49.683333,0.3
76280,95.11Z,16,"",""
76280,95.11Z,16,49.65,0.266667
76280,95.11Z,16,49.666667,0.216667
76280,95.11Z,16,49.633333,0.233333
76280,95.11Z,16,49.583333,0.283333
76280,62.11,16,49.65,0.25
76280,62.11,16,49.616667,0.283333
76280,62.11,16,49.616667,0.233333
76280,62.11,16,49.65,0.166667
76280,62.11,16,49.666667,0.2
76280,62.11,16,49.683333,0.233333
76280,62.11,16,49.666667,0.183333
76280,62.11,16,"",""
76280,62.11,16,49.6,0.266667
76280,62.11,16,49.633333,0.216667
76280,62.11,16,49.683333,0.3
76280,62.11,16,"",""
76280,62.11,16,49.65,0.266667
76280,62.11,16,49.666667,0.216667
76280,62.11,16,49.633333,0.233333
76280,62.11,16,49.583333,0.283333
76280,43.34Z,16,49.65,0.25
76280,43.34Z,16,49.616667,0.283333
76280,43.34Z,16,49.616667,0.233333
76280,43.34Z,16,49.65,0.166667
76280,43.34Z,16,49.666667,0.2
76280,43.34Z,16,49.683333,0.233333
76280,43.34Z,16,49.666667,0.183333
76280,43.34Z,16,"",""
76280,43.34Z,16,49.6,0.266667
76280,43.34Z,16,49.633333,0.216667
76280,43.34Z,16,49.683333,0.3
76280,43.34Z,16,"",""
76280,43.34Z,16,49.65,0.266667
76280,43.34Z,16,49.666667,0.216667
76280,43.34Z,16,49.633333,0.233333
76280,43.34Z,16,49.583333,0.283333
76280,90.01Z,16,49.65,0.25
76280,90.01Z,16,49.616667,0.283333
76280,90.01Z,16,49.616667,0.233333
76280,90.01Z,16,49.65,0.166667
76280,90.01Z,16,49.666667,0.2
76280,90.01Z,16,49.683333,0.233333
76280,90.01Z,16,49.666667,0.183333
76280,90.01Z,16,"",""
76280,90.01Z,16,49.6,0.266667
76280,90.01Z,16,49.633333,0.216667
76280,90.01Z,16,49.683333,0.3
76280,90.01Z,16,"",""
76280,90.01Z,16,49.65,0.266667
76280,90.01Z,16,49.666667,0.216667
76280,90.01Z,16,49.633333,0.233333
76280,90.01Z,16,49.583333,0.283333
76280,01.43Z,16,49.65,0.25
76280,01.43Z,16,49.616667,0.283333
76280,01.43Z,16,49.616667,0.233333
76280,01.43Z,16,49.65,0.166667
76280,01.43Z,16,49.666667,0.2
76280,01.43Z,16,49.683333,0.233333
76280,01.43Z,16,49.666667,0.183333
76280,01.43Z,16,"",""
76280,01.43Z,16,49.6,0.266667
76280,01.43Z,16,49.633333,0.216667
76280,01.43Z,16,49.683333,0.3
76280,01.43Z,16,"",""
76280,01.43Z,16,49.65,0.266667
76280,01.43Z,16,49.666667,0.216667
76280,01.43Z,16,49.633333,0.233333
76280,01.43Z,16,49.583333,0.283333
76280,82.11Z,16,49.65,0.25
76280,82.11Z,16,49.616667,0.283333
76280,82.11Z,16,49.616667,0.233333
76280,82.11Z,16,49.65,0.166667
76280,82.11Z,16,49.666667,0.2
