codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76290,58.19Z,5,49.533333,0.233333
76290,58.19Z,5,49.55,0.2
76290,58.19Z,5,49.6,0.183333
76290,58.19Z,5,"",""
76290,58.19Z,5,49.533333,0.15
76290,01.11Z,15,49.533333,0.233333
76290,01.11Z,15,49.55,0.2
76290,01.11Z,15,49.6,0.183333
76290,01.11Z,15,"",""
76290,01.11Z,15,49.533333,0.15
76290,68.20A,15,49.533333,0.233333
76290,68.20A,15,49.55,0.2
76290,68.20A,15,49.6,0.183333
76290,68.20A,15,"",""
76290,68.20A,15,49.533333,0.15
76290,01.50,5,49.533333,0.233333
76290,01.50,5,49.55,0.2
76290,01.50,5,49.6,0.183333
76290,01.50,5,"",""
76290,01.50,5,49.533333,0.15
76290,55.60,5,49.533333,0.233333
76290,55.60,5,49.55,0.2
76290,55.60,5,49.6,0.183333
76290,55.60,5,"",""
76290,55.60,5,49.533333,0.15
76290,72.2Z,5,49.533333,0.233333
76290,72.2Z,5,49.55,0.2
76290,72.2Z,5,49.6,0.183333
76290,72.2Z,5,"",""
76290,72.2Z,5,49.533333,0.15
76290,43.34Z,10,49.533333,0.233333
76290,43.34Z,10,49.55,0.2
76290,43.34Z,10,49.6,0.183333
76290,43.34Z,10,"",""
76290,43.34Z,10,49.533333,0.15
76290,93.19Z,10,49.533333,0.233333
76290,93.19Z,10,49.55,0.2
76290,93.19Z,10,49.6,0.183333
76290,93.19Z,10,"",""
76290,93.19Z,10,49.533333,0.15
76290,64.20Z,5,49.533333,0.233333
76290,64.20Z,5,49.55,0.2
76290,64.20Z,5,49.6,0.183333
76290,64.20Z,5,"",""
76290,64.20Z,5,49.533333,0.15
76290,82.11Z,10,49.533333,0.233333
76290,82.11Z,10,49.55,0.2
76290,82.11Z,10,49.6,0.183333
76290,82.11Z,10,"",""
76290,82.11Z,10,49.533333,0.15
76290,81.30Z,10,49.533333,0.233333
76290,81.30Z,10,49.55,0.2
76290,81.30Z,10,49.6,0.183333
76290,81.30Z,10,"",""
76290,81.30Z,10,49.533333,0.15
76290,84.11Z,15,49.533333,0.233333
76290,84.11Z,15,49.55,0.2
76290,84.11Z,15,49.6,0.183333
76290,84.11Z,15,"",""
76290,84.11Z,15,49.533333,0.15
76290,01.4A,5,49.533333,0.233333
76290,01.4A,5,49.55,0.2
76290,01.4A,5,49.6,0.183333
76290,01.4A,5,"",""
76290,01.4A,5,49.533333,0.15
76290,55.20Z,10,49.533333,0.233333
76290,55.20Z,10,49.55,0.2
76290,55.20Z,10,49.6,0.183333
76290,55.20Z,10,"",""
76290,55.20Z,10,49.533333,0.15
76290,93.12Z,5,49.533333,0.233333
76290,93.12Z,5,49.55,0.2
76290,93.12Z,5,49.6,0.183333
76290,93.12Z,5,"",""
76290,93.12Z,5,49.533333,0.15
76290,43.32A,10,49.533333,0.233333
76290,43.32A,10,49.55,0.2
