codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76370,47.99A,36,49.95,1.233333
76370,47.99A,36,49.9,1.083333
76370,47.99A,36,49.9,1.15
76370,47.99A,36,49.916667,1.15
76370,47.99A,36,49.933333,1.216667
76370,47.99A,36,49.95,1.15
76370,47.99A,36,49.966667,1.183333
76370,47.99A,36,49.95,1.166667
76370,47.99A,36,49.9,1.183333
76370,33.20A,9,49.95,1.233333
76370,33.20A,9,49.9,1.083333
76370,33.20A,9,49.9,1.15
76370,33.20A,9,49.916667,1.15
76370,33.20A,9,49.933333,1.216667
76370,33.20A,9,49.95,1.15
76370,33.20A,9,49.966667,1.183333
76370,33.20A,9,49.95,1.166667
76370,33.20A,9,49.9,1.183333
76370,64.11,9,49.95,1.233333
76370,64.11,9,49.9,1.083333
76370,64.11,9,49.9,1.15
76370,64.11,9,49.916667,1.15
76370,64.11,9,49.933333,1.216667
76370,64.11,9,49.95,1.15
76370,64.11,9,49.966667,1.183333
76370,64.11,9,49.95,1.166667
76370,64.11,9,49.9,1.183333
76370,43.22A,9,49.95,1.233333
76370,43.22A,9,49.9,1.083333
76370,43.22A,9,49.9,1.15
76370,43.22A,9,49.916667,1.15
76370,43.22A,9,49.933333,1.216667
76370,43.22A,9,49.95,1.15
76370,43.22A,9,49.966667,1.183333
76370,43.22A,9,49.95,1.166667
76370,43.22A,9,49.9,1.183333
76370,01.11Z,36,49.95,1.233333
76370,01.11Z,36,49.9,1.083333
76370,01.11Z,36,49.9,1.15
76370,01.11Z,36,49.916667,1.15
76370,01.11Z,36,49.933333,1.216667
76370,01.11Z,36,49.95,1.15
76370,01.11Z,36,49.966667,1.183333
76370,01.11Z,36,49.95,1.166667
76370,01.11Z,36,49.9,1.183333
76370,00.97,9,49.95,1.233333
76370,00.97,9,49.9,1.083333
76370,00.97,9,49.9,1.15
76370,00.97,9,49.916667,1.15
76370,00.97,9,49.933333,1.216667
76370,00.97,9,49.95,1.15
76370,00.97,9,49.966667,1.183333
76370,00.97,9,49.95,1.166667
76370,00.97,9,49.9,1.183333
76370,49.41A,18,49.95,1.233333
76370,49.41A,18,49.9,1.083333
76370,49.41A,18,49.9,1.15
76370,49.41A,18,49.916667,1.15
76370,49.41A,18,49.933333,1.216667
76370,49.41A,18,49.95,1.15
76370,49.41A,18,49.966667,1.183333
76370,49.41A,18,49.95,1.166667
76370,49.41A,18,49.9,1.183333
76370,68.20A,54,49.95,1.233333
76370,68.20A,54,49.9,1.083333
