codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76380,47.99A,6,49.466667,1
76380,47.99A,6,49.45,1.033333
76380,47.99A,6,49.383333,1
76380,43.22A,3,49.466667,1
76380,43.22A,3,49.45,1.033333
76380,43.22A,3,49.383333,1
76380,01.11Z,15,49.466667,1
76380,01.11Z,15,49.45,1.033333
76380,01.11Z,15,49.383333,1
76380,95.29Z,6,49.466667,1
76380,95.29Z,6,49.45,1.033333
76380,95.29Z,6,49.383333,1
76380,92.3A,3,49.466667,1
76380,92.3A,3,49.45,1.033333
76380,92.3A,3,49.383333,1
76380,01.50,3,49.466667,1
76380,01.50,3,49.45,1.033333
76380,01.50,3,49.383333,1
76380,68.20A,12,49.466667,1
76380,68.20A,12,49.45,1.033333
76380,68.20A,12,49.383333,1
76380,45.2J,6,49.466667,1
76380,45.2J,6,49.45,1.033333
76380,45.2J,6,49.383333,1
76380,62.11,3,49.466667,1
76380,62.11,3,49.45,1.033333
76380,62.11,3,49.383333,1
76380,85.1C,3,49.466667,1
76380,85.1C,3,49.45,1.033333
76380,85.1C,3,49.383333,1
76380,46.49Z,3,49.466667,1
76380,46.49Z,3,49.45,1.033333
76380,46.49Z,3,49.383333,1
76380,01.47Z,3,49.466667,1
76380,01.47Z,3,49.45,1.033333
76380,01.47Z,3,49.383333,1
76380,64.20Z,6,49.466667,1
76380,64.20Z,6,49.45,1.033333
76380,64.20Z,6,49.383333,1
76380,01.43Z,9,49.466667,1
76380,01.43Z,9,49.45,1.033333
76380,01.43Z,9,49.383333,1
76380,90.01Z,3,49.466667,1
76380,90.01Z,3,49.45,1.033333
76380,90.01Z,3,49.383333,1
76380,86.90E,3,49.466667,1
76380,86.90E,3,49.45,1.033333
76380,86.90E,3,49.383333,1
76380,56.10C,9,49.466667,1
76380,56.10C,9,49.45,1.033333
76380,56.10C,9,49.383333,1
76380,84.11Z,3,49.466667,1
76380,84.11Z,3,49.45,1.033333
76380,84.11Z,3,49.383333,1
76380,01.3Z,12,49.466667,1
76380,01.3Z,12,49.45,1.033333
76380,01.3Z,12,49.383333,1
76380,43.22B,3,49.466667,1
76380,43.22B,3,49.45,1.033333
76380,43.22B,3,49.383333,1
76380,56.10A,3,49.466667,1
76380,56.10A,3,49.45,1.033333
76380,56.10A,3,49.383333,1
76380,86.90D,6,49.466667,1
76380,86.90D,6,49.45,1.033333
76380,86.90D,6,49.383333,1
76380,46.19B,6,49.466667,1
76380,46.19B,6,49.45,1.033333
76380,46.19B,6,49.383333,1
76380,01.00,3,49.466667,1
76380,01.00,3,49.45,1.033333
76380,01.00,3,49.383333,1
76380,33.15Z,3,49.466667,1
76380,33.15Z,3,49.45,1.033333
76380,33.15Z,3,49.383333,1
76380,47.78C,3,49.466667,1
76380,47.78C,3,49.45,1.033333
76380,47.78C,3,49.383333,1
76380,01.50Z,21,49.466667,1
76380,01.50Z,21,49.45,1.033333
76380,01.50Z,21,49.383333,1
76380,77.12,3,49.466667,1
76380,77.12,3,49.45,1.033333
76380,77.12,3,49.383333,1
76380,01.45Z,3,49.466667,1
76380,01.45Z,3,49.45,1.033333
76380,01.45Z,3,49.383333,1
76380,47.71Z,3,49.466667,1
76380,47.71Z,3,49.45,1.033333
76380,47.71Z,3,49.383333,1
76380,01.2A,3,49.466667,1
76380,01.2A,3,49.45,1.033333
76380,01.2A,3,49.383333,1
76380,11.03Z,3,49.466667,1
76380,11.03Z,3,49.45,1.033333
76380,11.03Z,3,49.383333,1
76380,47.81Z,9,49.466667,1
76380,47.81Z,9,49.45,1.033333
76380,47.81Z,9,49.383333,1
76380,68.31Z,9,49.466667,1
76380,68.31Z,9,49.45,1.033333
76380,68.31Z,9,49.383333,1
76380,01.41Z,9,49.466667,1
76380,01.41Z,9,49.45,1.033333
76380,01.41Z,9,49.383333,1
76380,01.42Z,9,49.466667,1
76380,01.42Z,9,49.45,1.033333
76380,01.42Z,9,49.383333,1
76380,43.99C,3,49.466667,1
76380,43.99C,3,49.45,1.033333
76380,43.99C,3,49.383333,1
76380,01.61Z,6,49.466667,1
76380,01.61Z,6,49.45,1.033333
76380,01.61Z,6,49.383333,1
76380,96.09Z,9,49.466667,1
76380,96.09Z,9,49.45,1.033333
76380,96.09Z,9,49.383333,1
76380,32.50A,3,49.466667,1
76380,32.50A,3,49.45,1.033333
76380,32.50A,3,49.383333,1
76380,33.12Z,3,49.466667,1
76380,33.12Z,3,49.45,1.033333
76380,33.12Z,3,49.383333,1
76380,81.21Z,3,49.466667,1
76380,81.21Z,3,49.45,1.033333
76380,81.21Z,3,49.383333,1
76380,43.12A,9,49.466667,1
76380,43.12A,9,49.45,1.033333
76380,43.12A,9,49.383333,1
76380,01.13Z,3,49.466667,1
76380,01.13Z,3,49.45,1.033333
76380,01.13Z,3,49.383333,1
76380,41.10D,6,49.466667,1
76380,41.10D,6,49.45,1.033333
76380,41.10D,6,49.383333,1
76380,01.49Z,3,49.466667,1
76380,01.49Z,3,49.45,1.033333
76380,01.49Z,3,49.383333,1
76380,01.1A,33,49.466667,1
76380,01.1A,33,49.45,1.033333
76380,01.1A,33,49.383333,1
76380,79.04,3,49.466667,1
76380,79.04,3,49.45,1.033333
76380,79.04,3,49.383333,1
76380,68.32A,3,49.466667,1
76380,68.32A,3,49.45,1.033333
76380,68.32A,3,49.383333,1
76380,01.62Z,9,49.466667,1
76380,01.62Z,9,49.45,1.033333
76380,01.62Z,9,49.383333,1
76380,88.99B,6,49.466667,1
76380,88.99B,6,49.45,1.033333
76380,88.99B,6,49.383333,1
76380,93.29Z,3,49.466667,1
76380,93.29Z,3,49.45,1.033333
76380,93.29Z,3,49.383333,1
76380,59.11A,3,49.466667,1
76380,59.11A,3,49.45,1.033333
76380,59.11A,3,49.383333,1
76380,43.21A,3,49.466667,1
76380,43.21A,3,49.45,1.033333
76380,43.21A,3,49.383333,1
