codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76390,47.99A,90,49.833333,1.716667
76390,47.99A,90,49.716667,1.633333
76390,47.99A,90,49.8,1.65
76390,47.99A,90,49.766667,1.633333
76390,47.99A,90,49.783333,1.716667
76390,47.99A,90,49.783333,1.7
76390,47.99A,90,49.766667,1.583333
76390,47.99A,90,"",""
76390,47.99A,90,49.75,1.65
76390,47.99A,90,49.733333,1.7
76390,47.99A,90,49.8,1.716667
76390,47.99A,90,49.683333,1.7
76390,47.99A,90,"",""
76390,47.99A,90,49.766667,1.75
76390,47.99A,90,49.8,1.666667
76390,33.20A,15,49.833333,1.716667
76390,33.20A,15,49.716667,1.633333
76390,33.20A,15,49.8,1.65
76390,33.20A,15,49.766667,1.633333
76390,33.20A,15,49.783333,1.716667
76390,33.20A,15,49.783333,1.7
76390,33.20A,15,49.766667,1.583333
76390,33.20A,15,"",""
76390,33.20A,15,49.75,1.65
76390,33.20A,15,49.733333,1.7
76390,33.20A,15,49.8,1.716667
76390,33.20A,15,49.683333,1.7
76390,33.20A,15,"",""
76390,33.20A,15,49.766667,1.75
76390,33.20A,15,49.8,1.666667
76390,70.3A,15,49.833333,1.716667
76390,70.3A,15,49.716667,1.633333
76390,70.3A,15,49.8,1.65
76390,70.3A,15,49.766667,1.633333
76390,70.3A,15,49.783333,1.716667
76390,70.3A,15,49.783333,1.7
76390,70.3A,15,49.766667,1.583333
76390,70.3A,15,"",""
76390,70.3A,15,49.75,1.65
76390,70.3A,15,49.733333,1.7
76390,70.3A,15,49.8,1.716667
76390,70.3A,15,49.683333,1.7
76390,70.3A,15,"",""
76390,70.3A,15,49.766667,1.75
76390,70.3A,15,49.8,1.666667
76390,55.3A,30,49.833333,1.716667
76390,55.3A,30,49.716667,1.633333
76390,55.3A,30,49.8,1.65
76390,55.3A,30,49.766667,1.633333
76390,55.3A,30,49.783333,1.716667
76390,55.3A,30,49.783333,1.7
76390,55.3A,30,49.766667,1.583333
76390,55.3A,30,"",""
76390,55.3A,30,49.75,1.65
76390,55.3A,30,49.733333,1.7
76390,55.3A,30,49.8,1.716667
76390,55.3A,30,49.683333,1.7
76390,55.3A,30,"",""
76390,55.3A,30,49.766667,1.75
76390,55.3A,30,49.8,1.666667
76390,43.22A,45,49.833333,1.716667
76390,43.22A,45,49.716667,1.633333
76390,43.22A,45,49.8,1.65
76390,43.22A,45,49.766667,1.633333
76390,43.22A,45,49.783333,1.716667
76390,43.22A,45,49.783333,1.7
76390,43.22A,45,49.766667,1.583333
76390,43.22A,45,"",""
76390,43.22A,45,49.75,1.65
76390,43.22A,45,49.733333,1.7
76390,43.22A,45,49.8,1.716667
76390,43.22A,45,49.683333,1.7
76390,43.22A,45,"",""
76390,43.22A,45,49.766667,1.75
76390,43.22A,45,49.8,1.666667
76390,93.0D,15,49.833333,1.716667
76390,93.0D,15,49.716667,1.633333
76390,93.0D,15,49.8,1.65
76390,93.0D,15,49.766667,1.633333
76390,93.0D,15,49.783333,1.716667
76390,93.0D,15,49.783333,1.7
76390,93.0D,15,49.766667,1.583333
76390,93.0D,15,"",""
76390,93.0D,15,49.75,1.65
76390,93.0D,15,49.733333,1.7
76390,93.0D,15,49.8,1.716667
76390,93.0D,15,49.683333,1.7
76390,93.0D,15,"",""
76390,93.0D,15,49.766667,1.75
76390,93.0D,15,49.8,1.666667
76390,02.10Z,15,49.833333,1.716667
76390,02.10Z,15,49.716667,1.633333
76390,02.10Z,15,49.8,1.65
76390,02.10Z,15,49.766667,1.633333
76390,02.10Z,15,49.783333,1.716667
76390,02.10Z,15,49.783333,1.7
76390,02.10Z,15,49.766667,1.583333
76390,02.10Z,15,"",""
76390,02.10Z,15,49.75,1.65
76390,02.10Z,15,49.733333,1.7
76390,02.10Z,15,49.8,1.716667
76390,02.10Z,15,49.683333,1.7
76390,02.10Z,15,"",""
76390,02.10Z,15,49.766667,1.75
76390,02.10Z,15,49.8,1.666667
76390,01.11Z,195,49.833333,1.716667
76390,01.11Z,195,49.716667,1.633333
76390,01.11Z,195,49.8,1.65
