codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76430,47.99A,32,49.483333,0.466667
76430,47.99A,32,49.5,0.316667
76430,47.99A,32,49.5,0.366667
76430,47.99A,32,49.5,0.366667
76430,47.99A,32,49.533333,0.366667
76430,47.99A,32,49.566667,0.383333
76430,47.99A,32,49.516667,0.333333
76430,47.99A,32,49.55,0.283333
76430,47.99A,32,49.5,0.3
76430,47.99A,32,49.55,0.416667
76430,47.99A,32,49.533333,0.4
76430,47.99A,32,49.5,0.416667
76430,47.99A,32,49.583333,0.333333
76430,47.99A,32,49.55,0.366667
76430,47.99A,32,49.566667,0.316667
76430,47.99A,32,49.533333,0.316667
76430,67.05,16,49.483333,0.466667
76430,67.05,16,49.5,0.316667
76430,67.05,16,49.5,0.366667
76430,67.05,16,49.5,0.366667
76430,67.05,16,49.533333,0.366667
76430,67.05,16,49.566667,0.383333
76430,67.05,16,49.516667,0.333333
76430,67.05,16,49.55,0.283333
76430,67.05,16,49.5,0.3
76430,67.05,16,49.55,0.416667
76430,67.05,16,49.533333,0.4
76430,67.05,16,49.5,0.416667
76430,67.05,16,49.583333,0.333333
76430,67.05,16,49.55,0.366667
76430,67.05,16,49.566667,0.316667
76430,67.05,16,49.533333,0.316667
76430,01.11Z,48,49.483333,0.466667
76430,01.11Z,48,49.5,0.316667
76430,01.11Z,48,49.5,0.366667
76430,01.11Z,48,49.5,0.366667
76430,01.11Z,48,49.533333,0.366667
76430,01.11Z,48,49.566667,0.383333
76430,01.11Z,48,49.516667,0.333333
76430,01.11Z,48,49.55,0.283333
76430,01.11Z,48,49.5,0.3
76430,01.11Z,48,49.55,0.416667
76430,01.11Z,48,49.533333,0.4
76430,01.11Z,48,49.5,0.416667
76430,01.11Z,48,49.583333,0.333333
76430,01.11Z,48,49.55,0.366667
76430,01.11Z,48,49.566667,0.316667
76430,01.11Z,48,49.533333,0.316667
76430,68.20A,16,49.483333,0.466667
76430,68.20A,16,49.5,0.316667
76430,68.20A,16,49.5,0.366667
76430,68.20A,16,49.5,0.366667
76430,68.20A,16,49.533333,0.366667
