codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76550,33.20A,16,49.85,1.1
76550,33.20A,16,49.85,1.066667
76550,33.20A,16,49.866667,1.066667
76550,33.20A,16,49.866667,1.05
76550,33.20A,16,49.9,1.033333
76550,33.20A,16,49.85,1.033333
76550,33.20A,16,49.85,1.116667
76550,33.20A,16,49.866667,1
76550,47.99A,32,49.85,1.1
76550,47.99A,32,49.85,1.066667
76550,47.99A,32,49.866667,1.066667
76550,47.99A,32,49.866667,1.05
76550,47.99A,32,49.9,1.033333
76550,47.99A,32,49.85,1.033333
76550,47.99A,32,49.85,1.116667
76550,47.99A,32,49.866667,1
76550,70.3A,8,49.85,1.1
76550,70.3A,8,49.85,1.066667
76550,70.3A,8,49.866667,1.066667
76550,70.3A,8,49.866667,1.05
76550,70.3A,8,49.9,1.033333
76550,70.3A,8,49.85,1.033333
76550,70.3A,8,49.85,1.116667
76550,70.3A,8,49.866667,1
76550,55.3A,8,49.85,1.1
76550,55.3A,8,49.85,1.066667
76550,55.3A,8,49.866667,1.066667
76550,55.3A,8,49.866667,1.05
76550,55.3A,8,49.9,1.033333
76550,55.3A,8,49.85,1.033333
76550,55.3A,8,49.85,1.116667
76550,55.3A,8,49.866667,1
76550,43.22A,16,49.85,1.1
76550,43.22A,16,49.85,1.066667
76550,43.22A,16,49.866667,1.066667
76550,43.22A,16,49.866667,1.05
76550,43.22A,16,49.9,1.033333
76550,43.22A,16,49.85,1.033333
76550,43.22A,16,49.85,1.116667
76550,43.22A,16,49.866667,1
76550,67.05,8,49.85,1.1
76550,67.05,8,49.85,1.066667
76550,67.05,8,49.866667,1.066667
76550,67.05,8,49.866667,1.05
76550,67.05,8,49.9,1.033333
76550,67.05,8,49.85,1.033333
76550,67.05,8,49.85,1.116667
76550,67.05,8,49.866667,1
76550,93.0D,8,49.85,1.1
76550,93.0D,8,49.85,1.066667
76550,93.0D,8,49.866667,1.066667
76550,93.0D,8,49.866667,1.05
76550,93.0D,8,49.9,1.033333
76550,93.0D,8,49.85,1.033333
76550,93.0D,8,49.85,1.116667
76550,93.0D,8,49.866667,1
76550,01.11Z,32,49.85,1.1
76550,01.11Z,32,49.85,1.066667
76550,01.11Z,32,49.866667,1.066667
76550,01.11Z,32,49.866667,1.05
76550,01.11Z,32,49.9,1.033333
76550,01.11Z,32,49.85,1.033333
76550,01.11Z,32,49.85,1.116667
76550,01.11Z,32,49.866667,1
76550,47.79Z,8,49.85,1.1
76550,47.79Z,8,49.85,1.066667
76550,47.79Z,8,49.866667,1.066667
76550,47.79Z,8,49.866667,1.05
76550,47.79Z,8,49.9,1.033333
76550,47.79Z,8,49.85,1.033333
76550,47.79Z,8,49.85,1.116667
76550,47.79Z,8,49.866667,1
76550,92.3A,16,49.85,1.1
76550,92.3A,16,49.85,1.066667
76550,92.3A,16,49.866667,1.066667
76550,92.3A,16,49.866667,1.05
76550,92.3A,16,49.9,1.033333
76550,92.3A,16,49.85,1.033333
76550,92.3A,16,49.85,1.116667
76550,92.3A,16,49.866667,1
76550,95.29Z,8,49.85,1.1
76550,95.29Z,8,49.85,1.066667
76550,95.29Z,8,49.866667,1.066667
76550,95.29Z,8,49.866667,1.05
76550,95.29Z,8,49.9,1.033333
76550,95.29Z,8,49.85,1.033333
76550,95.29Z,8,49.85,1.116667
76550,95.29Z,8,49.866667,1
76550,68.20A,160,49.85,1.1
76550,68.20A,160,49.85,1.066667
76550,68.20A,160,49.866667,1.066667
76550,68.20A,160,49.866667,1.05
76550,68.20A,160,49.9,1.033333
76550,68.20A,160,49.85,1.033333
76550,68.20A,160,49.85,1.116667
76550,68.20A,160,49.866667,1
76550,55.40,8,49.85,1.1
76550,55.40,8,49.85,1.066667
76550,55.40,8,49.866667,1.066667
76550,55.40,8,49.866667,1.05
76550,55.40,8,49.9,1.033333
76550,55.40,8,49.85,1.033333
76550,55.40,8,49.85,1.116667
76550,55.40,8,49.866667,1
76550,49.32Z,16,49.85,1.1
76550,49.32Z,16,49.85,1.066667
76550,49.32Z,16,49.866667,1.066667
76550,49.32Z,16,49.866667,1.05
76550,49.32Z,16,49.9,1.033333
76550,49.32Z,16,49.85,1.033333
76550,49.32Z,16,49.85,1.116667
76550,49.32Z,16,49.866667,1
76550,45.2J,8,49.85,1.1
76550,45.2J,8,49.85,1.066667
76550,45.2J,8,49.866667,1.066667
76550,45.2J,8,49.866667,1.05
76550,45.2J,8,49.9,1.033333
76550,45.2J,8,49.85,1.033333
76550,45.2J,8,49.85,1.116667
76550,45.2J,8,49.866667,1
76550,55.60,16,49.85,1.1
76550,55.60,16,49.85,1.066667
76550,55.60,16,49.866667,1.066667
76550,55.60,16,49.866667,1.05
76550,55.60,16,49.9,1.033333
76550,55.60,16,49.85,1.033333
76550,55.60,16,49.85,1.116667
76550,55.60,16,49.866667,1
76550,74.5A,8,49.85,1.1
76550,74.5A,8,49.85,1.066667
76550,74.5A,8,49.866667,1.066667
76550,74.5A,8,49.866667,1.05
76550,74.5A,8,49.9,1.033333
76550,74.5A,8,49.85,1.033333
76550,74.5A,8,49.85,1.116667
76550,74.5A,8,49.866667,1
76550,32.99Z,8,49.85,1.1
76550,32.99Z,8,49.85,1.066667
76550,32.99Z,8,49.866667,1.066667
76550,32.99Z,8,49.866667,1.05
76550,32.99Z,8,49.9,1.033333
