codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76700,33.20A,5,49.533333,0.25
76700,33.20A,5,49.5,0.266667
76700,33.20A,5,49.5,0.2
76700,33.20A,5,49.5,0.233333
76700,33.20A,5,49.516667,0.25
76700,47.99A,25,49.533333,0.25
76700,47.99A,25,49.5,0.266667
76700,47.99A,25,49.5,0.2
76700,47.99A,25,49.5,0.233333
76700,47.99A,25,49.516667,0.25
76700,64.11,25,49.533333,0.25
76700,64.11,25,49.5,0.266667
76700,64.11,25,49.5,0.2
76700,64.11,25,49.5,0.233333
76700,64.11,25,49.516667,0.25
76700,55.3A,30,49.533333,0.25
76700,55.3A,30,49.5,0.266667
76700,55.3A,30,49.5,0.2
76700,55.3A,30,49.5,0.233333
76700,55.3A,30,49.516667,0.25
76700,65.12Z,5,49.533333,0.25
76700,65.12Z,5,49.5,0.266667
76700,65.12Z,5,49.5,0.2
76700,65.12Z,5,49.5,0.233333
76700,65.12Z,5,49.516667,0.25
76700,47.04,5,49.533333,0.25
76700,47.04,5,49.5,0.266667
76700,47.04,5,49.5,0.2
76700,47.04,5,49.5,0.233333
76700,47.04,5,49.516667,0.25
76700,43.22A,30,49.533333,0.25
76700,43.22A,30,49.5,0.266667
76700,43.22A,30,49.5,0.2
76700,43.22A,30,49.5,0.233333
76700,43.22A,30,49.516667,0.25
76700,64.40,5,49.533333,0.25
76700,64.40,5,49.5,0.266667
76700,64.40,5,49.5,0.2
76700,64.40,5,49.5,0.233333
76700,64.40,5,49.516667,0.25
76700,67.05,10,49.533333,0.25
76700,67.05,10,49.5,0.266667
76700,67.05,10,49.5,0.2
76700,67.05,10,49.5,0.233333
76700,67.05,10,49.516667,0.25
76700,93.0D,5,49.533333,0.25
76700,93.0D,5,49.5,0.266667
76700,93.0D,5,49.5,0.2
76700,93.0D,5,49.5,0.233333
76700,93.0D,5,49.516667,0.25
76700,01.1F,5,49.533333,0.25
76700,01.1F,5,49.5,0.266667
76700,01.1F,5,49.5,0.2
76700,01.1F,5,49.5,0.233333
76700,01.1F,5,49.516667,0.25
76700,38.22Z,5,49.533333,0.25
76700,38.22Z,5,49.5,0.266667
76700,38.22Z,5,49.5,0.2
76700,38.22Z,5,49.5,0.233333
76700,38.22Z,5,49.516667,0.25
76700,47.79Z,10,49.533333,0.25
76700,47.79Z,10,49.5,0.266667
76700,47.79Z,10,49.5,0.2
76700,47.79Z,10,49.5,0.233333
76700,47.79Z,10,49.516667,0.25
76700,01.11Z,30,49.533333,0.25
76700,01.11Z,30,49.5,0.266667
76700,01.11Z,30,49.5,0.2
76700,01.11Z,30,49.5,0.233333
76700,01.11Z,30,49.516667,0.25
76700,49.41A,5,49.533333,0.25
76700,49.41A,5,49.5,0.266667
76700,49.41A,5,49.5,0.2
76700,49.41A,5,49.5,0.233333
76700,49.41A,5,49.516667,0.25
76700,95.29Z,15,49.533333,0.25
76700,95.29Z,15,49.5,0.266667
76700,95.29Z,15,49.5,0.2
76700,95.29Z,15,49.5,0.233333
76700,95.29Z,15,49.516667,0.25
76700,64.23,5,49.533333,0.25
76700,64.23,5,49.5,0.266667
76700,64.23,5,49.5,0.2
76700,64.23,5,49.5,0.233333
76700,64.23,5,49.516667,0.25
76700,52.4Z,5,49.533333,0.25
76700,52.4Z,5,49.5,0.266667
76700,52.4Z,5,49.5,0.2
76700,52.4Z,5,49.5,0.233333
76700,52.4Z,5,49.516667,0.25
76700,47.65Z,5,49.533333,0.25
76700,47.65Z,5,49.5,0.266667
76700,47.65Z,5,49.5,0.2
76700,47.65Z,5,49.5,0.233333
76700,47.65Z,5,49.516667,0.25
76700,68.20A,105,49.533333,0.25
76700,68.20A,105,49.5,0.266667
76700,68.20A,105,49.5,0.2
76700,68.20A,105,49.5,0.233333
76700,68.20A,105,49.516667,0.25
76700,55.40,10,49.533333,0.25
76700,55.40,10,49.5,0.266667
76700,55.40,10,49.5,0.2
76700,55.40,10,49.5,0.233333
76700,55.40,10,49.516667,0.25
76700,45.3E,5,49.533333,0.25
76700,45.3E,5,49.5,0.266667
76700,45.3E,5,49.5,0.2
76700,45.3E,5,49.5,0.233333
76700,45.3E,5,49.516667,0.25
76700,49.32Z,10,49.533333,0.25
76700,49.32Z,10,49.5,0.266667
76700,49.32Z,10,49.5,0.2
76700,49.32Z,10,49.5,0.233333
76700,49.32Z,10,49.516667,0.25
76700,46.46Z,5,49.533333,0.25
76700,46.46Z,5,49.5,0.266667
76700,46.46Z,5,49.5,0.2
76700,46.46Z,5,49.5,0.233333
76700,46.46Z,5,49.516667,0.25
76700,45.2J,10,49.533333,0.25
76700,45.2J,10,49.5,0.266667
76700,45.2J,10,49.5,0.2
76700,45.2J,10,49.5,0.233333
76700,45.2J,10,49.516667,0.25
76700,55.60,10,49.533333,0.25
76700,55.60,10,49.5,0.266667
76700,55.60,10,49.5,0.2
76700,55.60,10,49.5,0.233333
76700,55.60,10,49.516667,0.25
76700,56.30Z,45,49.533333,0.25
76700,56.30Z,45,49.5,0.266667
76700,56.30Z,45,49.5,0.2
76700,56.30Z,45,49.5,0.233333
76700,56.30Z,45,49.516667,0.25
76700,32.99Z,5,49.533333,0.25
76700,32.99Z,5,49.5,0.266667
76700,32.99Z,5,49.5,0.2
76700,32.99Z,5,49.5,0.233333
76700,32.99Z,5,49.516667,0.25
76700,95.11Z,5,49.533333,0.25
76700,95.11Z,5,49.5,0.266667
76700,95.11Z,5,49.5,0.2
76700,95.11Z,5,49.5,0.233333
76700,95.11Z,5,49.516667,0.25
76700,62.11,5,49.533333,0.25
76700,62.11,5,49.5,0.266667
76700,62.11,5,49.5,0.2
76700,62.11,5,49.5,0.233333
76700,62.11,5,49.516667,0.25
76700,85.1C,10,49.533333,0.25
76700,85.1C,10,49.5,0.266667
76700,85.1C,10,49.5,0.2
76700,85.1C,10,49.5,0.233333
76700,85.1C,10,49.516667,0.25
76700,47.52A,5,49.533333,0.25
76700,47.52A,5,49.5,0.266667
76700,47.52A,5,49.5,0.2
76700,47.52A,5,49.5,0.233333
76700,47.52A,5,49.516667,0.25
76700,43.34Z,15,49.533333,0.25
76700,43.34Z,15,49.5,0.266667
76700,43.34Z,15,49.5,0.2
76700,43.34Z,15,49.5,0.233333
76700,43.34Z,15,49.516667,0.25
76700,81.29B,5,49.533333,0.25
76700,81.29B,5,49.5,0.266667
76700,81.29B,5,49.5,0.2
76700,81.29B,5,49.5,0.233333
76700,81.29B,5,49.516667,0.25
76700,52.4X,10,49.533333,0.25
76700,52.4X,10,49.5,0.266667
76700,52.4X,10,49.5,0.2
76700,52.4X,10,49.5,0.233333
76700,52.4X,10,49.516667,0.25
76700,93.0N,5,49.533333,0.25
76700,93.0N,5,49.5,0.266667
76700,93.0N,5,49.5,0.2
76700,93.0N,5,49.5,0.233333
76700,93.0N,5,49.516667,0.25
76700,52.7H,5,49.533333,0.25
76700,52.7H,5,49.5,0.266667
76700,52.7H,5,49.5,0.2
76700,52.7H,5,49.5,0.233333
76700,52.7H,5,49.516667,0.25
76700,64.20Z,15,49.533333,0.25
76700,64.20Z,15,49.5,0.266667
76700,64.20Z,15,49.5,0.2
76700,64.20Z,15,49.5,0.233333
76700,64.20Z,15,49.516667,0.25
76700,25.12Z,5,49.533333,0.25
76700,25.12Z,5,49.5,0.266667
76700,25.12Z,5,49.5,0.2
76700,25.12Z,5,49.5,0.233333
76700,25.12Z,5,49.516667,0.25
76700,90.01Z,20,49.533333,0.25
76700,90.01Z,20,49.5,0.266667
76700,90.01Z,20,49.5,0.2
76700,90.01Z,20,49.5,0.233333
76700,90.01Z,20,49.516667,0.25
76700,86.90E,45,49.533333,0.25
76700,86.90E,45,49.5,0.266667
76700,86.90E,45,49.5,0.2
76700,86.90E,45,49.5,0.233333
76700,86.90E,45,49.516667,0.25
76700,38.11Z,10,49.533333,0.25
76700,38.11Z,10,49.5,0.266667
76700,38.11Z,10,49.5,0.2
76700,38.11Z,10,49.5,0.233333
76700,38.11Z,10,49.516667,0.25
76700,29.3C,5,49.533333,0.25
76700,29.3C,5,49.5,0.266667
76700,29.3C,5,49.5,0.2
76700,29.3C,5,49.5,0.233333
76700,29.3C,5,49.516667,0.25
76700,71.20A,5,49.533333,0.25
76700,71.20A,5,49.5,0.266667
76700,71.20A,5,49.5,0.2
76700,71.20A,5,49.5,0.233333
76700,71.20A,5,49.516667,0.25
76700,43.32B,10,49.533333,0.25
76700,43.32B,10,49.5,0.266667
76700,43.32B,10,49.5,0.2
76700,43.32B,10,49.5,0.233333
76700,43.32B,10,49.516667,0.25
76700,47.82Z,5,49.533333,0.25
76700,47.82Z,5,49.5,0.266667
76700,47.82Z,5,49.5,0.2
76700,47.82Z,5,49.5,0.233333
76700,47.82Z,5,49.516667,0.25
76700,47.75Z,10,49.533333,0.25
76700,47.75Z,10,49.5,0.266667
76700,47.75Z,10,49.5,0.2
76700,47.75Z,10,49.5,0.233333
76700,47.75Z,10,49.516667,0.25
76700,94.91Z,15,49.533333,0.25
76700,94.91Z,15,49.5,0.266667
76700,94.91Z,15,49.5,0.2
76700,94.91Z,15,49.5,0.233333
76700,94.91Z,15,49.516667,0.25
76700,52.4R,5,49.533333,0.25
76700,52.4R,5,49.5,0.266667
76700,52.4R,5,49.5,0.2
76700,52.4R,5,49.5,0.233333
76700,52.4R,5,49.516667,0.25
76700,56.10C,25,49.533333,0.25
76700,56.10C,25,49.5,0.266667
76700,56.10C,25,49.5,0.2
76700,56.10C,25,49.5,0.233333
76700,56.10C,25,49.516667,0.25
76700,43.91A,10,49.533333,0.25
76700,43.91A,10,49.5,0.266667
76700,43.91A,10,49.5,0.2
76700,43.91A,10,49.5,0.233333
76700,43.91A,10,49.516667,0.25
76700,82.11Z,5,49.533333,0.25
76700,82.11Z,5,49.5,0.266667
76700,82.11Z,5,49.5,0.2
76700,82.11Z,5,49.5,0.233333
76700,82.11Z,5,49.516667,0.25
76700,81.30Z,15,49.533333,0.25
76700,81.30Z,15,49.5,0.266667
76700,81.30Z,15,49.5,0.2
76700,81.30Z,15,49.5,0.233333
76700,81.30Z,15,49.516667,0.25
76700,64.41,5,49.533333,0.25
76700,64.41,5,49.5,0.266667
76700,64.41,5,49.5,0.2
76700,64.41,5,49.5,0.233333
76700,64.41,5,49.516667,0.25
76700,84.11Z,75,49.533333,0.25
76700,84.11Z,75,49.5,0.266667
76700,84.11Z,75,49.5,0.2
76700,84.11Z,75,49.5,0.233333
76700,84.11Z,75,49.516667,0.25
76700,01.4B,5,49.533333,0.25
76700,01.4B,5,49.5,0.266667
76700,01.4B,5,49.5,0.2
76700,01.4B,5,49.5,0.233333
76700,01.4B,5,49.516667,0.25
76700,22.23Z,5,49.533333,0.25
76700,22.23Z,5,49.5,0.266667
76700,22.23Z,5,49.5,0.2
76700,22.23Z,5,49.5,0.233333
76700,22.23Z,5,49.516667,0.25
76700,46.12B,10,49.533333,0.25
76700,46.12B,10,49.5,0.266667
76700,46.12B,10,49.5,0.2
76700,46.12B,10,49.5,0.233333
76700,46.12B,10,49.516667,0.25
76700,25.2G,5,49.533333,0.25
76700,25.2G,5,49.5,0.266667
76700,25.2G,5,49.5,0.2
76700,25.2G,5,49.5,0.233333
76700,25.2G,5,49.516667,0.25
