codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
76730,01.11Z,66,49.8,0.9
76730,01.11Z,66,49.783333,0.9
76730,01.11Z,66,49.833333,0.983333
76730,01.11Z,66,49.766667,0.9
76730,01.11Z,66,49.766667,0.966667
76730,01.11Z,66,49.766667,1.016667
76730,01.11Z,66,49.766667,0.933333
76730,01.11Z,66,49.783333,0.95
76730,01.11Z,66,49.783333,0.933333
76730,01.11Z,66,49.8,1.05
76730,01.11Z,66,49.75,0.966667
76730,01.11Z,66,49.8,0.983333
76730,01.11Z,66,49.766667,1
76730,01.11Z,66,49.816667,0.983333
76730,01.11Z,66,49.833333,0.966667
76730,01.11Z,66,49.766667,0.9
76730,01.11Z,66,49.816667,0.95
76730,01.11Z,66,49.783333,0.933333
76730,01.11Z,66,49.783333,1
76730,01.11Z,66,49.85,0.933333
76730,01.11Z,66,49.75,0.933333
76730,01.11Z,66,49.833333,1.033333
76730,68.20A,22,49.8,0.9
76730,68.20A,22,49.783333,0.9
76730,68.20A,22,49.833333,0.983333
76730,68.20A,22,49.766667,0.9
76730,68.20A,22,49.766667,0.966667
76730,68.20A,22,49.766667,1.016667
76730,68.20A,22,49.766667,0.933333
76730,68.20A,22,49.783333,0.95
76730,68.20A,22,49.783333,0.933333
76730,68.20A,22,49.8,1.05
76730,68.20A,22,49.75,0.966667
76730,68.20A,22,49.8,0.983333
76730,68.20A,22,49.766667,1
76730,68.20A,22,49.816667,0.983333
76730,68.20A,22,49.833333,0.966667
76730,68.20A,22,49.766667,0.9
76730,68.20A,22,49.816667,0.95
76730,68.20A,22,49.783333,0.933333
76730,68.20A,22,49.783333,1
76730,68.20A,22,49.85,0.933333
76730,68.20A,22,49.75,0.933333
76730,68.20A,22,49.833333,1.033333
76730,55.40,22,49.8,0.9
76730,55.40,22,49.783333,0.9
76730,55.40,22,49.833333,0.983333
76730,55.40,22,49.766667,0.9
76730,55.40,22,49.766667,0.966667
76730,55.40,22,49.766667,1.016667
76730,55.40,22,49.766667,0.933333
76730,55.40,22,49.783333,0.95
76730,55.40,22,49.783333,0.933333
76730,55.40,22,49.8,1.05
76730,55.40,22,49.75,0.966667
76730,55.40,22,49.8,0.983333
76730,55.40,22,49.766667,1
76730,55.40,22,49.816667,0.983333
76730,55.40,22,49.833333,0.966667
76730,55.40,22,49.766667,0.9
76730,55.40,22,49.816667,0.95
76730,55.40,22,49.783333,0.933333
76730,55.40,22,49.783333,1
76730,55.40,22,49.85,0.933333
76730,55.40,22,49.75,0.933333
76730,55.40,22,49.833333,1.033333
76730,81.30Z,66,49.8,0.9
76730,81.30Z,66,49.783333,0.9
76730,81.30Z,66,49.833333,0.983333
76730,81.30Z,66,49.766667,0.9
76730,81.30Z,66,49.766667,0.966667
76730,81.30Z,66,49.766667,1.016667
76730,81.30Z,66,49.766667,0.933333
76730,81.30Z,66,49.783333,0.95
76730,81.30Z,66,49.783333,0.933333
76730,81.30Z,66,49.8,1.05
76730,81.30Z,66,49.75,0.966667
76730,81.30Z,66,49.8,0.983333
76730,81.30Z,66,49.766667,1
76730,81.30Z,66,49.816667,0.983333
76730,81.30Z,66,49.833333,0.966667
76730,81.30Z,66,49.766667,0.9
76730,81.30Z,66,49.816667,0.95
76730,81.30Z,66,49.783333,0.933333
76730,81.30Z,66,49.783333,1
76730,81.30Z,66,49.85,0.933333
76730,81.30Z,66,49.75,0.933333
76730,81.30Z,66,49.833333,1.033333
76730,84.11Z,22,49.8,0.9
76730,84.11Z,22,49.783333,0.9
76730,84.11Z,22,49.833333,0.983333
76730,84.11Z,22,49.766667,0.9
76730,84.11Z,22,49.766667,0.966667
76730,84.11Z,22,49.766667,1.016667
76730,84.11Z,22,49.766667,0.933333
76730,84.11Z,22,49.783333,0.95
76730,84.11Z,22,49.783333,0.933333
76730,84.11Z,22,49.8,1.05
76730,84.11Z,22,49.75,0.966667
76730,84.11Z,22,49.8,0.983333
76730,84.11Z,22,49.766667,1
76730,84.11Z,22,49.816667,0.983333
76730,84.11Z,22,49.833333,0.966667
76730,84.11Z,22,49.766667,0.9
76730,84.11Z,22,49.816667,0.95
76730,84.11Z,22,49.783333,0.933333
76730,84.11Z,22,49.783333,1
76730,84.11Z,22,49.85,0.933333
76730,84.11Z,22,49.75,0.933333
76730,84.11Z,22,49.833333,1.033333
76730,95.22Z,22,49.8,0.9
76730,95.22Z,22,49.783333,0.9
76730,95.22Z,22,49.833333,0.983333
76730,95.22Z,22,49.766667,0.9
76730,95.22Z,22,49.766667,0.966667
76730,95.22Z,22,49.766667,1.016667
76730,95.22Z,22,49.766667,0.933333
76730,95.22Z,22,49.783333,0.95
76730,95.22Z,22,49.783333,0.933333
76730,95.22Z,22,49.8,1.05
76730,95.22Z,22,49.75,0.966667
76730,95.22Z,22,49.8,0.983333
76730,95.22Z,22,49.766667,1
76730,95.22Z,22,49.816667,0.983333
76730,95.22Z,22,49.833333,0.966667
76730,95.22Z,22,49.766667,0.9
76730,95.22Z,22,49.816667,0.95
76730,95.22Z,22,49.783333,0.933333
76730,95.22Z,22,49.783333,1
76730,95.22Z,22,49.85,0.933333
76730,95.22Z,22,49.75,0.933333
76730,95.22Z,22,49.833333,1.033333
76730,01.4A,22,49.8,0.9
76730,01.4A,22,49.783333,0.9
76730,01.4A,22,49.833333,0.983333
76730,01.4A,22,49.766667,0.9
76730,01.4A,22,49.766667,0.966667
76730,01.4A,22,49.766667,1.016667
76730,01.4A,22,49.766667,0.933333
76730,01.4A,22,49.783333,0.95
76730,01.4A,22,49.783333,0.933333
76730,01.4A,22,49.8,1.05
76730,01.4A,22,49.75,0.966667
76730,01.4A,22,49.8,0.983333
76730,01.4A,22,49.766667,1
76730,01.4A,22,49.816667,0.983333
76730,01.4A,22,49.833333,0.966667
76730,01.4A,22,49.766667,0.9
76730,01.4A,22,49.816667,0.95
76730,01.4A,22,49.783333,0.933333
76730,01.4A,22,49.783333,1
76730,01.4A,22,49.85,0.933333
76730,01.4A,22,49.75,0.933333
76730,01.4A,22,49.833333,1.033333
76730,82.19Z,44,49.8,0.9
76730,82.19Z,44,49.783333,0.9
76730,82.19Z,44,49.833333,0.983333
76730,82.19Z,44,49.766667,0.9
76730,82.19Z,44,49.766667,0.966667
76730,82.19Z,44,49.766667,1.016667
76730,82.19Z,44,49.766667,0.933333
76730,82.19Z,44,49.783333,0.95
76730,82.19Z,44,49.783333,0.933333
76730,82.19Z,44,49.8,1.05
76730,82.19Z,44,49.75,0.966667
76730,82.19Z,44,49.8,0.983333
76730,82.19Z,44,49.766667,1
76730,82.19Z,44,49.816667,0.983333
76730,82.19Z,44,49.833333,0.966667
76730,82.19Z,44,49.766667,0.9
76730,82.19Z,44,49.816667,0.95
76730,82.19Z,44,49.783333,0.933333
76730,82.19Z,44,49.783333,1
76730,82.19Z,44,49.85,0.933333
76730,82.19Z,44,49.75,0.933333
76730,82.19Z,44,49.833333,1.033333
76730,01.00,22,49.8,0.9
76730,01.00,22,49.783333,0.9
76730,01.00,22,49.833333,0.983333
76730,01.00,22,49.766667,0.9
76730,01.00,22,49.766667,0.966667
76730,01.00,22,49.766667,1.016667
76730,01.00,22,49.766667,0.933333
76730,01.00,22,49.783333,0.95
76730,01.00,22,49.783333,0.933333
76730,01.00,22,49.8,1.05
76730,01.00,22,49.75,0.966667
76730,01.00,22,49.8,0.983333
76730,01.00,22,49.766667,1
76730,01.00,22,49.816667,0.983333
76730,01.00,22,49.833333,0.966667
76730,01.00,22,49.766667,0.9
76730,01.00,22,49.816667,0.95
76730,01.00,22,49.783333,0.933333
76730,01.00,22,49.783333,1
76730,01.00,22,49.85,0.933333
76730,01.00,22,49.75,0.933333
76730,01.00,22,49.833333,1.033333
76730,47.76Z,22,49.8,0.9
76730,47.76Z,22,49.783333,0.9
76730,47.76Z,22,49.833333,0.983333
76730,47.76Z,22,49.766667,0.9
76730,47.76Z,22,49.766667,0.966667
76730,47.76Z,22,49.766667,1.016667
76730,47.76Z,22,49.766667,0.933333
76730,47.76Z,22,49.783333,0.95
76730,47.76Z,22,49.783333,0.933333
76730,47.76Z,22,49.8,1.05
76730,47.76Z,22,49.75,0.966667
76730,47.76Z,22,49.8,0.983333
76730,47.76Z,22,49.766667,1
76730,47.76Z,22,49.816667,0.983333
76730,47.76Z,22,49.833333,0.966667
76730,47.76Z,22,49.766667,0.9
76730,47.76Z,22,49.816667,0.95
76730,47.76Z,22,49.783333,0.933333
76730,47.76Z,22,49.783333,1
76730,47.76Z,22,49.85,0.933333
76730,47.76Z,22,49.75,0.933333
76730,47.76Z,22,49.833333,1.033333
76730,01.50Z,66,49.8,0.9
76730,01.50Z,66,49.783333,0.9
76730,01.50Z,66,49.833333,0.983333
76730,01.50Z,66,49.766667,0.9
76730,01.50Z,66,49.766667,0.966667
76730,01.50Z,66,49.766667,1.016667
76730,01.50Z,66,49.766667,0.933333
76730,01.50Z,66,49.783333,0.95
76730,01.50Z,66,49.783333,0.933333
76730,01.50Z,66,49.8,1.05
76730,01.50Z,66,49.75,0.966667
76730,01.50Z,66,49.8,0.983333
76730,01.50Z,66,49.766667,1
76730,01.50Z,66,49.816667,0.983333
76730,01.50Z,66,49.833333,0.966667
76730,01.50Z,66,49.766667,0.9
76730,01.50Z,66,49.816667,0.95
76730,01.50Z,66,49.783333,0.933333
76730,01.50Z,66,49.783333,1
76730,01.50Z,66,49.85,0.933333
76730,01.50Z,66,49.75,0.933333
76730,01.50Z,66,49.833333,1.033333
76730,81.21,22,49.8,0.9
76730,81.21,22,49.783333,0.9
76730,81.21,22,49.833333,0.983333
76730,81.21,22,49.766667,0.9
76730,81.21,22,49.766667,0.966667
76730,81.21,22,49.766667,1.016667
76730,81.21,22,49.766667,0.933333
76730,81.21,22,49.783333,0.95
76730,81.21,22,49.783333,0.933333
76730,81.21,22,49.8,1.05
76730,81.21,22,49.75,0.966667
76730,81.21,22,49.8,0.983333
76730,81.21,22,49.766667,1
76730,81.21,22,49.816667,0.983333
76730,81.21,22,49.833333,0.966667
76730,81.21,22,49.766667,0.9
76730,81.21,22,49.816667,0.95
76730,81.21,22,49.783333,0.933333
76730,81.21,22,49.783333,1
