codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77090,47.99A,2,48.833333,2.666667
77090,70.3A,1,48.833333,2.666667
77090,43.22A,1,48.833333,2.666667
77090,67.05,1,48.833333,2.666667
77090,01.11Z,3,48.833333,2.666667
77090,68.20A,1,48.833333,2.666667
77090,55.60,1,48.833333,2.666667
77090,32.99Z,2,48.833333,2.666667
77090,62.11,1,48.833333,2.666667
77090,86.90E,1,48.833333,2.666667
77090,56.10C,1,48.833333,2.666667
77090,88.04,1,48.833333,2.666667
77090,84.11Z,2,48.833333,2.666667
77090,47.11B,2,48.833333,2.666667
77090,86.90D,1,48.833333,2.666667
77090,82.19Z,1,48.833333,2.666667
77090,46.19B,2,48.833333,2.666667
77090,70.1C,1,48.833333,2.666667
77090,94.99Z,2,48.833333,2.666667
77090,47.76Z,2,48.833333,2.666667
77090,00.00Z,1,48.833333,2.666667
77090,90.03A,1,48.833333,2.666667
77090,47.19B,1,48.833333,2.666667
77090,47.81Z,1,48.833333,2.666667
77090,45.2U,1,48.833333,2.666667
77090,85.59A,1,48.833333,2.666667
77090,43.99C,3,48.833333,2.666667
77090,96.09Z,1,48.833333,2.666667
77090,60.09,1,48.833333,2.666667
77090,24.08,1,48.833333,2.666667
77090,74.2C,1,48.833333,2.666667
77090,45.11Z,1,48.833333,2.666667
77090,01.1A,3,48.833333,2.666667
77090,41.20B,1,48.833333,2.666667
77090,68.32A,1,48.833333,2.666667
77090,90.02Z,1,48.833333,2.666667
77090,70.22Z,1,48.833333,2.666667
77090,46.51Z,1,48.833333,2.666667
77090,88.99B,1,48.833333,2.666667
77090,52.4N,1,48.833333,2.666667
77090,69.10Z,1,48.833333,2.666667
77090,43.21A,2,48.833333,2.666667
77090,51.6K,1,48.833333,2.666667
77090,52.6H,1,48.833333,2.666667
77090,54.01,1,48.833333,2.666667
77090,60.2M,1,48.833333,2.666667
77090,71.12B,1,48.833333,2.666667
77090,68.20B,6,48.833333,2.666667
