codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77141,47.99A,4,48.683333,3.083333
77141,45.3H,2,48.683333,3.083333
77141,70.3A,2,48.683333,3.083333
77141,43.22A,8,48.683333,3.083333
77141,67.05,1,48.683333,3.083333
77141,01.11Z,4,48.683333,3.083333
77141,00.97,1,48.683333,3.083333
77141,47.79Z,1,48.683333,3.083333
77141,65.02,1,48.683333,3.083333
77141,49.41A,1,48.683333,3.083333
77141,95.29Z,1,48.683333,3.083333
77141,68.20A,7,48.683333,3.083333
77141,55.40,2,48.683333,3.083333
77141,45.3E,2,48.683333,3.083333
77141,49.32Z,3,48.683333,3.083333
77141,55.60,3,48.683333,3.083333
77141,56.30Z,1,48.683333,3.083333
77141,49.01,1,48.683333,3.083333
77141,52.21Z,2,48.683333,3.083333
77141,50.2Z,1,48.683333,3.083333
77141,46.49Z,1,48.683333,3.083333
77141,45.4J,2,48.683333,3.083333
77141,01.47Z,1,48.683333,3.083333
77141,43.34Z,6,48.683333,3.083333
77141,81.29B,1,48.683333,3.083333
77141,52.4X,1,48.683333,3.083333
77141,64.20Z,1,48.683333,3.083333
77141,86.90E,2,48.683333,3.083333
77141,90.01Z,3,48.683333,3.083333
77141,47.82Z,3,48.683333,3.083333
77141,74.10Z,3,48.683333,3.083333
77141,56.10C,2,48.683333,3.083333
77141,81.30Z,1,48.683333,3.083333
77141,84.11Z,3,48.683333,3.083333
77141,55.2C,1,48.683333,3.083333
77141,"",1,48.683333,3.083333
77141,77.14,1,48.683333,3.083333
77141,02.10,1,48.683333,3.083333
77141,93.12Z,4,48.683333,3.083333
77141,43.32A,3,48.683333,3.083333
77141,36.1G,2,48.683333,3.083333
77141,59.20Z,1,48.683333,3.083333
77141,46.41Z,1,48.683333,3.083333
77141,43.32C,1,48.683333,3.083333
77141,02.20Z,1,48.683333,3.083333
77141,46.62Z,1,48.683333,3.083333
77141,55.4B,1,48.683333,3.083333
77141,46.17B,1,48.683333,3.083333
77141,52.6E,3,48.683333,3.083333
77141,43.33Z,2,48.683333,3.083333
77141,74.20Z,3,48.683333,3.083333
77141,56.10A,2,48.683333,3.083333
77141,64.30Z,3,48.683333,3.083333
77141,96.02A,1,48.683333,3.083333
77141,82.19Z,4,48.683333,3.083333
77141,86.90D,2,48.683333,3.083333
77141,51.1R,1,48.683333,3.083333
77141,46.19B,10,48.683333,3.083333
77141,31.09B,2,48.683333,3.083333
77141,85.42Z,1,48.683333,3.083333
77141,46.69B,1,48.683333,3.083333
77141,69.12,1,48.683333,3.083333
77141,43.91B,1,48.683333,3.083333
77141,94.99Z,4,48.683333,3.083333
77141,14.13Z,1,48.683333,3.083333
