codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77169,47.99A,72,48.816667,3.133333
77169,47.99A,72,48.8,3.2
77169,47.99A,72,48.85,3.15
77169,47.99A,72,48.816667,3.183333
77169,33.20A,8,48.816667,3.133333
77169,33.20A,8,48.8,3.2
77169,33.20A,8,48.85,3.15
77169,33.20A,8,48.816667,3.183333
77169,58.19Z,4,48.816667,3.133333
77169,58.19Z,4,48.8,3.2
77169,58.19Z,4,48.85,3.15
77169,58.19Z,4,48.816667,3.183333
77169,25.73B,12,48.816667,3.133333
77169,25.73B,12,48.8,3.2
77169,25.73B,12,48.85,3.15
77169,25.73B,12,48.816667,3.183333
77169,45.20B,16,48.816667,3.133333
77169,45.20B,16,48.8,3.2
77169,45.20B,16,48.85,3.15
77169,45.20B,16,48.816667,3.183333
77169,70.3A,20,48.816667,3.133333
77169,70.3A,20,48.8,3.2
77169,70.3A,20,48.85,3.15
77169,70.3A,20,48.816667,3.183333
77169,64.11,16,48.816667,3.133333
77169,64.11,16,48.8,3.2
77169,64.11,16,48.85,3.15
77169,64.11,16,48.816667,3.183333
77169,55.3A,44,48.816667,3.133333
77169,55.3A,44,48.8,3.2
77169,55.3A,44,48.85,3.15
77169,55.3A,44,48.816667,3.183333
77169,43.22A,76,48.816667,3.133333
77169,43.22A,76,48.8,3.2
77169,43.22A,76,48.85,3.15
77169,43.22A,76,48.816667,3.183333
77169,95.12Z,4,48.816667,3.133333
77169,95.12Z,4,48.8,3.2
77169,95.12Z,4,48.85,3.15
77169,95.12Z,4,48.816667,3.183333
77169,22.1E,4,48.816667,3.133333
77169,22.1E,4,48.8,3.2
77169,22.1E,4,48.85,3.15
77169,22.1E,4,48.816667,3.183333
77169,71.1A,4,48.816667,3.133333
77169,71.1A,4,48.8,3.2
77169,71.1A,4,48.85,3.15
77169,71.1A,4,48.816667,3.183333
77169,31.01Z,4,48.816667,3.133333
77169,31.01Z,4,48.8,3.2
77169,31.01Z,4,48.85,3.15
77169,31.01Z,4,48.816667,3.183333
77169,51.9B,12,48.816667,3.133333
77169,51.9B,12,48.8,3.2
77169,51.9B,12,48.85,3.15
77169,51.9B,12,48.816667,3.183333
77169,41.10A,8,48.816667,3.133333
77169,41.10A,8,48.8,3.2
77169,41.10A,8,48.85,3.15
77169,41.10A,8,48.816667,3.183333
77169,93.0D,16,48.816667,3.133333
77169,93.0D,16,48.8,3.2
77169,93.0D,16,48.85,3.15
77169,93.0D,16,48.816667,3.183333
77169,43.11Z,4,48.816667,3.133333
77169,43.11Z,4,48.8,3.2
77169,43.11Z,4,48.85,3.15
77169,43.11Z,4,48.816667,3.183333
77169,52.3A,4,48.816667,3.133333
77169,52.3A,4,48.8,3.2
77169,52.3A,4,48.85,3.15
77169,52.3A,4,48.816667,3.183333
