codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77178,47.99A,10,49.066667,2.8
77178,47.99A,10,49.066667,2.816667
77178,64.11,2,49.066667,2.8
77178,64.11,2,49.066667,2.816667
77178,43.22A,4,49.066667,2.8
77178,43.22A,4,49.066667,2.816667
77178,01.11Z,16,49.066667,2.8
77178,01.11Z,16,49.066667,2.816667
77178,68.20A,10,49.066667,2.8
77178,68.20A,10,49.066667,2.816667
77178,55.40,2,49.066667,2.8
77178,55.40,2,49.066667,2.816667
77178,45.3E,2,49.066667,2.8
77178,45.3E,2,49.066667,2.816667
77178,49.32Z,4,49.066667,2.8
77178,49.32Z,4,49.066667,2.816667
77178,32.99Z,2,49.066667,2.8
77178,32.99Z,2,49.066667,2.816667
77178,01.47Z,2,49.066667,2.8
77178,01.47Z,2,49.066667,2.816667
77178,64.20Z,6,49.066667,2.8
77178,64.20Z,6,49.066667,2.816667
77178,90.01Z,8,49.066667,2.8
77178,90.01Z,8,49.066667,2.816667
77178,01.43Z,4,49.066667,2.8
77178,01.43Z,4,49.066667,2.816667
77178,74.10Z,2,49.066667,2.8
77178,74.10Z,2,49.066667,2.816667
77178,84.11Z,4,49.066667,2.8
77178,84.11Z,4,49.066667,2.816667
77178,66.30Z,2,49.066667,2.8
77178,66.30Z,2,49.066667,2.816667
77178,"",2,49.066667,2.8
77178,"",2,49.066667,2.816667
77178,43.12B,2,49.066667,2.8
77178,43.12B,2,49.066667,2.816667
77178,01.3Z,4,49.066667,2.8
77178,01.3Z,4,49.066667,2.816667
77178,43.39Z,2,49.066667,2.8
77178,43.39Z,2,49.066667,2.816667
77178,93.12Z,2,49.066667,2.8
77178,93.12Z,2,49.066667,2.816667
77178,74.1G,2,49.066667,2.8
77178,74.1G,2,49.066667,2.816667
77178,52.6E,2,49.066667,2.8
77178,52.6E,2,49.066667,2.816667
77178,74.20Z,4,49.066667,2.8
77178,74.20Z,4,49.066667,2.816667
77178,86.90D,16,49.066667,2.8
77178,86.90D,16,49.066667,2.816667
77178,85.32Z,2,49.066667,2.8
77178,85.32Z,2,49.066667,2.816667
77178,46.19B,6,49.066667,2.8
77178,46.19B,6,49.066667,2.816667
77178,77.31Z,2,49.066667,2.8
77178,77.31Z,2,49.066667,2.816667
77178,70.1C,2,49.066667,2.8
77178,70.1C,2,49.066667,2.816667
77178,43.91B,6,49.066667,2.8
77178,43.91B,6,49.066667,2.816667
77178,94.99Z,4,49.066667,2.8
