codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77181,47.99A,34,48.916667,2.616667
77181,47.99A,34,48.533333,2.766667
77181,58.19Z,4,48.916667,2.616667
77181,58.19Z,4,48.533333,2.766667
77181,63.99Z,2,48.916667,2.616667
77181,63.99Z,2,48.533333,2.766667
77181,70.3A,8,48.916667,2.616667
77181,70.3A,8,48.533333,2.766667
77181,55.3A,10,48.916667,2.616667
77181,55.3A,10,48.533333,2.766667
77181,43.22A,4,48.916667,2.616667
77181,43.22A,4,48.533333,2.766667
77181,41.10A,4,48.916667,2.616667
77181,41.10A,4,48.533333,2.766667
77181,93.0D,2,48.916667,2.616667
77181,93.0D,2,48.533333,2.766667
77181,00.97,8,48.916667,2.616667
77181,00.97,8,48.533333,2.766667
77181,49.41A,12,48.916667,2.616667
77181,49.41A,12,48.533333,2.766667
77181,77.01,4,48.916667,2.616667
77181,77.01,4,48.533333,2.766667
77181,92.3A,4,48.916667,2.616667
77181,92.3A,4,48.533333,2.766667
77181,46.36Z,2,48.916667,2.616667
77181,46.36Z,2,48.533333,2.766667
77181,68.20A,120,48.916667,2.616667
77181,68.20A,120,48.533333,2.766667
77181,49.32Z,36,48.916667,2.616667
77181,49.32Z,36,48.533333,2.766667
77181,60.2E,4,48.916667,2.616667
77181,60.2E,4,48.533333,2.766667
77181,45.3E,6,48.916667,2.616667
77181,45.3E,6,48.533333,2.766667
77181,55.60,6,48.916667,2.616667
77181,55.60,6,48.533333,2.766667
77181,56.30Z,6,48.916667,2.616667
77181,56.30Z,6,48.533333,2.766667
77181,86.22A,4,48.916667,2.616667
77181,86.22A,4,48.533333,2.766667
77181,32.99Z,4,48.916667,2.616667
77181,32.99Z,4,48.533333,2.766667
77181,72.2Z,2,48.916667,2.616667
77181,72.2Z,2,48.533333,2.766667
77181,15.8B,2,48.916667,2.616667
77181,15.8B,2,48.533333,2.766667
77181,52.21Z,2,48.916667,2.616667
77181,52.21Z,2,48.533333,2.766667
77181,56.21Z,8,48.916667,2.616667
77181,56.21Z,8,48.533333,2.766667
77181,95.11Z,2,48.916667,2.616667
77181,95.11Z,2,48.533333,2.766667
77181,52.29A,4,48.916667,2.616667
77181,52.29A,4,48.533333,2.766667
77181,62.11,2,48.916667,2.616667
77181,62.11,2,48.533333,2.766667
77181,85.1C,2,48.916667,2.616667
77181,85.1C,2,48.533333,2.766667
77181,46.49Z,6,48.916667,2.616667
77181,46.49Z,6,48.533333,2.766667
77181,47.77Z,4,48.916667,2.616667
77181,47.77Z,4,48.533333,2.766667
77181,13.30Z,2,48.916667,2.616667
77181,13.30Z,2,48.533333,2.766667
77181,45.4J,4,48.916667,2.616667
77181,45.4J,4,48.533333,2.766667
77181,78.20Z,4,48.916667,2.616667
77181,78.20Z,4,48.533333,2.766667
77181,77.32Z,2,48.916667,2.616667
77181,77.32Z,2,48.533333,2.766667
77181,81.22Z,2,48.916667,2.616667
77181,81.22Z,2,48.533333,2.766667
77181,43.34Z,14,48.916667,2.616667
77181,43.34Z,14,48.533333,2.766667
77181,80.20Z,4,48.916667,2.616667
77181,80.20Z,4,48.533333,2.766667
77181,93.19Z,2,48.916667,2.616667
77181,93.19Z,2,48.533333,2.766667
77181,28.10,2,48.916667,2.616667
77181,28.10,2,48.533333,2.766667
77181,25.61Z,10,48.916667,2.616667
77181,25.61Z,10,48.533333,2.766667
77181,46.74A,4,48.916667,2.616667
77181,46.74A,4,48.533333,2.766667
77181,93.0N,2,48.916667,2.616667
77181,93.0N,2,48.533333,2.766667
77181,64.20Z,66,48.916667,2.616667
77181,64.20Z,66,48.533333,2.766667
77181,52.29B,8,48.916667,2.616667
77181,52.29B,8,48.533333,2.766667
77181,86.90E,24,48.916667,2.616667
77181,86.90E,24,48.533333,2.766667
77181,90.01Z,18,48.916667,2.616667
77181,90.01Z,18,48.533333,2.766667
77181,01.43Z,2,48.916667,2.616667
77181,01.43Z,2,48.533333,2.766667
77181,71.20A,4,48.916667,2.616667
77181,71.20A,4,48.533333,2.766667
77181,46.73B,2,48.916667,2.616667
77181,46.73B,2,48.533333,2.766667
77181,82.20Z,2,48.916667,2.616667
77181,82.20Z,2,48.533333,2.766667
77181,43.32B,4,48.916667,2.616667
77181,43.32B,4,48.533333,2.766667
