codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77300,47.99A,2,48.4,2.7
77300,45.20B,1,48.4,2.7
77300,64.11,1,48.4,2.7
77300,55.3A,3,48.4,2.7
77300,43.22A,2,48.4,2.7
77300,67.05,2,48.4,2.7
77300,64.49,1,48.4,2.7
77300,68.20A,3,48.4,2.7
77300,49.32Z,1,48.4,2.7
77300,56.30Z,1,48.4,2.7
77300,62.11,1,48.4,2.7
77300,46.49Z,1,48.4,2.7
77300,45.4J,1,48.4,2.7
77300,43.34Z,1,48.4,2.7
77300,93.19Z,1,48.4,2.7
77300,64.20Z,2,48.4,2.7
77300,86.90E,3,48.4,2.7
77300,90.01Z,2,48.4,2.7
77300,47.75Z,1,48.4,2.7
77300,74.90A,1,48.4,2.7
77300,74.10Z,1,48.4,2.7
77300,84.11Z,5,48.4,2.7
77300,"",1,48.4,2.7
77300,77.14,1,48.4,2.7
77300,55.20Z,1,48.4,2.7
77300,43.29B,1,48.4,2.7
77300,43.22B,1,48.4,2.7
77300,93.12Z,2,48.4,2.7
77300,46.42Z,2,48.4,2.7
77300,74.1G,1,48.4,2.7
77300,74.30Z,1,48.4,2.7
77300,36.1G,1,48.4,2.7
77300,65.06,1,48.4,2.7
77300,74.1J,1,48.4,2.7
77300,14.1A,1,48.4,2.7
77300,56.10A,3,48.4,2.7
77300,51.1R,1,48.4,2.7
77300,82.19Z,2,48.4,2.7
77300,46.19B,3,48.4,2.7
77300,55.3B,1,48.4,2.7
77300,43.91B,1,48.4,2.7
77300,94.99Z,5,48.4,2.7
77300,70.10Z,2,48.4,2.7
77300,66.12Z,1,48.4,2.7
77300,86.06,1,48.4,2.7
77300,67.01,1,48.4,2.7
77300,47.78C,1,48.4,2.7
77300,02.0B,1,48.4,2.7
77300,45.2P,1,48.4,2.7
77300,62.43,1,48.4,2.7
77300,62.01Z,1,48.4,2.7
77300,42.99Z,1,48.4,2.7
77300,81.21,1,48.4,2.7
77300,01.1C,1,48.4,2.7
77300,91.3E,1,48.4,2.7
77300,28.3C,3,48.4,2.7
77300,47.71Z,2,48.4,2.7
77300,82.05,1,48.4,2.7
77300,90.03A,3,48.4,2.7
77300,81.10Z,1,48.4,2.7
77300,46.90Z,1,48.4,2.7
77300,67.07,3,48.4,2.7
77300,47.19B,1,48.4,2.7
77300,96.02B,2,48.4,2.7
77300,86.21Z,1,48.4,2.7
77300,85.52Z,1,48.4,2.7
77300,85.3K,1,48.4,2.7
77300,45.2A,1,48.4,2.7
77300,71.11Z,2,48.4,2.7
77300,85.59B,1,48.4,2.7
77300,43.99C,8,48.4,2.7
77300,52.5Z,1,48.4,2.7
77300,70.21Z,1,48.4,2.7
77300,41.20A,2,48.4,2.7
77300,96.09Z,1,48.4,2.7
77300,74.2C,1,48.4,2.7
77300,81.21Z,1,48.4,2.7
77300,46.52Z,1,48.4,2.7
77300,47.91A,2,48.4,2.7
77300,55.1A,1,48.4,2.7
77300,01.13Z,1,48.4,2.7
77300,90.03B,2,48.4,2.7
77300,45.11Z,3,48.4,2.7
77300,01.1A,1,48.4,2.7
77300,86.90F,1,48.4,2.7
77300,68.32A,1,48.4,2.7
77300,68.10Z,1,48.4,2.7
77300,70.22Z,2,48.4,2.7
77300,58.14Z,1,48.4,2.7
77300,58.29C,1,48.4,2.7
77300,62.46,2,48.4,2.7
77300,47.91B,1,48.4,2.7
77300,88.99B,1,48.4,2.7
77300,49.42Z,1,48.4,2.7
77300,93.29Z,1,48.4,2.7
77300,52.6A,1,48.4,2.7
77300,73.11Z,2,48.4,2.7
77300,47.89Z,2,48.4,2.7
77300,85.51Z,1,48.4,2.7
77300,43.21A,6,48.4,2.7
77300,70.2A,1,48.4,2.7
77300,42.12Z,1,48.4,2.7
77300,51.6K,1,48.4,2.7
77300,74.90B,1,48.4,2.7
77300,71.12B,2,48.4,2.7
77300,68.20B,27,48.4,2.7
77300,60.2L,1,48.4,2.7
77300,01.10,1,48.4,2.7
