codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
77360,45.20B,1,48.866667,2.65
77360,55.3A,1,48.866667,2.65
77360,43.22A,4,48.866667,2.65
77360,67.05,1,48.866667,2.65
77360,14.39Z,1,48.866667,2.65
77360,01.11Z,6,48.866667,2.65
77360,49.41A,1,48.866667,2.65
77360,95.29Z,1,48.866667,2.65
77360,68.20A,3,48.866667,2.65
77360,49.32Z,2,48.866667,2.65
77360,46.49Z,2,48.866667,2.65
77360,81.22Z,1,48.866667,2.65
77360,43.34Z,1,48.866667,2.65
77360,81.29B,1,48.866667,2.65
77360,46.74A,1,48.866667,2.65
77360,52.4X,1,48.866667,2.65
77360,01.43Z,1,48.866667,2.65
77360,77.10,1,48.866667,2.65
77360,47.82Z,1,48.866667,2.65
77360,56.10C,1,48.866667,2.65
77360,45.4L,1,48.866667,2.65
77360,43.99B,1,48.866667,2.65
77360,84.11Z,3,48.866667,2.65
77360,26.12Z,1,48.866667,2.65
77360,70.2B,1,48.866667,2.65
77360,77.14,1,48.866667,2.65
77360,43.32A,3,48.866667,2.65
77360,01.2G,2,48.866667,2.65
77360,60.07,1,48.866667,2.65
77360,72.19Z,1,48.866667,2.65
77360,47.01,1,48.866667,2.65
77360,92.3B,1,48.866667,2.65
77360,52.6E,3,48.866667,2.65
77360,43.33Z,1,48.866667,2.65
77360,74.20Z,1,48.866667,2.65
77360,64.30Z,1,48.866667,2.65
77360,56.10A,1,48.866667,2.65
77360,96.02A,1,48.866667,2.65
77360,46.19B,3,48.866667,2.65
77360,77.31Z,1,48.866667,2.65
77360,31.09B,1,48.866667,2.65
77360,43.91B,1,48.866667,2.65
77360,46.37Z,1,48.866667,2.65
77360,79.06,1,48.866667,2.65
77360,78.01,1,48.866667,2.65
77360,00.00Z,1,48.866667,2.65
77360,60.10Z,1,48.866667,2.65
77360,46.21Z,1,48.866667,2.65
77360,62.43,1,48.866667,2.65
77360,47.64Z,1,48.866667,2.65
77360,42.99Z,1,48.866667,2.65
77360,46.18Z,1,48.866667,2.65
77360,01.1C,2,48.866667,2.65
77360,77.40Z,1,48.866667,2.65
77360,70.2C,1,48.866667,2.65
77360,90.03A,1,48.866667,2.65
77360,51.5L,1,48.866667,2.65
77360,46.90Z,3,48.866667,2.65
77360,47.19B,1,48.866667,2.65
77360,96.02B,2,48.866667,2.65
77360,45.2A,1,48.866667,2.65
77360,71.11Z,1,48.866667,2.65
77360,74.8K,1,48.866667,2.65
77360,45.32Z,1,48.866667,2.65
77360,47.81Z,2,48.866667,2.65
77360,51.6G,1,48.866667,2.65
77360,68.31Z,1,48.866667,2.65
77360,93.0H,1,48.866667,2.65
77360,60.06,1,48.866667,2.65
77360,01.2J,1,48.866667,2.65
77360,70.21Z,1,48.866667,2.65
77360,01.61Z,1,48.866667,2.65
77360,45.20A,2,48.866667,2.65
77360,33.20B,1,48.866667,2.65
77360,96.04Z,1,48.866667,2.65
77360,96.09Z,1,48.866667,2.65
77360,32.50A,1,48.866667,2.65
77360,74.2C,1,48.866667,2.65
77360,81.21Z,1,48.866667,2.65
77360,18.12Z,1,48.866667,2.65
77360,46.73A,1,48.866667,2.65
77360,45.40Z,1,48.866667,2.65
77360,01.13Z,2,48.866667,2.65
77360,45.11Z,2,48.866667,2.65
77360,78.30Z,1,48.866667,2.65
77360,01.1A,3,48.866667,2.65
77360,64.46,1,48.866667,2.65
77360,41.20B,1,48.866667,2.65
77360,22.1C,1,48.866667,2.65
77360,51.2C,1,48.866667,2.65
77360,51.10,1,48.866667,2.65
77360,50.5Z,2,48.866667,2.65
77360,70.22Z,4,48.866667,2.65
77360,46.51Z,2,48.866667,2.65
77360,75.00Z,1,48.866667,2.65
77360,88.99B,2,48.866667,2.65
77360,73.11Z,2,48.866667,2.65
77360,74.90B,1,48.866667,2.65
77360,18.13Z,1,48.866667,2.65
77360,71.12B,1,48.866667,2.65
77360,68.20B,20,48.866667,2.65
77360,60.2L,1,48.866667,2.65
77360,01.10,1,48.866667,2.65
