codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
78420,47.99A,8,48.916667,2.183333
78420,58.19Z,1,48.916667,2.183333
78420,64.11,7,48.916667,2.183333
78420,70.3A,12,48.916667,2.183333
78420,61.10Z,1,48.916667,2.183333
78420,55.3A,8,48.916667,2.183333
78420,65.12Z,3,48.916667,2.183333
78420,47.04,1,48.916667,2.183333
78420,43.22A,1,48.916667,2.183333
78420,22.1E,3,48.916667,2.183333
78420,51.9B,1,48.916667,2.183333
78420,31.01Z,1,48.916667,2.183333
78420,67.05,1,48.916667,2.183333
78420,41.10A,6,48.916667,2.183333
78420,93.0D,5,48.916667,2.183333
78420,02.10Z,2,48.916667,2.183333
78420,01.44Z,1,48.916667,2.183333
78420,84.11,3,48.916667,2.183333
78420,47.79Z,7,48.916667,2.183333
78420,00.97,5,48.916667,2.183333
78420,01.11Z,2,48.916667,2.183333
78420,77.01,1,48.916667,2.183333
78420,46.23Z,1,48.916667,2.183333
78420,52.4Z,9,48.916667,2.183333
78420,92.3A,4,48.916667,2.183333
78420,95.29Z,4,48.916667,2.183333
78420,64.23,1,48.916667,2.183333
78420,68.20A,57,48.916667,2.183333
78420,64.49,2,48.916667,2.183333
78420,55.40,2,48.916667,2.183333
78420,49.32Z,5,48.916667,2.183333
78420,60.2E,4,48.916667,2.183333
78420,46.46Z,3,48.916667,2.183333
78420,45.3E,1,48.916667,2.183333
78420,55.60,6,48.916667,2.183333
78420,36.6E,1,48.916667,2.183333
78420,15.8D,3,48.916667,2.183333
78420,56.30Z,3,48.916667,2.183333
78420,86.22A,6,48.916667,2.183333
78420,72.2Z,2,48.916667,2.183333
78420,36.00Z,1,48.916667,2.183333
78420,56.21Z,5,48.916667,2.183333
78420,95.11Z,3,48.916667,2.183333
78420,62.11,5,48.916667,2.183333
78420,85.1C,4,48.916667,2.183333
78420,46.49Z,10,48.916667,2.183333
78420,50.2Z,3,48.916667,2.183333
78420,47.77Z,2,48.916667,2.183333
78420,78.20Z,1,48.916667,2.183333
78420,45.4J,1,48.916667,2.183333
78420,47.52A,1,48.916667,2.183333
78420,73.20Z,1,48.916667,2.183333
78420,52.4V,2,48.916667,2.183333
78420,22.1G,1,48.916667,2.183333
78420,43.34Z,13,48.916667,2.183333
78420,80.4D,1,48.916667,2.183333
78420,80.20Z,1,48.916667,2.183333
78420,93.19Z,1,48.916667,2.183333
78420,93.0N,2,48.916667,2.183333
78420,52.4X,3,48.916667,2.183333
78420,64.20Z,16,48.916667,2.183333
78420,25.12Z,1,48.916667,2.183333
78420,87.10A,3,48.916667,2.183333
78420,46.13Z,1,48.916667,2.183333
78420,86.90E,41,48.916667,2.183333
78420,90.01Z,19,48.916667,2.183333
78420,01.43Z,3,48.916667,2.183333
78420,85.31Z,4,48.916667,2.183333
78420,71.20A,1,48.916667,2.183333
78420,38.11Z,1,48.916667,2.183333
78420,66.0A,1,48.916667,2.183333
78420,47.75Z,1,48.916667,2.183333
78420,94.91Z,4,48.916667,2.183333
78420,74.10Z,20,48.916667,2.183333
78420,56.10C,4,48.916667,2.183333
78420,74.90A,1,48.916667,2.183333
78420,82.11Z,2,48.916667,2.183333
78420,81.30Z,6,48.916667,2.183333
78420,49.05,2,48.916667,2.183333
78420,86.10Z,12,48.916667,2.183333
78420,64.41,1,48.916667,2.183333
78420,84.11Z,15,48.916667,2.183333
78420,43.99B,1,48.916667,2.183333
78420,80.2A,1,48.916667,2.183333
78420,77.08,1,48.916667,2.183333
78420,66.30Z,6,48.916667,2.183333
78420,10.13B,1,48.916667,2.183333
78420,01.21Z,2,48.916667,2.183333
78420,"",1,48.916667,2.183333
78420,64.45,1,48.916667,2.183333
78420,45.4D,1,48.916667,2.183333
78420,55.5A,1,48.916667,2.183333
78420,85.1G,7,48.916667,2.183333
78420,17.21B,1,48.916667,2.183333
78420,77.14,1,48.916667,2.183333
78420,43.39Z,1,48.916667,2.183333
78420,55.20Z,3,48.916667,2.183333
78420,87.01,1,48.916667,2.183333
78420,93.12Z,13,48.916667,2.183333
78420,43.22B,3,48.916667,2.183333
78420,43.29B,1,48.916667,2.183333
78420,94.11Z,1,48.916667,2.183333
78420,72.11Z,1,48.916667,2.183333
78420,46.42Z,4,48.916667,2.183333
78420,43.32A,7,48.916667,2.183333
78420,56.29B,6,48.916667,2.183333
78420,25.62B,1,48.916667,2.183333
78420,74.1G,15,48.916667,2.183333
78420,72.19Z,1,48.916667,2.183333
78420,74.30Z,6,48.916667,2.183333
78420,47.11B,8,48.916667,2.183333
78420,79.11Z,2,48.916667,2.183333
78420,38.32Z,1,48.916667,2.183333
78420,70.1F,2,48.916667,2.183333
78420,96.03Z,5,48.916667,2.183333
78420,52.2P,3,48.916667,2.183333
78420,47.61Z,1,48.916667,2.183333
78420,64.19Z,16,48.916667,2.183333
