codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
78440,58.19Z,22,49.033333,1.8
78440,58.19Z,22,48.966667,1.766667
78440,58.19Z,22,49.05,1.833333
78440,58.19Z,22,49.066667,1.816667
78440,58.19Z,22,49.05,1.85
78440,58.19Z,22,49,1.783333
78440,58.19Z,22,49.016667,1.783333
78440,58.19Z,22,49,1.816667
78440,58.19Z,22,49.033333,1.75
78440,58.19Z,22,49.05,1.766667
78440,58.19Z,22,"",""
78440,47.99A,1023,49.033333,1.8
78440,47.99A,1023,48.966667,1.766667
78440,47.99A,1023,49.05,1.833333
78440,47.99A,1023,49.066667,1.816667
78440,47.99A,1023,49.05,1.85
78440,47.99A,1023,49,1.783333
78440,47.99A,1023,49.016667,1.783333
78440,47.99A,1023,49,1.816667
78440,47.99A,1023,49.033333,1.75
78440,47.99A,1023,49.05,1.766667
78440,47.99A,1023,"",""
78440,25.73B,11,49.033333,1.8
78440,25.73B,11,48.966667,1.766667
78440,25.73B,11,49.05,1.833333
78440,25.73B,11,49.066667,1.816667
78440,25.73B,11,49.05,1.85
78440,25.73B,11,49,1.783333
78440,25.73B,11,49.016667,1.783333
78440,25.73B,11,49,1.816667
78440,25.73B,11,49.033333,1.75
78440,25.73B,11,49.05,1.766667
78440,25.73B,11,"",""
78440,33.20A,66,49.033333,1.8
78440,33.20A,66,48.966667,1.766667
78440,33.20A,66,49.05,1.833333
78440,33.20A,66,49.066667,1.816667
78440,33.20A,66,49.05,1.85
78440,33.20A,66,49,1.783333
78440,33.20A,66,49.016667,1.783333
78440,33.20A,66,49,1.816667
78440,33.20A,66,49.033333,1.75
78440,33.20A,66,49.05,1.766667
78440,33.20A,66,"",""
78440,45.20B,44,49.033333,1.8
78440,45.20B,44,48.966667,1.766667
78440,45.20B,44,49.05,1.833333
78440,45.20B,44,49.066667,1.816667
78440,45.20B,44,49.05,1.85
78440,45.20B,44,49,1.783333
78440,45.20B,44,49.016667,1.783333
78440,45.20B,44,49,1.816667
78440,45.20B,44,49.033333,1.75
78440,45.20B,44,49.05,1.766667
78440,45.20B,44,"",""
78440,70.3A,165,49.033333,1.8
78440,70.3A,165,48.966667,1.766667
78440,70.3A,165,49.05,1.833333
78440,70.3A,165,49.066667,1.816667
78440,70.3A,165,49.05,1.85
78440,70.3A,165,49,1.783333
78440,70.3A,165,49.016667,1.783333
78440,70.3A,165,49,1.816667
78440,70.3A,165,49.033333,1.75
78440,70.3A,165,49.05,1.766667
78440,70.3A,165,"",""
78440,64.11,451,49.033333,1.8
78440,64.11,451,48.966667,1.766667
78440,64.11,451,49.05,1.833333
78440,64.11,451,49.066667,1.816667
78440,64.11,451,49.05,1.85
78440,64.11,451,49,1.783333
78440,64.11,451,49.016667,1.783333
78440,64.11,451,49,1.816667
78440,64.11,451,49.033333,1.75
78440,64.11,451,49.05,1.766667
78440,64.11,451,"",""
78440,61.10Z,99,49.033333,1.8
78440,61.10Z,99,48.966667,1.766667
78440,61.10Z,99,49.05,1.833333
78440,61.10Z,99,49.066667,1.816667
78440,61.10Z,99,49.05,1.85
78440,61.10Z,99,49,1.783333
78440,61.10Z,99,49.016667,1.783333
78440,61.10Z,99,49,1.816667
78440,61.10Z,99,49.033333,1.75
78440,61.10Z,99,49.05,1.766667
78440,61.10Z,99,"",""
78440,87.30A,22,49.033333,1.8
78440,87.30A,22,48.966667,1.766667
78440,87.30A,22,49.05,1.833333
78440,87.30A,22,49.066667,1.816667
78440,87.30A,22,49.05,1.85
78440,87.30A,22,49,1.783333
78440,87.30A,22,49.016667,1.783333
78440,87.30A,22,49,1.816667
78440,87.30A,22,49.033333,1.75
78440,87.30A,22,49.05,1.766667
78440,87.30A,22,"",""
78440,93.0A,11,49.033333,1.8
78440,93.0A,11,48.966667,1.766667
78440,93.0A,11,49.05,1.833333
78440,93.0A,11,49.066667,1.816667
78440,93.0A,11,49.05,1.85
78440,93.0A,11,49,1.783333
78440,93.0A,11,49.016667,1.783333
78440,93.0A,11,49,1.816667
78440,93.0A,11,49.033333,1.75
78440,93.0A,11,49.05,1.766667
78440,93.0A,11,"",""
78440,63.99Z,11,49.033333,1.8
78440,63.99Z,11,48.966667,1.766667
78440,63.99Z,11,49.05,1.833333
78440,63.99Z,11,49.066667,1.816667
78440,63.99Z,11,49.05,1.85
78440,63.99Z,11,49,1.783333
78440,63.99Z,11,49.016667,1.783333
78440,63.99Z,11,49,1.816667
78440,63.99Z,11,49.033333,1.75
78440,63.99Z,11,49.05,1.766667
78440,63.99Z,11,"",""
78440,46.45Z,55,49.033333,1.8
78440,46.45Z,55,48.966667,1.766667
78440,46.45Z,55,49.05,1.833333
78440,46.45Z,55,49.066667,1.816667
78440,46.45Z,55,49.05,1.85
78440,46.45Z,55,49,1.783333
78440,46.45Z,55,49.016667,1.783333
78440,46.45Z,55,49,1.816667
78440,46.45Z,55,49.033333,1.75
78440,46.45Z,55,49.05,1.766667
78440,46.45Z,55,"",""
78440,55.3A,429,49.033333,1.8
78440,55.3A,429,48.966667,1.766667
78440,55.3A,429,49.05,1.833333
78440,55.3A,429,49.066667,1.816667
78440,55.3A,429,49.05,1.85
78440,55.3A,429,49,1.783333
78440,55.3A,429,49.016667,1.783333
78440,55.3A,429,49,1.816667
78440,55.3A,429,49.033333,1.75
78440,55.3A,429,49.05,1.766667
78440,55.3A,429,"",""
78440,65.12Z,99,49.033333,1.8
78440,65.12Z,99,48.966667,1.766667
78440,65.12Z,99,49.05,1.833333
78440,65.12Z,99,49.066667,1.816667
78440,65.12Z,99,49.05,1.85
78440,65.12Z,99,49,1.783333
78440,65.12Z,99,49.016667,1.783333
78440,65.12Z,99,49,1.816667
78440,65.12Z,99,49.033333,1.75
78440,65.12Z,99,49.05,1.766667
78440,65.12Z,99,"",""
78440,43.22A,671,49.033333,1.8
78440,43.22A,671,48.966667,1.766667
78440,43.22A,671,49.05,1.833333
78440,43.22A,671,49.066667,1.816667
78440,43.22A,671,49.05,1.85
78440,43.22A,671,49,1.783333
78440,43.22A,671,49.016667,1.783333
78440,43.22A,671,49,1.816667
78440,43.22A,671,49.033333,1.75
78440,43.22A,671,49.05,1.766667
78440,43.22A,671,"",""
78440,90.0E,11,49.033333,1.8
78440,90.0E,11,48.966667,1.766667
78440,90.0E,11,49.05,1.833333
78440,90.0E,11,49.066667,1.816667
78440,90.0E,11,49.05,1.85
78440,90.0E,11,49,1.783333
78440,90.0E,11,49.016667,1.783333
78440,90.0E,11,49,1.816667
78440,90.0E,11,49.033333,1.75
78440,90.0E,11,49.05,1.766667
78440,90.0E,11,"",""
78440,95.12Z,11,49.033333,1.8
78440,95.12Z,11,48.966667,1.766667
78440,95.12Z,11,49.05,1.833333
78440,95.12Z,11,49.066667,1.816667
78440,95.12Z,11,49.05,1.85
78440,95.12Z,11,49,1.783333
78440,95.12Z,11,49.016667,1.783333
78440,95.12Z,11,49,1.816667
78440,95.12Z,11,49.033333,1.75
78440,95.12Z,11,49.05,1.766667
78440,95.12Z,11,"",""
78440,47.04,22,49.033333,1.8
78440,47.04,22,48.966667,1.766667
78440,47.04,22,49.05,1.833333
78440,47.04,22,49.066667,1.816667
78440,47.04,22,49.05,1.85
78440,47.04,22,49,1.783333
78440,47.04,22,49.016667,1.783333
78440,47.04,22,49,1.816667
78440,47.04,22,49.033333,1.75
78440,47.04,22,49.05,1.766667
78440,47.04,22,"",""
78440,51.9B,44,49.033333,1.8
78440,51.9B,44,48.966667,1.766667
78440,51.9B,44,49.05,1.833333
78440,51.9B,44,49.066667,1.816667
78440,51.9B,44,49.05,1.85
78440,51.9B,44,49,1.783333
78440,51.9B,44,49.016667,1.783333
78440,51.9B,44,49,1.816667
78440,51.9B,44,49.033333,1.75
78440,51.9B,44,49.05,1.766667
78440,51.9B,44,"",""
78440,31.01Z,11,49.033333,1.8
78440,31.01Z,11,48.966667,1.766667
78440,31.01Z,11,49.05,1.833333
78440,31.01Z,11,49.066667,1.816667
78440,31.01Z,11,49.05,1.85
78440,31.01Z,11,49,1.783333
78440,31.01Z,11,49.016667,1.783333
78440,31.01Z,11,49,1.816667
78440,31.01Z,11,49.033333,1.75
78440,31.01Z,11,49.05,1.766667
78440,31.01Z,11,"",""
78440,22.1E,11,49.033333,1.8
78440,22.1E,11,48.966667,1.766667
78440,22.1E,11,49.05,1.833333
78440,22.1E,11,49.066667,1.816667
78440,22.1E,11,49.05,1.85
78440,22.1E,11,49,1.783333
78440,22.1E,11,49.016667,1.783333
78440,22.1E,11,49,1.816667
78440,22.1E,11,49.033333,1.75
78440,22.1E,11,49.05,1.766667
78440,22.1E,11,"",""
78440,67.05,44,49.033333,1.8
78440,67.05,44,48.966667,1.766667
78440,67.05,44,49.05,1.833333
78440,67.05,44,49.066667,1.816667
78440,67.05,44,49.05,1.85
78440,67.05,44,49,1.783333
78440,67.05,44,49.016667,1.783333
78440,67.05,44,49,1.816667
78440,67.05,44,49.033333,1.75
78440,67.05,44,49.05,1.766667
78440,67.05,44,"",""
78440,41.10A,33,49.033333,1.8
78440,41.10A,33,48.966667,1.766667
78440,41.10A,33,49.05,1.833333
78440,41.10A,33,49.066667,1.816667
78440,41.10A,33,49.05,1.85
78440,41.10A,33,49,1.783333
78440,41.10A,33,49.016667,1.783333
78440,41.10A,33,49,1.816667
78440,41.10A,33,49.033333,1.75
78440,41.10A,33,49.05,1.766667
78440,41.10A,33,"",""
78440,64.40,33,49.033333,1.8
78440,64.40,33,48.966667,1.766667
78440,64.40,33,49.05,1.833333
78440,64.40,33,49.066667,1.816667
78440,64.40,33,49.05,1.85
78440,64.40,33,49,1.783333
78440,64.40,33,49.016667,1.783333
78440,64.40,33,49,1.816667
78440,64.40,33,49.033333,1.75
78440,64.40,33,49.05,1.766667
78440,64.40,33,"",""
78440,93.0D,209,49.033333,1.8
78440,93.0D,209,48.966667,1.766667
78440,93.0D,209,49.05,1.833333
78440,93.0D,209,49.066667,1.816667
78440,93.0D,209,49.05,1.85
78440,93.0D,209,49,1.783333
78440,93.0D,209,49.016667,1.783333
78440,93.0D,209,49,1.816667
78440,93.0D,209,49.033333,1.75
78440,93.0D,209,49.05,1.766667
78440,93.0D,209,"",""
78440,02.10Z,11,49.033333,1.8
78440,02.10Z,11,48.966667,1.766667
78440,02.10Z,11,49.05,1.833333
78440,02.10Z,11,49.066667,1.816667
78440,02.10Z,11,49.05,1.85
78440,02.10Z,11,49,1.783333
78440,02.10Z,11,49.016667,1.783333
78440,02.10Z,11,49,1.816667
78440,02.10Z,11,49.033333,1.75
78440,02.10Z,11,49.05,1.766667
78440,02.10Z,11,"",""
78440,60.2N,11,49.033333,1.8
78440,60.2N,11,48.966667,1.766667
78440,60.2N,11,49.05,1.833333
78440,60.2N,11,49.066667,1.816667
78440,60.2N,11,49.05,1.85
78440,60.2N,11,49,1.783333
78440,60.2N,11,49.016667,1.783333
78440,60.2N,11,49,1.816667
78440,60.2N,11,49.033333,1.75
78440,60.2N,11,49.05,1.766667
78440,60.2N,11,"",""
78440,47.79Z,88,49.033333,1.8
78440,47.79Z,88,48.966667,1.766667
78440,47.79Z,88,49.05,1.833333
78440,47.79Z,88,49.066667,1.816667
78440,47.79Z,88,49.05,1.85
78440,47.79Z,88,49,1.783333
78440,47.79Z,88,49.016667,1.783333
78440,47.79Z,88,49,1.816667
78440,47.79Z,88,49.033333,1.75
78440,47.79Z,88,49.05,1.766667
78440,47.79Z,88,"",""
78440,00.97,286,49.033333,1.8
78440,00.97,286,48.966667,1.766667
78440,00.97,286,49.05,1.833333
78440,00.97,286,49.066667,1.816667
78440,00.97,286,49.05,1.85
78440,00.97,286,49,1.783333
78440,00.97,286,49.016667,1.783333
78440,00.97,286,49,1.816667
78440,00.97,286,49.033333,1.75
78440,00.97,286,49.05,1.766667
78440,00.97,286,"",""
78440,52.3A,132,49.033333,1.8
78440,52.3A,132,48.966667,1.766667
78440,52.3A,132,49.05,1.833333
78440,52.3A,132,49.066667,1.816667
78440,52.3A,132,49.05,1.85
78440,52.3A,132,49,1.783333
78440,52.3A,132,49.016667,1.783333
78440,52.3A,132,49,1.816667
78440,52.3A,132,49.033333,1.75
78440,52.3A,132,49.05,1.766667
78440,52.3A,132,"",""
78440,01.11Z,22,49.033333,1.8
78440,01.11Z,22,48.966667,1.766667
78440,01.11Z,22,49.05,1.833333
78440,01.11Z,22,49.066667,1.816667
78440,01.11Z,22,49.05,1.85
78440,01.11Z,22,49,1.783333
78440,01.11Z,22,49.016667,1.783333
78440,01.11Z,22,49,1.816667
78440,01.11Z,22,49.033333,1.75
78440,01.11Z,22,49.05,1.766667
78440,01.11Z,22,"",""
78440,38.22Z,11,49.033333,1.8
78440,38.22Z,11,48.966667,1.766667
78440,38.22Z,11,49.05,1.833333
78440,38.22Z,11,49.066667,1.816667
78440,38.22Z,11,49.05,1.85
78440,38.22Z,11,49,1.783333
78440,38.22Z,11,49.016667,1.783333
