codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
78470,47.99A,15,48.7,2.083333
78470,47.99A,15,48.733333,2.016667
78470,47.99A,15,48.733333,2.05
78470,70.3A,6,48.7,2.083333
78470,70.3A,6,48.733333,2.016667
78470,70.3A,6,48.733333,2.05
78470,64.11,3,48.7,2.083333
78470,64.11,3,48.733333,2.016667
78470,64.11,3,48.733333,2.05
78470,55.3A,6,48.7,2.083333
78470,55.3A,6,48.733333,2.016667
78470,55.3A,6,48.733333,2.05
78470,43.22A,6,48.7,2.083333
78470,43.22A,6,48.733333,2.016667
78470,43.22A,6,48.733333,2.05
78470,01.11Z,21,48.7,2.083333
78470,01.11Z,21,48.733333,2.016667
78470,01.11Z,21,48.733333,2.05
78470,47.79Z,6,48.7,2.083333
78470,47.79Z,6,48.733333,2.016667
78470,47.79Z,6,48.733333,2.05
78470,95.29Z,3,48.7,2.083333
78470,95.29Z,3,48.733333,2.016667
78470,95.29Z,3,48.733333,2.05
78470,68.20A,27,48.7,2.083333
78470,68.20A,27,48.733333,2.016667
78470,68.20A,27,48.733333,2.05
78470,55.40,3,48.7,2.083333
78470,55.40,3,48.733333,2.016667
78470,55.40,3,48.733333,2.05
78470,64.49,3,48.7,2.083333
78470,64.49,3,48.733333,2.016667
78470,64.49,3,48.733333,2.05
78470,45.3E,6,48.7,2.083333
78470,45.3E,6,48.733333,2.016667
78470,45.3E,6,48.733333,2.05
78470,49.32Z,6,48.7,2.083333
78470,49.32Z,6,48.733333,2.016667
78470,49.32Z,6,48.733333,2.05
78470,55.60,3,48.7,2.083333
78470,55.60,3,48.733333,2.016667
78470,55.60,3,48.733333,2.05
78470,45.2J,3,48.7,2.083333
78470,45.2J,3,48.733333,2.016667
78470,45.2J,3,48.733333,2.05
78470,56.21Z,9,48.7,2.083333
78470,56.21Z,9,48.733333,2.016667
78470,56.21Z,9,48.733333,2.05
78470,95.11Z,3,48.7,2.083333
78470,95.11Z,3,48.733333,2.016667
78470,95.11Z,3,48.733333,2.05
78470,85.1C,3,48.7,2.083333
78470,85.1C,3,48.733333,2.016667
78470,85.1C,3,48.733333,2.05
78470,50.2Z,15,48.7,2.083333
78470,50.2Z,15,48.733333,2.016667
78470,50.2Z,15,48.733333,2.05
78470,78.20Z,6,48.7,2.083333
78470,78.20Z,6,48.733333,2.016667
78470,78.20Z,6,48.733333,2.05
78470,45.4J,3,48.7,2.083333
78470,45.4J,3,48.733333,2.016667
78470,45.4J,3,48.733333,2.05
78470,43.34Z,12,48.7,2.083333
78470,43.34Z,12,48.733333,2.016667
78470,43.34Z,12,48.733333,2.05
78470,93.19Z,3,48.7,2.083333
78470,93.19Z,3,48.733333,2.016667
78470,93.19Z,3,48.733333,2.05
78470,46.74A,3,48.7,2.083333
78470,46.74A,3,48.733333,2.016667
78470,46.74A,3,48.733333,2.05
78470,64.20Z,15,48.7,2.083333
78470,64.20Z,15,48.733333,2.016667
78470,64.20Z,15,48.733333,2.05
78470,90.01Z,21,48.7,2.083333
78470,90.01Z,21,48.733333,2.016667
78470,90.01Z,21,48.733333,2.05
78470,46.73B,3,48.7,2.083333
78470,46.73B,3,48.733333,2.016667
78470,46.73B,3,48.733333,2.05
78470,43.32B,3,48.7,2.083333
78470,43.32B,3,48.733333,2.016667
78470,43.32B,3,48.733333,2.05
78470,74.90A,3,48.7,2.083333
78470,74.90A,3,48.733333,2.016667
78470,74.90A,3,48.733333,2.05
78470,74.10Z,3,48.7,2.083333
78470,74.10Z,3,48.733333,2.016667
78470,74.10Z,3,48.733333,2.05
78470,56.10C,3,48.7,2.083333
78470,56.10C,3,48.733333,2.016667
78470,56.10C,3,48.733333,2.05
78470,82.11Z,6,48.7,2.083333
78470,82.11Z,6,48.733333,2.016667
78470,82.11Z,6,48.733333,2.05
78470,46.44Z,9,48.7,2.083333
78470,46.44Z,9,48.733333,2.016667
78470,46.44Z,9,48.733333,2.05
78470,81.30Z,6,48.7,2.083333
78470,81.30Z,6,48.733333,2.016667
78470,81.30Z,6,48.733333,2.05
78470,49.05,3,48.7,2.083333
78470,49.05,3,48.733333,2.016667
78470,49.05,3,48.733333,2.05
78470,84.11Z,9,48.7,2.083333
78470,84.11Z,9,48.733333,2.016667
78470,84.11Z,9,48.733333,2.05
78470,01.4B,3,48.7,2.083333
78470,01.4B,3,48.733333,2.016667
78470,01.4B,3,48.733333,2.05
78470,20.42Z,3,48.7,2.083333
78470,20.42Z,3,48.733333,2.016667
78470,20.42Z,3,48.733333,2.05
78470,50.1Z,3,48.7,2.083333
78470,50.1Z,3,48.733333,2.016667
78470,50.1Z,3,48.733333,2.05
78470,54.07,3,48.7,2.083333
78470,54.07,3,48.733333,2.016667
