codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
78620,47.99A,5,48.866667,2.066667
78620,70.3A,2,48.866667,2.066667
78620,33.03,2,48.866667,2.066667
78620,55.3A,7,48.866667,2.066667
78620,43.22A,4,48.866667,2.066667
78620,22.1E,1,48.866667,2.066667
78620,67.05,1,48.866667,2.066667
78620,01.11Z,3,48.866667,2.066667
78620,77.01,1,48.866667,2.066667
78620,68.20A,9,48.866667,2.066667
78620,01.50,1,48.866667,2.066667
78620,51.3J,1,48.866667,2.066667
78620,49.32Z,1,48.866667,2.066667
78620,55.60,1,48.866667,2.066667
78620,56.30Z,1,48.866667,2.066667
78620,46.11Z,1,48.866667,2.066667
78620,52.21Z,1,48.866667,2.066667
78620,56.21Z,1,48.866667,2.066667
78620,46.49Z,4,48.866667,2.066667
78620,78.20Z,1,48.866667,2.066667
78620,51.1G,1,48.866667,2.066667
78620,73.20Z,1,48.866667,2.066667
78620,81.22Z,1,48.866667,2.066667
78620,43.34Z,5,48.866667,2.066667
78620,80.4D,1,48.866667,2.066667
78620,93.19Z,1,48.866667,2.066667
78620,81.29B,2,48.866667,2.066667
78620,25.61Z,1,48.866667,2.066667
78620,64.20Z,11,48.866667,2.066667
78620,71.3G,2,48.866667,2.066667
78620,90.01Z,1,48.866667,2.066667
78620,86.90E,3,48.866667,2.066667
78620,80.4C,1,48.866667,2.066667
78620,47.82Z,1,48.866667,2.066667
78620,94.92Z,1,48.866667,2.066667
78620,47.75Z,1,48.866667,2.066667
78620,74.10Z,3,48.866667,2.066667
78620,56.10C,3,48.866667,2.066667
78620,55.4C,1,48.866667,2.066667
78620,84.11Z,3,48.866667,2.066667
78620,28.6C,1,48.866667,2.066667
78620,71.2E,3,48.866667,2.066667
78620,55.5A,1,48.866667,2.066667
78620,43.39Z,2,48.866667,2.066667
78620,93.12Z,11,48.866667,2.066667
78620,43.32A,3,48.866667,2.066667
78620,56.29B,3,48.866667,2.066667
78620,25.62B,1,48.866667,2.066667
78620,58.12,1,48.866667,2.066667
78620,74.1G,3,48.866667,2.066667
78620,72.5Z,1,48.866667,2.066667
78620,72.19Z,1,48.866667,2.066667
78620,74.30Z,2,48.866667,2.066667
78620,70.1F,1,48.866667,2.066667
78620,47.61Z,1,48.866667,2.066667
78620,46.66Z,1,48.866667,2.066667
78620,92.3B,2,48.866667,2.066667
78620,30.30Z,3,48.866667,2.066667
78620,59.20Z,2,48.866667,2.066667
78620,86.10,1,48.866667,2.066667
78620,80.02,1,48.866667,2.066667
78620,43.32C,2,48.866667,2.066667
78620,39.00Z,1,48.866667,2.066667
78620,35.3B,4,48.866667,2.066667
78620,26.20Z,3,48.866667,2.066667
78620,43.33Z,1,48.866667,2.066667
78620,74.1J,1,48.866667,2.066667
78620,74.20Z,4,48.866667,2.066667
78620,56.10A,11,48.866667,2.066667
78620,64.30Z,3,48.866667,2.066667
78620,85.32Z,2,48.866667,2.066667
78620,82.19Z,1,48.866667,2.066667
78620,96.02A,1,48.866667,2.066667
78620,46.19B,2,48.866667,2.066667
78620,28.4A,1,48.866667,2.066667
78620,30.91Z,1,48.866667,2.066667
78620,85.42Z,1,48.866667,2.066667
78620,46.69B,7,48.866667,2.066667
78620,73.12Z,1,48.866667,2.066667
78620,70.1C,1,48.866667,2.066667
78620,26.51A,1,48.866667,2.066667
78620,94.99Z,10,48.866667,2.066667
78620,21.20Z,2,48.866667,2.066667
78620,81.11,1,48.866667,2.066667
78620,24.4C,1,48.866667,2.066667
78620,14.13Z,1,48.866667,2.066667
78620,70.10Z,5,48.866667,2.066667
78620,82.06,1,48.866667,2.066667
78620,74.02,1,48.866667,2.066667
78620,82.99Z,5,48.866667,2.066667
78620,47.21Z,1,48.866667,2.066667
78620,22.2A,1,48.866667,2.066667
78620,80.4A,2,48.866667,2.066667
78620,92.21,1,48.866667,2.066667
