codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
78640,58.19Z,16,48.816667,1.883333
78640,58.19Z,16,48.833333,1.9
78640,58.19Z,16,48.816667,1.866667
78640,58.19Z,16,48.816667,1.9
78640,47.99A,228,48.816667,1.883333
78640,47.99A,228,48.833333,1.9
78640,47.99A,228,48.816667,1.866667
78640,47.99A,228,48.816667,1.9
78640,10.62Z,4,48.816667,1.883333
78640,10.62Z,4,48.833333,1.9
78640,10.62Z,4,48.816667,1.866667
78640,10.62Z,4,48.816667,1.9
78640,14.31Z,4,48.816667,1.883333
78640,14.31Z,4,48.833333,1.9
78640,14.31Z,4,48.816667,1.866667
78640,14.31Z,4,48.816667,1.9
78640,33.20A,8,48.816667,1.883333
78640,33.20A,8,48.833333,1.9
78640,33.20A,8,48.816667,1.866667
78640,33.20A,8,48.816667,1.9
78640,71.3E,16,48.816667,1.883333
78640,71.3E,16,48.833333,1.9
78640,71.3E,16,48.816667,1.866667
78640,71.3E,16,48.816667,1.9
78640,64.11,156,48.816667,1.883333
78640,64.11,156,48.833333,1.9
78640,64.11,156,48.816667,1.866667
78640,64.11,156,48.816667,1.9
78640,70.3A,84,48.816667,1.883333
78640,70.3A,84,48.833333,1.9
78640,70.3A,84,48.816667,1.866667
78640,70.3A,84,48.816667,1.9
78640,61.10Z,48,48.816667,1.883333
78640,61.10Z,48,48.833333,1.9
78640,61.10Z,48,48.816667,1.866667
78640,61.10Z,48,48.816667,1.9
78640,87.30A,4,48.816667,1.883333
78640,87.30A,4,48.833333,1.9
78640,87.30A,4,48.816667,1.866667
78640,87.30A,4,48.816667,1.9
78640,55.3A,116,48.816667,1.883333
78640,55.3A,116,48.833333,1.9
78640,55.3A,116,48.816667,1.866667
78640,55.3A,116,48.816667,1.9
78640,65.12Z,16,48.816667,1.883333
78640,65.12Z,16,48.833333,1.9
78640,65.12Z,16,48.816667,1.866667
78640,65.12Z,16,48.816667,1.9
78640,46.45Z,28,48.816667,1.883333
78640,46.45Z,28,48.833333,1.9
78640,46.45Z,28,48.816667,1.866667
78640,46.45Z,28,48.816667,1.9
78640,33.03,4,48.816667,1.883333
78640,33.03,4,48.833333,1.9
78640,33.03,4,48.816667,1.866667
78640,33.03,4,48.816667,1.9
78640,74.09,8,48.816667,1.883333
78640,74.09,8,48.833333,1.9
78640,74.09,8,48.816667,1.866667
78640,74.09,8,48.816667,1.9
