codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80112,47.99A,1,49.983333,3.1
80112,67.05,1,49.983333,3.1
80112,02.10Z,1,49.983333,3.1
80112,47.79Z,1,49.983333,3.1
80112,01.11Z,6,49.983333,3.1
80112,68.20A,1,49.983333,3.1
80112,47.52A,1,49.983333,3.1
80112,43.34Z,1,49.983333,3.1
80112,93.19Z,1,49.983333,3.1
80112,01.43Z,1,49.983333,3.1
80112,74.10Z,1,49.983333,3.1
80112,81.30Z,1,49.983333,3.1
80112,84.11Z,2,49.983333,3.1
80112,01.3Z,1,49.983333,3.1
80112,43.32A,2,49.983333,3.1
80112,55.70,1,49.983333,3.1
80112,02.20Z,2,49.983333,3.1
80112,56.10A,2,49.983333,3.1
80112,96.02A,1,49.983333,3.1
80112,31.09B,1,49.983333,3.1
80112,01.00,1,49.983333,3.1
80112,94.99Z,1,49.983333,3.1
80112,01.50Z,2,49.983333,3.1
80112,84.12Z,1,49.983333,3.1
80112,27.40Z,1,49.983333,3.1
80112,02.40Z,2,49.983333,3.1
80112,90.03A,3,49.983333,3.1
80112,45.1A,1,49.983333,3.1
80112,96.02B,1,49.983333,3.1
80112,55.10,2,49.983333,3.1
80112,01.41Z,1,49.983333,3.1
80112,68.31Z,1,49.983333,3.1
80112,01.61Z,1,49.983333,3.1
80112,56.02,1,49.983333,3.1
80112,45.20A,1,49.983333,3.1
80112,41.10D,1,49.983333,3.1
80112,01.49Z,2,49.983333,3.1
80112,01.62Z,1,49.983333,3.1
80112,62.46,1,49.983333,3.1
80112,88.99B,2,49.983333,3.1
80112,85.51Z,2,49.983333,3.1
80112,45.2V,1,49.983333,3.1
80112,43.21A,1,49.983333,3.1
80112,68.20B,8,49.983333,3.1
