codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80450,47.99A,4,49.883333,2.383333
80450,47.99A,4,49.883333,2.35
80450,01.11Z,10,49.883333,2.383333
80450,01.11Z,10,49.883333,2.35
80450,95.29Z,2,49.883333,2.383333
80450,95.29Z,2,49.883333,2.35
80450,93.19Z,2,49.883333,2.383333
80450,93.19Z,2,49.883333,2.35
80450,84.11Z,6,49.883333,2.383333
80450,84.11Z,6,49.883333,2.35
80450,01.3Z,6,49.883333,2.383333
80450,01.3Z,6,49.883333,2.35
80450,43.39Z,2,49.883333,2.383333
80450,43.39Z,2,49.883333,2.35
80450,86.90D,2,49.883333,2.383333
80450,86.90D,2,49.883333,2.35
80450,48.05,2,49.883333,2.383333
80450,48.05,2,49.883333,2.35
80450,15.12Z,2,49.883333,2.383333
80450,15.12Z,2,49.883333,2.35
80450,93.21Z,2,49.883333,2.383333
80450,93.21Z,2,49.883333,2.35
80450,01.50Z,2,49.883333,2.383333
80450,01.50Z,2,49.883333,2.35
80450,01.2A,2,49.883333,2.383333
80450,01.2A,2,49.883333,2.35
80450,82.92Z,4,49.883333,2.383333
80450,82.92Z,4,49.883333,2.35
80450,96.04Z,2,49.883333,2.383333
80450,96.04Z,2,49.883333,2.35
80450,35.11Z,2,49.883333,2.383333
80450,35.11Z,2,49.883333,2.35
80450,90.03B,2,49.883333,2.383333
80450,90.03B,2,49.883333,2.35
80450,01.49Z,2,49.883333,2.383333
80450,01.49Z,2,49.883333,2.35
80450,01.1A,6,49.883333,2.383333
80450,01.1A,6,49.883333,2.35
80450,58.11Z,2,49.883333,2.383333
80450,58.11Z,2,49.883333,2.35
80450,88.99B,4,49.883333,2.383333
80450,88.99B,4,49.883333,2.35
80450,47.89Z,2,49.883333,2.383333
80450,47.89Z,2,49.883333,2.35
80450,71.12B,2,49.883333,2.383333
80450,71.12B,2,49.883333,2.35
