codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80620,47.99A,300,50.05,2.05
80620,47.99A,300,50.066667,2.066667
80620,47.99A,300,50.116667,2.1
80620,47.99A,300,50.133333,2.083333
80620,47.99A,300,50.1,2.133333
80620,47.99A,300,50.1,2.083333
80620,47.99A,300,50.083333,2.083333
80620,47.99A,300,50.116667,2.05
80620,47.99A,300,50.066667,2.116667
80620,47.99A,300,50.1,2.166667
80620,45.20B,20,50.05,2.05
80620,45.20B,20,50.066667,2.066667
80620,45.20B,20,50.116667,2.1
80620,45.20B,20,50.133333,2.083333
80620,45.20B,20,50.1,2.133333
80620,45.20B,20,50.1,2.083333
80620,45.20B,20,50.083333,2.083333
80620,45.20B,20,50.116667,2.05
80620,45.20B,20,50.066667,2.116667
80620,45.20B,20,50.1,2.166667
80620,33.20A,40,50.05,2.05
80620,33.20A,40,50.066667,2.066667
80620,33.20A,40,50.116667,2.1
80620,33.20A,40,50.133333,2.083333
80620,33.20A,40,50.1,2.133333
80620,33.20A,40,50.1,2.083333
80620,33.20A,40,50.083333,2.083333
80620,33.20A,40,50.116667,2.05
80620,33.20A,40,50.066667,2.116667
80620,33.20A,40,50.1,2.166667
80620,64.11,260,50.05,2.05
80620,64.11,260,50.066667,2.066667
80620,64.11,260,50.116667,2.1
80620,64.11,260,50.133333,2.083333
80620,64.11,260,50.1,2.133333
80620,64.11,260,50.1,2.083333
80620,64.11,260,50.083333,2.083333
80620,64.11,260,50.116667,2.05
80620,64.11,260,50.066667,2.116667
80620,64.11,260,50.1,2.166667
80620,70.3A,100,50.05,2.05
80620,70.3A,100,50.066667,2.066667
80620,70.3A,100,50.116667,2.1
80620,70.3A,100,50.133333,2.083333
80620,70.3A,100,50.1,2.133333
80620,70.3A,100,50.1,2.083333
80620,70.3A,100,50.083333,2.083333
80620,70.3A,100,50.116667,2.05
80620,70.3A,100,50.066667,2.116667
80620,70.3A,100,50.1,2.166667
80620,61.10Z,30,50.05,2.05
80620,61.10Z,30,50.066667,2.066667
80620,61.10Z,30,50.116667,2.1
80620,61.10Z,30,50.133333,2.083333
80620,61.10Z,30,50.1,2.133333
80620,61.10Z,30,50.1,2.083333
80620,61.10Z,30,50.083333,2.083333
80620,61.10Z,30,50.116667,2.05
80620,61.10Z,30,50.066667,2.116667
80620,61.10Z,30,50.1,2.166667
80620,10.31Z,10,50.05,2.05
80620,10.31Z,10,50.066667,2.066667
80620,10.31Z,10,50.116667,2.1
80620,10.31Z,10,50.133333,2.083333
80620,10.31Z,10,50.1,2.133333
80620,10.31Z,10,50.1,2.083333
80620,10.31Z,10,50.083333,2.083333
80620,10.31Z,10,50.116667,2.05
80620,10.31Z,10,50.066667,2.116667
80620,10.31Z,10,50.1,2.166667
80620,45.3H,10,50.05,2.05
80620,45.3H,10,50.066667,2.066667
80620,45.3H,10,50.116667,2.1
80620,45.3H,10,50.133333,2.083333
80620,45.3H,10,50.1,2.133333
80620,45.3H,10,50.1,2.083333
80620,45.3H,10,50.083333,2.083333
80620,45.3H,10,50.116667,2.05
80620,45.3H,10,50.066667,2.116667
80620,45.3H,10,50.1,2.166667
80620,55.3A,290,50.05,2.05
80620,55.3A,290,50.066667,2.066667
80620,55.3A,290,50.116667,2.1
80620,55.3A,290,50.133333,2.083333
80620,55.3A,290,50.1,2.133333
80620,55.3A,290,50.1,2.083333
80620,55.3A,290,50.083333,2.083333
80620,55.3A,290,50.116667,2.05
80620,55.3A,290,50.066667,2.116667
80620,55.3A,290,50.1,2.166667
80620,65.12Z,120,50.05,2.05
80620,65.12Z,120,50.066667,2.066667
80620,65.12Z,120,50.116667,2.1
80620,65.12Z,120,50.133333,2.083333
80620,65.12Z,120,50.1,2.133333
80620,65.12Z,120,50.1,2.083333
80620,65.12Z,120,50.083333,2.083333
80620,65.12Z,120,50.116667,2.05
80620,65.12Z,120,50.066667,2.116667
80620,65.12Z,120,50.1,2.166667
80620,43.22A,80,50.05,2.05
80620,43.22A,80,50.066667,2.066667
80620,43.22A,80,50.116667,2.1
80620,43.22A,80,50.133333,2.083333
80620,43.22A,80,50.1,2.133333
80620,43.22A,80,50.1,2.083333
80620,43.22A,80,50.083333,2.083333
80620,43.22A,80,50.116667,2.05
80620,43.22A,80,50.066667,2.116667
80620,43.22A,80,50.1,2.166667
80620,47.04,10,50.05,2.05
80620,47.04,10,50.066667,2.066667
80620,47.04,10,50.116667,2.1
80620,47.04,10,50.133333,2.083333
80620,47.04,10,50.1,2.133333
80620,47.04,10,50.1,2.083333
80620,47.04,10,50.083333,2.083333
80620,47.04,10,50.116667,2.05
80620,47.04,10,50.066667,2.116667
80620,47.04,10,50.1,2.166667
80620,31.01Z,30,50.05,2.05
80620,31.01Z,30,50.066667,2.066667
80620,31.01Z,30,50.116667,2.1
80620,31.01Z,30,50.133333,2.083333
80620,31.01Z,30,50.1,2.133333
80620,31.01Z,30,50.1,2.083333
80620,31.01Z,30,50.083333,2.083333
80620,31.01Z,30,50.116667,2.05
80620,31.01Z,30,50.066667,2.116667
80620,31.01Z,30,50.1,2.166667
80620,67.05,40,50.05,2.05
80620,67.05,40,50.066667,2.066667
80620,67.05,40,50.116667,2.1
80620,67.05,40,50.133333,2.083333
80620,67.05,40,50.1,2.133333
80620,67.05,40,50.1,2.083333
80620,67.05,40,50.083333,2.083333
80620,67.05,40,50.116667,2.05
80620,67.05,40,50.066667,2.116667
80620,67.05,40,50.1,2.166667
80620,41.10A,40,50.05,2.05
80620,41.10A,40,50.066667,2.066667
80620,41.10A,40,50.116667,2.1
80620,41.10A,40,50.133333,2.083333
80620,41.10A,40,50.1,2.133333
80620,41.10A,40,50.1,2.083333
80620,41.10A,40,50.083333,2.083333
80620,41.10A,40,50.116667,2.05
80620,41.10A,40,50.066667,2.116667
80620,41.10A,40,50.1,2.166667
80620,64.40,10,50.05,2.05
80620,64.40,10,50.066667,2.066667
80620,64.40,10,50.116667,2.1
80620,64.40,10,50.133333,2.083333
80620,64.40,10,50.1,2.133333
80620,64.40,10,50.1,2.083333
80620,64.40,10,50.083333,2.083333
80620,64.40,10,50.116667,2.05
80620,64.40,10,50.066667,2.116667
80620,64.40,10,50.1,2.166667
80620,93.0D,120,50.05,2.05
80620,93.0D,120,50.066667,2.066667
80620,93.0D,120,50.116667,2.1
80620,93.0D,120,50.133333,2.083333
80620,93.0D,120,50.1,2.133333
80620,93.0D,120,50.1,2.083333
80620,93.0D,120,50.083333,2.083333
80620,93.0D,120,50.116667,2.05
80620,93.0D,120,50.066667,2.116667
80620,93.0D,120,50.1,2.166667
80620,43.11Z,20,50.05,2.05
80620,43.11Z,20,50.066667,2.066667
80620,43.11Z,20,50.116667,2.1
80620,43.11Z,20,50.133333,2.083333
80620,43.11Z,20,50.1,2.133333
80620,43.11Z,20,50.1,2.083333
80620,43.11Z,20,50.083333,2.083333
80620,43.11Z,20,50.116667,2.05
80620,43.11Z,20,50.066667,2.116667
80620,43.11Z,20,50.1,2.166667
80620,02.10Z,50,50.05,2.05
80620,02.10Z,50,50.066667,2.066667
80620,02.10Z,50,50.116667,2.1
80620,02.10Z,50,50.133333,2.083333
80620,02.10Z,50,50.1,2.133333
80620,02.10Z,50,50.1,2.083333
80620,02.10Z,50,50.083333,2.083333
80620,02.10Z,50,50.116667,2.05
80620,02.10Z,50,50.066667,2.116667
80620,02.10Z,50,50.1,2.166667
80620,01.11Z,120,50.05,2.05
80620,01.11Z,120,50.066667,2.066667
80620,01.11Z,120,50.116667,2.1
80620,01.11Z,120,50.133333,2.083333
80620,01.11Z,120,50.1,2.133333
80620,01.11Z,120,50.1,2.083333
80620,01.11Z,120,50.083333,2.083333
80620,01.11Z,120,50.116667,2.05
80620,01.11Z,120,50.066667,2.116667
80620,01.11Z,120,50.1,2.166667
80620,47.79Z,30,50.05,2.05
80620,47.79Z,30,50.066667,2.066667
80620,47.79Z,30,50.116667,2.1
80620,47.79Z,30,50.133333,2.083333
80620,47.79Z,30,50.1,2.133333
80620,47.79Z,30,50.1,2.083333
80620,47.79Z,30,50.083333,2.083333
80620,47.79Z,30,50.116667,2.05
80620,47.79Z,30,50.066667,2.116667
80620,47.79Z,30,50.1,2.166667
80620,52.3A,20,50.05,2.05
80620,52.3A,20,50.066667,2.066667
80620,52.3A,20,50.116667,2.1
80620,52.3A,20,50.133333,2.083333
80620,52.3A,20,50.1,2.133333
80620,52.3A,20,50.1,2.083333
80620,52.3A,20,50.083333,2.083333
80620,52.3A,20,50.116667,2.05
80620,52.3A,20,50.066667,2.116667
80620,52.3A,20,50.1,2.166667
80620,84.11,20,50.05,2.05
80620,84.11,20,50.066667,2.066667
80620,84.11,20,50.116667,2.1
80620,84.11,20,50.133333,2.083333
80620,84.11,20,50.1,2.133333
80620,84.11,20,50.1,2.083333
80620,84.11,20,50.083333,2.083333
80620,84.11,20,50.116667,2.05
80620,84.11,20,50.066667,2.116667
80620,84.11,20,50.1,2.166667
80620,77.01,10,50.05,2.05
80620,77.01,10,50.066667,2.066667
80620,77.01,10,50.116667,2.1
80620,77.01,10,50.133333,2.083333
80620,77.01,10,50.1,2.133333
80620,77.01,10,50.1,2.083333
80620,77.01,10,50.083333,2.083333
80620,77.01,10,50.116667,2.05
80620,77.01,10,50.066667,2.116667
80620,77.01,10,50.1,2.166667
80620,65.02,60,50.05,2.05
80620,65.02,60,50.066667,2.066667
80620,65.02,60,50.116667,2.1
80620,65.02,60,50.133333,2.083333
80620,65.02,60,50.1,2.133333
80620,65.02,60,50.1,2.083333
80620,65.02,60,50.083333,2.083333
80620,65.02,60,50.116667,2.05
80620,65.02,60,50.066667,2.116667
80620,65.02,60,50.1,2.166667
80620,49.41A,160,50.05,2.05
80620,49.41A,160,50.066667,2.066667
80620,49.41A,160,50.116667,2.1
80620,49.41A,160,50.133333,2.083333
80620,49.41A,160,50.1,2.133333
80620,49.41A,160,50.1,2.083333
80620,49.41A,160,50.083333,2.083333
80620,49.41A,160,50.116667,2.05
80620,49.41A,160,50.066667,2.116667
80620,49.41A,160,50.1,2.166667
80620,52.4Z,110,50.05,2.05
80620,52.4Z,110,50.066667,2.066667
80620,52.4Z,110,50.116667,2.1
80620,52.4Z,110,50.133333,2.083333
80620,52.4Z,110,50.1,2.133333
80620,52.4Z,110,50.1,2.083333
80620,52.4Z,110,50.083333,2.083333
80620,52.4Z,110,50.116667,2.05
80620,52.4Z,110,50.066667,2.116667
80620,52.4Z,110,50.1,2.166667
80620,95.29Z,170,50.05,2.05
80620,95.29Z,170,50.066667,2.066667
80620,95.29Z,170,50.116667,2.1
80620,95.29Z,170,50.133333,2.083333
80620,95.29Z,170,50.1,2.133333
80620,95.29Z,170,50.1,2.083333
80620,95.29Z,170,50.083333,2.083333
80620,95.29Z,170,50.116667,2.05
80620,95.29Z,170,50.066667,2.116667
80620,95.29Z,170,50.1,2.166667
80620,64.23,40,50.05,2.05
80620,64.23,40,50.066667,2.066667
80620,64.23,40,50.116667,2.1
80620,64.23,40,50.133333,2.083333
80620,64.23,40,50.1,2.133333
80620,64.23,40,50.1,2.083333
80620,64.23,40,50.083333,2.083333
80620,64.23,40,50.116667,2.05
80620,64.23,40,50.066667,2.116667
80620,64.23,40,50.1,2.166667
80620,92.3A,20,50.05,2.05
80620,92.3A,20,50.066667,2.066667
80620,92.3A,20,50.116667,2.1
80620,92.3A,20,50.133333,2.083333
80620,92.3A,20,50.1,2.133333
80620,92.3A,20,50.1,2.083333
80620,92.3A,20,50.083333,2.083333
80620,92.3A,20,50.116667,2.05
80620,92.3A,20,50.066667,2.116667
80620,92.3A,20,50.1,2.166667
80620,68.20A,710,50.05,2.05
80620,68.20A,710,50.066667,2.066667
80620,68.20A,710,50.116667,2.1
80620,68.20A,710,50.133333,2.083333
80620,68.20A,710,50.1,2.133333
80620,68.20A,710,50.1,2.083333
80620,68.20A,710,50.083333,2.083333
80620,68.20A,710,50.116667,2.05
80620,68.20A,710,50.066667,2.116667
80620,68.20A,710,50.1,2.166667
80620,51.3A,30,50.05,2.05
80620,51.3A,30,50.066667,2.066667
80620,51.3A,30,50.116667,2.1
80620,51.3A,30,50.133333,2.083333
80620,51.3A,30,50.1,2.133333
80620,51.3A,30,50.1,2.083333
