codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80740,47.99A,2,49.983333,3.166667
80740,47.99A,2,50,3.133333
80740,10.31Z,2,49.983333,3.166667
80740,10.31Z,2,50,3.133333
80740,01.11Z,26,49.983333,3.166667
80740,01.11Z,26,50,3.133333
80740,64.49,2,49.983333,3.166667
80740,64.49,2,50,3.133333
80740,68.20A,2,49.983333,3.166667
80740,68.20A,2,50,3.133333
80740,32.99Z,2,49.983333,3.166667
80740,32.99Z,2,50,3.133333
80740,56.21Z,2,49.983333,3.166667
80740,56.21Z,2,50,3.133333
80740,95.11Z,2,49.983333,3.166667
80740,95.11Z,2,50,3.133333
80740,20.4Z,2,49.983333,3.166667
80740,20.4Z,2,50,3.133333
80740,50.2Z,2,49.983333,3.166667
80740,50.2Z,2,50,3.133333
80740,45.4J,4,49.983333,3.166667
80740,45.4J,4,50,3.133333
80740,81.22Z,2,49.983333,3.166667
80740,81.22Z,2,50,3.133333
80740,93.19Z,2,49.983333,3.166667
80740,93.19Z,2,50,3.133333
80740,38.11Z,4,49.983333,3.166667
80740,38.11Z,4,50,3.133333
80740,81.30Z,8,49.983333,3.166667
80740,81.30Z,8,50,3.133333
80740,84.11Z,4,49.983333,3.166667
80740,84.11Z,4,50,3.133333
80740,50.1Z,2,49.983333,3.166667
80740,50.1Z,2,50,3.133333
80740,01.3Z,2,49.983333,3.166667
80740,01.3Z,2,50,3.133333
80740,55.20Z,2,49.983333,3.166667
80740,55.20Z,2,50,3.133333
80740,93.12Z,2,49.983333,3.166667
80740,93.12Z,2,50,3.133333
80740,10.85Z,2,49.983333,3.166667
80740,10.85Z,2,50,3.133333
80740,74.20Z,2,49.983333,3.166667
80740,74.20Z,2,50,3.133333
80740,01.80,4,49.983333,3.166667
80740,01.80,4,50,3.133333
80740,86.90D,2,49.983333,3.166667
80740,86.90D,2,50,3.133333
80740,96.02A,2,49.983333,3.166667
80740,96.02A,2,50,3.133333
80740,48.05,2,49.983333,3.166667
80740,48.05,2,50,3.133333
80740,70.1C,2,49.983333,3.166667
80740,70.1C,2,50,3.133333
80740,01.00,2,49.983333,3.166667
80740,01.00,2,50,3.133333
80740,94.99Z,2,49.983333,3.166667
80740,94.99Z,2,50,3.133333
80740,70.10Z,2,49.983333,3.166667
80740,70.10Z,2,50,3.133333
80740,72.3Z,2,49.983333,3.166667
80740,72.3Z,2,50,3.133333
80740,01.50Z,6,49.983333,3.166667
80740,01.50Z,6,50,3.133333
80740,01.1C,2,49.983333,3.166667
80740,01.1C,2,50,3.133333
80740,45.4C,4,49.983333,3.166667
80740,45.4C,4,50,3.133333
80740,96.02B,2,49.983333,3.166667
80740,96.02B,2,50,3.133333
80740,55.10,2,49.983333,3.166667
80740,55.10,2,50,3.133333
80740,64.48,2,49.983333,3.166667
80740,64.48,2,50,3.133333
80740,47.81Z,2,49.983333,3.166667
80740,47.81Z,2,50,3.133333
80740,68.31Z,2,49.983333,3.166667
80740,68.31Z,2,50,3.133333
80740,51.5E,2,49.983333,3.166667
80740,51.5E,2,50,3.133333
80740,43.99C,2,49.983333,3.166667
80740,43.99C,2,50,3.133333
80740,52.5Z,2,49.983333,3.166667
80740,52.5Z,2,50,3.133333
80740,49.41B,4,49.983333,3.166667
80740,49.41B,4,50,3.133333
80740,01.61Z,6,49.983333,3.166667
80740,01.61Z,6,50,3.133333
80740,35.11Z,2,49.983333,3.166667
80740,35.11Z,2,50,3.133333
80740,46.73A,4,49.983333,3.166667
80740,46.73A,4,50,3.133333
80740,01.1A,10,49.983333,3.166667
80740,01.1A,10,50,3.133333
80740,66.22Z,2,49.983333,3.166667
80740,66.22Z,2,50,3.133333
80740,32.13Z,2,49.983333,3.166667
80740,32.13Z,2,50,3.133333
80740,88.99B,4,49.983333,3.166667
80740,88.99B,4,50,3.133333
80740,51.5F,2,49.983333,3.166667
80740,51.5F,2,50,3.133333
80740,47.89Z,2,49.983333,3.166667
80740,47.89Z,2,50,3.133333
80740,18.13Z,2,49.983333,3.166667
80740,18.13Z,2,50,3.133333
80740,68.20B,8,49.983333,3.166667
80740,68.20B,8,50,3.133333
80740,60.2L,4,49.983333,3.166667
80740,60.2L,4,50,3.133333
