codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80750,01.11Z,6,50.116667,2.233333
80750,01.11Z,6,50.1,2.25
80750,68.20A,2,50.116667,2.233333
80750,68.20A,2,50.1,2.25
80750,55.60,2,50.116667,2.233333
80750,55.60,2,50.1,2.25
80750,62.11,2,50.116667,2.233333
80750,62.11,2,50.1,2.25
80750,81.30Z,2,50.116667,2.233333
80750,81.30Z,2,50.1,2.25
80750,84.11Z,4,50.116667,2.233333
80750,84.11Z,4,50.1,2.25
80750,01.3Z,2,50.116667,2.233333
80750,01.3Z,2,50.1,2.25
80750,43.22B,2,50.116667,2.233333
80750,43.22B,2,50.1,2.25
80750,93.12Z,4,50.116667,2.233333
80750,93.12Z,4,50.1,2.25
80750,55.70,2,50.116667,2.233333
80750,55.70,2,50.1,2.25
80750,01.80,2,50.116667,2.233333
80750,01.80,2,50.1,2.25
80750,82.99Z,2,50.116667,2.233333
80750,82.99Z,2,50.1,2.25
80750,90.12,2,50.116667,2.233333
80750,90.12,2,50.1,2.25
80750,55.71,2,50.116667,2.233333
80750,55.71,2,50.1,2.25
80750,81.21,2,50.116667,2.233333
80750,81.21,2,50.1,2.25
80750,45.4C,2,50.116667,2.233333
80750,45.4C,2,50.1,2.25
80750,43.99C,2,50.116667,2.233333
80750,43.99C,2,50.1,2.25
80750,01.61Z,2,50.116667,2.233333
80750,01.61Z,2,50.1,2.25
80750,01.49Z,2,50.116667,2.233333
80750,01.49Z,2,50.1,2.25
80750,01.1A,2,50.116667,2.233333
80750,01.1A,2,50.1,2.25
80750,92.7C,2,50.116667,2.233333
80750,92.7C,2,50.1,2.25
80750,88.99B,2,50.116667,2.233333
80750,88.99B,2,50.1,2.25
80750,93.29Z,2,50.116667,2.233333
80750,93.29Z,2,50.1,2.25
