codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
80830,67.05,2,50.033333,2.033333
80830,67.05,2,"",""
80830,01.11Z,4,50.033333,2.033333
80830,01.11Z,4,"",""
80830,68.20A,2,50.033333,2.033333
80830,68.20A,2,"",""
80830,55.60,4,50.033333,2.033333
80830,55.60,4,"",""
80830,56.21Z,2,50.033333,2.033333
80830,56.21Z,2,"",""
80830,47.82Z,2,50.033333,2.033333
80830,47.82Z,2,"",""
80830,84.11Z,2,50.033333,2.033333
80830,84.11Z,2,"",""
80830,10.13B,2,50.033333,2.033333
80830,10.13B,2,"",""
80830,01.3Z,4,50.033333,2.033333
80830,01.3Z,4,"",""
80830,38.32Z,4,50.033333,2.033333
80830,38.32Z,4,"",""
80830,65.06,2,50.033333,2.033333
80830,65.06,2,"",""
80830,55.4B,2,50.033333,2.033333
80830,55.4B,2,"",""
80830,56.10A,2,50.033333,2.033333
80830,56.10A,2,"",""
80830,86.90D,4,50.033333,2.033333
80830,86.90D,4,"",""
80830,31.09B,2,50.033333,2.033333
80830,31.09B,2,"",""
80830,70.1C,2,50.033333,2.033333
80830,70.1C,2,"",""
80830,94.99Z,2,50.033333,2.033333
80830,94.99Z,2,"",""
80830,82.99Z,4,50.033333,2.033333
80830,82.99Z,4,"",""
80830,01.50Z,4,50.033333,2.033333
80830,01.50Z,4,"",""
80830,01.2A,2,50.033333,2.033333
80830,01.2A,2,"",""
80830,96.02B,4,50.033333,2.033333
80830,96.02B,4,"",""
80830,01.42Z,2,50.033333,2.033333
80830,01.42Z,2,"",""
80830,43.99C,4,50.033333,2.033333
80830,43.99C,4,"",""
80830,01.61Z,2,50.033333,2.033333
80830,01.61Z,2,"",""
80830,22.2E,2,50.033333,2.033333
80830,22.2E,2,"",""
80830,10.11Z,2,50.033333,2.033333
80830,10.11Z,2,"",""
80830,72.1Z,2,50.033333,2.033333
80830,72.1Z,2,"",""
80830,45.11Z,2,50.033333,2.033333
80830,45.11Z,2,"",""
80830,01.49Z,4,50.033333,2.033333
80830,01.49Z,4,"",""
80830,01.1A,8,50.033333,2.033333
80830,01.1A,8,"",""
80830,01.46Z,2,50.033333,2.033333
80830,01.46Z,2,"",""
80830,70.22Z,2,50.033333,2.033333
80830,70.22Z,2,"",""
80830,01.62Z,2,50.033333,2.033333
80830,01.62Z,2,"",""
80830,88.99B,4,50.033333,2.033333
80830,88.99B,4,"",""
80830,47.89Z,2,50.033333,2.033333
80830,47.89Z,2,"",""
80830,55.72,2,50.033333,2.033333
80830,55.72,2,"",""
80830,68.20B,8,50.033333,2.033333
80830,68.20B,8,"",""
80830,60.2L,2,50.033333,2.033333
80830,60.2L,2,"",""
