codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
81160,47.99A,6,43.916667,2.7
81160,47.99A,6,43.95,2.2
81160,43.22A,4,43.916667,2.7
81160,43.22A,4,43.95,2.2
81160,26.2A,2,43.916667,2.7
81160,26.2A,2,43.95,2.2
81160,02.10Z,2,43.916667,2.7
81160,02.10Z,2,43.95,2.2
81160,01.11Z,6,43.916667,2.7
81160,01.11Z,6,43.95,2.2
81160,55.40,2,43.916667,2.7
81160,55.40,2,43.95,2.2
81160,64.1C,2,43.916667,2.7
81160,64.1C,2,43.95,2.2
81160,56.21Z,2,43.916667,2.7
81160,56.21Z,2,43.95,2.2
81160,81.22Z,4,43.916667,2.7
81160,81.22Z,4,43.95,2.2
81160,43.34Z,2,43.916667,2.7
81160,43.34Z,2,43.95,2.2
81160,64.20Z,2,43.916667,2.7
81160,64.20Z,2,43.95,2.2
81160,86.90E,2,43.916667,2.7
81160,86.90E,2,43.95,2.2
81160,90.01Z,8,43.916667,2.7
81160,90.01Z,8,43.95,2.2
81160,56.10C,2,43.916667,2.7
81160,56.10C,2,43.95,2.2
81160,43.91A,2,43.916667,2.7
81160,43.91A,2,43.95,2.2
81160,84.11Z,8,43.916667,2.7
81160,84.11Z,8,43.95,2.2
81160,45.4D,2,43.916667,2.7
81160,45.4D,2,43.95,2.2
81160,01.3Z,6,43.916667,2.7
81160,01.3Z,6,43.95,2.2
81160,43.39Z,4,43.916667,2.7
81160,43.39Z,4,43.95,2.2
81160,03.30,2,43.916667,2.7
81160,03.30,2,43.95,2.2
81160,93.12Z,2,43.916667,2.7
81160,93.12Z,2,43.95,2.2
81160,43.32A,4,43.916667,2.7
81160,43.32A,4,43.95,2.2
81160,96.03Z,2,43.916667,2.7
81160,96.03Z,2,43.95,2.2
81160,47.11B,2,43.916667,2.7
81160,47.11B,2,43.95,2.2
81160,01.24Z,2,43.916667,2.7
81160,01.24Z,2,43.95,2.2
81160,02.20Z,4,43.916667,2.7
81160,02.20Z,4,43.95,2.2
81160,74.20Z,4,43.916667,2.7
81160,74.20Z,4,43.95,2.2
81160,56.10A,2,43.916667,2.7
81160,56.10A,2,43.95,2.2
81160,86.90D,8,43.916667,2.7
81160,86.90D,8,43.95,2.2
81160,45.3A,2,43.916667,2.7
81160,45.3A,2,43.95,2.2
81160,94.99Z,14,43.916667,2.7
81160,94.99Z,14,43.95,2.2
81160,81.11,2,43.916667,2.7
81160,81.11,2,43.95,2.2
81160,02.20,4,43.916667,2.7
81160,02.20,4,43.95,2.2
81160,23.41Z,2,43.916667,2.7
81160,23.41Z,2,43.95,2.2
81160,20.1A,2,43.916667,2.7
81160,20.1A,2,43.95,2.2
81160,90.04Z,2,43.916667,2.7
81160,90.04Z,2,43.95,2.2
81160,23.70Z,2,43.916667,2.7
81160,23.70Z,2,43.95,2.2
81160,02.0D,2,43.916667,2.7
81160,02.0D,2,43.95,2.2
81160,62.43,2,43.916667,2.7
81160,62.43,2,43.95,2.2
81160,47.64Z,2,43.916667,2.7
81160,47.64Z,2,43.95,2.2
81160,62.01Z,4,43.916667,2.7
81160,62.01Z,4,43.95,2.2
81160,23.69Z,2,43.916667,2.7
81160,23.69Z,2,43.95,2.2
81160,01.45Z,6,43.916667,2.7
81160,01.45Z,6,43.95,2.2
81160,43.31Z,2,43.916667,2.7
81160,43.31Z,2,43.95,2.2
81160,45.4C,2,43.916667,2.7
81160,45.4C,2,43.95,2.2
81160,70.2C,4,43.916667,2.7
81160,70.2C,4,43.95,2.2
81160,90.03A,4,43.916667,2.7
81160,90.03A,4,43.95,2.2
81160,01.2A,6,43.916667,2.7
81160,01.2A,6,43.95,2.2
81160,96.02B,2,43.916667,2.7
81160,96.02B,2,43.95,2.2
81160,47.81Z,6,43.916667,2.7
81160,47.81Z,6,43.95,2.2
81160,68.31Z,2,43.916667,2.7
81160,68.31Z,2,43.95,2.2
81160,01.42Z,2,43.916667,2.7
81160,01.42Z,2,43.95,2.2
81160,85.59B,2,43.916667,2.7
81160,85.59B,2,43.95,2.2
81160,85.59A,4,43.916667,2.7
81160,85.59A,4,43.95,2.2
81160,43.99C,8,43.916667,2.7
81160,43.99C,8,43.95,2.2
81160,51.5E,2,43.916667,2.7
81160,51.5E,2,43.95,2.2
81160,52.5Z,4,43.916667,2.7
81160,52.5Z,4,43.95,2.2
81160,70.21Z,2,43.916667,2.7
81160,70.21Z,2,43.95,2.2
81160,96.09Z,6,43.916667,2.7
81160,96.09Z,6,43.95,2.2
81160,74.2C,2,43.916667,2.7
81160,74.2C,2,43.95,2.2
81160,35.11Z,2,43.916667,2.7
81160,35.11Z,2,43.95,2.2
81160,18.12Z,2,43.916667,2.7
81160,18.12Z,2,43.95,2.2
81160,47.91A,2,43.916667,2.7
81160,47.91A,2,43.95,2.2
81160,44.10,4,43.916667,2.7
81160,44.10,4,43.95,2.2
81160,79.03,2,43.916667,2.7
81160,79.03,2,43.95,2.2
81160,55.1A,2,43.916667,2.7
81160,55.1A,2,43.95,2.2
81160,41.10D,2,43.916667,2.7
81160,41.10D,2,43.95,2.2
81160,67.08,2,43.916667,2.7
81160,67.08,2,43.95,2.2
81160,01.49Z,2,43.916667,2.7
81160,01.49Z,2,43.95,2.2
81160,01.1A,2,43.916667,2.7
81160,01.1A,2,43.95,2.2
81160,16.10A,6,43.916667,2.7
81160,16.10A,6,43.95,2.2
81160,01.19Z,2,43.916667,2.7
81160,01.19Z,2,43.95,2.2
81160,51.2E,2,43.916667,2.7
81160,51.2E,2,43.95,2.2
81160,86.90F,2,43.916667,2.7
81160,86.90F,2,43.95,2.2
81160,44.11,2,43.916667,2.7
81160,44.11,2,43.95,2.2
81160,70.22Z,4,43.916667,2.7
81160,70.22Z,4,43.95,2.2
81160,17.1E,2,43.916667,2.7
81160,17.1E,2,43.95,2.2
81160,75.00Z,2,43.916667,2.7
81160,75.00Z,2,43.95,2.2
81160,88.99B,4,43.916667,2.7
81160,88.99B,4,43.95,2.2
81160,52.4N,2,43.916667,2.7
81160,52.4N,2,43.95,2.2
81160,45.2V,2,43.916667,2.7
81160,45.2V,2,43.95,2.2
81160,43.21A,2,43.916667,2.7
81160,43.21A,2,43.95,2.2
81160,53.10Z,2,43.916667,2.7
81160,53.10Z,2,43.95,2.2
81160,52.6D,2,43.916667,2.7
81160,52.6D,2,43.95,2.2
81160,68.20B,18,43.916667,2.7
81160,68.20B,18,43.95,2.2
