codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
81210,01.11Z,50,43.683333,2.266667
81210,01.11Z,50,43.666667,2.233333
81210,01.11Z,50,43.666667,2.3
81210,01.11Z,50,43.683333,2.216667
81210,01.11Z,50,43.666667,2.35
81210,45.3E,5,43.683333,2.266667
81210,45.3E,5,43.666667,2.233333
81210,45.3E,5,43.666667,2.3
81210,45.3E,5,43.683333,2.216667
81210,45.3E,5,43.666667,2.35
81210,56.30Z,5,43.683333,2.266667
81210,56.30Z,5,43.666667,2.233333
81210,56.30Z,5,43.666667,2.3
81210,56.30Z,5,43.683333,2.216667
81210,56.30Z,5,43.666667,2.35
81210,81.22Z,5,43.683333,2.266667
81210,81.22Z,5,43.666667,2.233333
81210,81.22Z,5,43.666667,2.3
81210,81.22Z,5,43.683333,2.216667
81210,81.22Z,5,43.666667,2.35
81210,64.20Z,5,43.683333,2.266667
81210,64.20Z,5,43.666667,2.233333
81210,64.20Z,5,43.666667,2.3
81210,64.20Z,5,43.683333,2.216667
81210,64.20Z,5,43.666667,2.35
81210,90.01Z,10,43.683333,2.266667
81210,90.01Z,10,43.666667,2.233333
81210,90.01Z,10,43.666667,2.3
81210,90.01Z,10,43.683333,2.216667
81210,90.01Z,10,43.666667,2.35
81210,43.91A,5,43.683333,2.266667
81210,43.91A,5,43.666667,2.233333
81210,43.91A,5,43.666667,2.3
81210,43.91A,5,43.683333,2.216667
81210,43.91A,5,43.666667,2.35
81210,81.30Z,15,43.683333,2.266667
81210,81.30Z,15,43.666667,2.233333
81210,81.30Z,15,43.666667,2.3
81210,81.30Z,15,43.683333,2.216667
81210,81.30Z,15,43.666667,2.35
81210,84.11Z,10,43.683333,2.266667
81210,84.11Z,10,43.666667,2.233333
81210,84.11Z,10,43.666667,2.3
81210,84.11Z,10,43.683333,2.216667
81210,84.11Z,10,43.666667,2.35
81210,01.4A,5,43.683333,2.266667
81210,01.4A,5,43.666667,2.233333
81210,01.4A,5,43.666667,2.3
81210,01.4A,5,43.683333,2.216667
81210,01.4A,5,43.666667,2.35
81210,01.3Z,10,43.683333,2.266667
81210,01.3Z,10,43.666667,2.233333
81210,01.3Z,10,43.666667,2.3
81210,01.3Z,10,43.683333,2.216667
81210,01.3Z,10,43.666667,2.35
81210,43.22B,5,43.683333,2.266667
81210,43.22B,5,43.666667,2.233333
81210,43.22B,5,43.666667,2.3
81210,43.22B,5,43.683333,2.216667
81210,43.22B,5,43.666667,2.35
81210,01.2G,5,43.683333,2.266667
81210,01.2G,5,43.666667,2.233333
81210,01.2G,5,43.666667,2.3
81210,01.2G,5,43.683333,2.216667
81210,01.2G,5,43.666667,2.35
81210,47.11B,5,43.683333,2.266667
81210,47.11B,5,43.666667,2.233333
81210,47.11B,5,43.666667,2.3
81210,47.11B,5,43.683333,2.216667
81210,47.11B,5,43.666667,2.35
81210,55.4B,5,43.683333,2.266667
81210,55.4B,5,43.666667,2.233333
81210,55.4B,5,43.666667,2.3
81210,55.4B,5,43.683333,2.216667
81210,55.4B,5,43.666667,2.35
81210,56.10A,5,43.683333,2.266667
81210,56.10A,5,43.666667,2.233333
81210,56.10A,5,43.666667,2.3
81210,56.10A,5,43.683333,2.216667
81210,56.10A,5,43.666667,2.35
81210,46.19B,20,43.683333,2.266667
81210,46.19B,20,43.666667,2.233333
81210,46.19B,20,43.666667,2.3
81210,46.19B,20,43.683333,2.216667
81210,46.19B,20,43.666667,2.35
81210,47.78C,10,43.683333,2.266667
81210,47.78C,10,43.666667,2.233333
81210,47.78C,10,43.666667,2.3
81210,47.78C,10,43.683333,2.216667
81210,47.78C,10,43.666667,2.35
81210,46.21Z,5,43.683333,2.266667
81210,46.21Z,5,43.666667,2.233333
81210,46.21Z,5,43.666667,2.3
81210,46.21Z,5,43.683333,2.216667
81210,46.21Z,5,43.666667,2.35
81210,42.99Z,10,43.683333,2.266667
81210,42.99Z,10,43.666667,2.233333
81210,42.99Z,10,43.666667,2.3
81210,42.99Z,10,43.683333,2.216667
81210,42.99Z,10,43.666667,2.35
81210,01.50Z,5,43.683333,2.266667
81210,01.50Z,5,43.666667,2.233333
81210,01.50Z,5,43.666667,2.3
81210,01.50Z,5,43.683333,2.216667
81210,01.50Z,5,43.666667,2.35
81210,91.3E,5,43.683333,2.266667
81210,91.3E,5,43.666667,2.233333
81210,91.3E,5,43.666667,2.3
81210,91.3E,5,43.683333,2.216667
81210,91.3E,5,43.666667,2.35
81210,43.31Z,5,43.683333,2.266667
81210,43.31Z,5,43.666667,2.233333
81210,43.31Z,5,43.666667,2.3
81210,43.31Z,5,43.683333,2.216667
81210,43.31Z,5,43.666667,2.35
81210,90.03A,5,43.683333,2.266667
81210,90.03A,5,43.666667,2.233333
81210,90.03A,5,43.666667,2.3
81210,90.03A,5,43.683333,2.216667
81210,90.03A,5,43.666667,2.35
81210,64.48,5,43.683333,2.266667
81210,64.48,5,43.666667,2.233333
81210,64.48,5,43.666667,2.3
81210,64.48,5,43.683333,2.216667
81210,64.48,5,43.666667,2.35
81210,74.8K,5,43.683333,2.266667
81210,74.8K,5,43.666667,2.233333
81210,74.8K,5,43.666667,2.3
81210,74.8K,5,43.683333,2.216667
81210,74.8K,5,43.666667,2.35
81210,15.1E,5,43.683333,2.266667
81210,15.1E,5,43.666667,2.233333
81210,15.1E,5,43.666667,2.3
81210,15.1E,5,43.683333,2.216667
81210,15.1E,5,43.666667,2.35
81210,47.81Z,10,43.683333,2.266667
81210,47.81Z,10,43.666667,2.233333
81210,47.81Z,10,43.666667,2.3
81210,47.81Z,10,43.683333,2.216667
81210,47.81Z,10,43.666667,2.35
81210,68.31Z,5,43.683333,2.266667
81210,68.31Z,5,43.666667,2.233333
81210,68.31Z,5,43.666667,2.3
81210,68.31Z,5,43.683333,2.216667
81210,68.31Z,5,43.666667,2.35
81210,43.99C,5,43.683333,2.266667
81210,43.99C,5,43.666667,2.233333
81210,43.99C,5,43.666667,2.3
81210,43.99C,5,43.683333,2.216667
81210,43.99C,5,43.666667,2.35
81210,01.2J,5,43.683333,2.266667
81210,01.2J,5,43.666667,2.233333
81210,01.2J,5,43.666667,2.3
81210,01.2J,5,43.683333,2.216667
81210,01.2J,5,43.666667,2.35
81210,81.21Z,5,43.683333,2.266667
81210,81.21Z,5,43.666667,2.233333
81210,81.21Z,5,43.666667,2.3
81210,81.21Z,5,43.683333,2.216667
81210,81.21Z,5,43.666667,2.35
81210,35.11Z,5,43.683333,2.266667
81210,35.11Z,5,43.666667,2.233333
81210,35.11Z,5,43.666667,2.3
81210,35.11Z,5,43.683333,2.216667
81210,35.11Z,5,43.666667,2.35
81210,43.12A,5,43.683333,2.266667
81210,43.12A,5,43.666667,2.233333
81210,43.12A,5,43.666667,2.3
81210,43.12A,5,43.683333,2.216667
81210,43.12A,5,43.666667,2.35
81210,10.12Z,10,43.683333,2.266667
81210,10.12Z,10,43.666667,2.233333
81210,10.12Z,10,43.666667,2.3
81210,10.12Z,10,43.683333,2.216667
81210,10.12Z,10,43.666667,2.35
81210,33.20D,5,43.683333,2.266667
81210,33.20D,5,43.666667,2.233333
81210,33.20D,5,43.666667,2.3
81210,33.20D,5,43.683333,2.216667
81210,33.20D,5,43.666667,2.35
81210,01.13Z,10,43.683333,2.266667
81210,01.13Z,10,43.666667,2.233333
81210,01.13Z,10,43.666667,2.3
81210,01.13Z,10,43.683333,2.216667
81210,01.13Z,10,43.666667,2.35
81210,01.1A,15,43.683333,2.266667
81210,01.1A,15,43.666667,2.233333
81210,01.1A,15,43.666667,2.3
81210,01.1A,15,43.683333,2.216667
81210,01.1A,15,43.666667,2.35
81210,86.90F,5,43.683333,2.266667
81210,86.90F,5,43.666667,2.233333
81210,86.90F,5,43.666667,2.3
81210,86.90F,5,43.683333,2.216667
