codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
82170,47.99A,14,43.816667,1.3
82170,47.99A,14,43.883333,1.25
82170,47.99A,14,43.833333,1.283333
82170,47.99A,14,43.85,1.333333
82170,47.99A,14,43.866667,1.266667
82170,47.99A,14,43.85,1.283333
82170,47.99A,14,43.883333,1.266667
82170,70.3A,14,43.816667,1.3
82170,70.3A,14,43.883333,1.25
82170,70.3A,14,43.833333,1.283333
82170,70.3A,14,43.85,1.333333
82170,70.3A,14,43.866667,1.266667
82170,70.3A,14,43.85,1.283333
82170,70.3A,14,43.883333,1.266667
82170,55.3A,14,43.816667,1.3
82170,55.3A,14,43.883333,1.25
82170,55.3A,14,43.833333,1.283333
82170,55.3A,14,43.85,1.333333
82170,55.3A,14,43.866667,1.266667
82170,55.3A,14,43.85,1.283333
82170,55.3A,14,43.883333,1.266667
82170,43.22A,7,43.816667,1.3
82170,43.22A,7,43.883333,1.25
82170,43.22A,7,43.833333,1.283333
82170,43.22A,7,43.85,1.333333
82170,43.22A,7,43.866667,1.266667
82170,43.22A,7,43.85,1.283333
82170,43.22A,7,43.883333,1.266667
82170,01.1F,70,43.816667,1.3
82170,01.1F,70,43.883333,1.25
82170,01.1F,70,43.833333,1.283333
82170,01.1F,70,43.85,1.333333
82170,01.1F,70,43.866667,1.266667
82170,01.1F,70,43.85,1.283333
82170,01.1F,70,43.883333,1.266667
82170,01.11Z,224,43.816667,1.3
82170,01.11Z,224,43.883333,1.25
82170,01.11Z,224,43.833333,1.283333
82170,01.11Z,224,43.85,1.333333
82170,01.11Z,224,43.866667,1.266667
82170,01.11Z,224,43.85,1.283333
82170,01.11Z,224,43.883333,1.266667
82170,65.02,7,43.816667,1.3
82170,65.02,7,43.883333,1.25
82170,65.02,7,43.833333,1.283333
82170,65.02,7,43.85,1.333333
82170,65.02,7,43.866667,1.266667
82170,65.02,7,43.85,1.283333
82170,65.02,7,43.883333,1.266667
82170,46.23Z,7,43.816667,1.3
82170,46.23Z,7,43.883333,1.25
82170,46.23Z,7,43.833333,1.283333
82170,46.23Z,7,43.85,1.333333
82170,46.23Z,7,43.866667,1.266667
82170,46.23Z,7,43.85,1.283333
82170,46.23Z,7,43.883333,1.266667
82170,68.20A,63,43.816667,1.3
82170,68.20A,63,43.883333,1.25
82170,68.20A,63,43.833333,1.283333
82170,68.20A,63,43.85,1.333333
82170,68.20A,63,43.866667,1.266667
82170,68.20A,63,43.85,1.283333
82170,68.20A,63,43.883333,1.266667
82170,55.60,7,43.816667,1.3
82170,55.60,7,43.883333,1.25
82170,55.60,7,43.833333,1.283333
82170,55.60,7,43.85,1.333333
82170,55.60,7,43.866667,1.266667
82170,55.60,7,43.85,1.283333
82170,55.60,7,43.883333,1.266667
82170,15.13,7,43.816667,1.3
82170,15.13,7,43.883333,1.25
82170,15.13,7,43.833333,1.283333
82170,15.13,7,43.85,1.333333
82170,15.13,7,43.866667,1.266667
82170,15.13,7,43.85,1.283333
82170,15.13,7,43.883333,1.266667
82170,43.34Z,14,43.816667,1.3
82170,43.34Z,14,43.883333,1.25
82170,43.34Z,14,43.833333,1.283333
82170,43.34Z,14,43.85,1.333333
82170,43.34Z,14,43.866667,1.266667
82170,43.34Z,14,43.85,1.283333
82170,43.34Z,14,43.883333,1.266667
82170,88.99A,7,43.816667,1.3
82170,88.99A,7,43.883333,1.25
82170,88.99A,7,43.833333,1.283333
82170,88.99A,7,43.85,1.333333
82170,88.99A,7,43.866667,1.266667
82170,88.99A,7,43.85,1.283333
82170,88.99A,7,43.883333,1.266667
82170,80.4D,7,43.816667,1.3
82170,80.4D,7,43.883333,1.25
82170,80.4D,7,43.833333,1.283333
82170,80.4D,7,43.85,1.333333
82170,80.4D,7,43.866667,1.266667
82170,80.4D,7,43.85,1.283333
82170,80.4D,7,43.883333,1.266667
82170,93.19Z,28,43.816667,1.3
82170,93.19Z,28,43.883333,1.25
82170,93.19Z,28,43.833333,1.283333
82170,93.19Z,28,43.85,1.333333
82170,93.19Z,28,43.866667,1.266667
82170,93.19Z,28,43.85,1.283333
82170,93.19Z,28,43.883333,1.266667
82170,01.16,7,43.816667,1.3
82170,01.16,7,43.883333,1.25
82170,01.16,7,43.833333,1.283333
82170,01.16,7,43.85,1.333333
82170,01.16,7,43.866667,1.266667
82170,01.16,7,43.85,1.283333
82170,01.16,7,43.883333,1.266667
82170,56.10C,14,43.816667,1.3
82170,56.10C,14,43.883333,1.25
82170,56.10C,14,43.833333,1.283333
82170,56.10C,14,43.85,1.333333
82170,56.10C,14,43.866667,1.266667
82170,56.10C,14,43.85,1.283333
82170,56.10C,14,43.883333,1.266667
82170,81.30Z,7,43.816667,1.3
82170,81.30Z,7,43.883333,1.25
