codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
83131,47.99A,18,43.616667,6.483333
83131,58.19Z,2,43.616667,6.483333
83131,33.20A,2,43.616667,6.483333
83131,70.3A,6,43.616667,6.483333
83131,87.30A,1,43.616667,6.483333
83131,64.11,2,43.616667,6.483333
83131,55.3A,7,43.616667,6.483333
83131,43.22A,33,43.616667,6.483333
83131,41.10A,1,43.616667,6.483333
83131,02.10Z,1,43.616667,6.483333
83131,01.11Z,1,43.616667,6.483333
83131,00.97,5,43.616667,6.483333
83131,47.79Z,3,43.616667,6.483333
83131,52.3A,2,43.616667,6.483333
83131,65.02,4,43.616667,6.483333
83131,49.41A,1,43.616667,6.483333
83131,43.99A,1,43.616667,6.483333
83131,95.29Z,4,43.616667,6.483333
83131,92.3A,3,43.616667,6.483333
83131,52.4Z,5,43.616667,6.483333
83131,85.02,1,43.616667,6.483333
83131,68.20A,143,43.616667,6.483333
83131,51.3J,1,43.616667,6.483333
83131,49.32Z,18,43.616667,6.483333
83131,60.2E,2,43.616667,6.483333
83131,46.46Z,1,43.616667,6.483333
83131,36.6E,2,43.616667,6.483333
83131,55.60,4,43.616667,6.483333
83131,32.99Z,1,43.616667,6.483333
83131,15.8B,1,43.616667,6.483333
83131,52.21Z,1,43.616667,6.483333
83131,56.21Z,5,43.616667,6.483333
83131,95.11Z,2,43.616667,6.483333
83131,54.05,1,43.616667,6.483333
83131,85.1C,8,43.616667,6.483333
83131,62.11,1,43.616667,6.483333
83131,50.2Z,3,43.616667,6.483333
83131,47.52A,1,43.616667,6.483333
83131,13.30Z,1,43.616667,6.483333
83131,45.4J,5,43.616667,6.483333
83131,43.34Z,13,43.616667,6.483333
83131,80.4D,2,43.616667,6.483333
83131,95.21Z,1,43.616667,6.483333
83131,81.29B,2,43.616667,6.483333
83131,80.20Z,1,43.616667,6.483333
83131,93.19Z,3,43.616667,6.483333
83131,93.0N,1,43.616667,6.483333
83131,79.02,1,43.616667,6.483333
83131,54.08,1,43.616667,6.483333
83131,25.61Z,1,43.616667,6.483333
83131,64.20Z,10,43.616667,6.483333
83131,87.10A,1,43.616667,6.483333
83131,25.12Z,1,43.616667,6.483333
83131,46.13Z,1,43.616667,6.483333
83131,86.90E,28,43.616667,6.483333
83131,90.01Z,11,43.616667,6.483333
83131,74.3B,1,43.616667,6.483333
83131,01.43Z,1,43.616667,6.483333
83131,80.4C,1,43.616667,6.483333
83131,43.32B,2,43.616667,6.483333
83131,47.82Z,3,43.616667,6.483333
83131,50.03,1,43.616667,6.483333
83131,94.91Z,1,43.616667,6.483333
83131,52.2G,1,43.616667,6.483333
83131,47.75Z,2,43.616667,6.483333
83131,42.22Z,1,43.616667,6.483333
83131,74.10Z,5,43.616667,6.483333
83131,56.10C,24,43.616667,6.483333
83131,74.90A,1,43.616667,6.483333
83131,82.11Z,7,43.616667,6.483333
83131,43.91A,3,43.616667,6.483333
83131,81.30Z,18,43.616667,6.483333
83131,86.10Z,1,43.616667,6.483333
83131,84.11Z,8,43.616667,6.483333
83131,43.99B,1,43.616667,6.483333
83131,42.21Z,1,43.616667,6.483333
83131,01.4B,3,43.616667,6.483333
