codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
83149,47.99A,4,43.466667,5.95
83149,45.20B,1,43.466667,5.95
83149,33.20A,2,43.466667,5.95
83149,70.3A,3,43.466667,5.95
83149,64.11,1,43.466667,5.95
83149,55.3A,7,43.466667,5.95
83149,43.22A,7,43.466667,5.95
83149,26.3Z,1,43.466667,5.95
83149,26.2A,3,43.466667,5.95
83149,67.05,1,43.466667,5.95
83149,00.97,6,43.466667,5.95
83149,47.79Z,3,43.466667,5.95
83149,01.11Z,4,43.466667,5.95
83149,23.19Z,1,43.466667,5.95
83149,77.01,1,43.466667,5.95
83149,65.02,2,43.466667,5.95
83149,43.99A,3,43.466667,5.95
83149,95.29Z,3,43.466667,5.95
83149,92.3A,1,43.466667,5.95
83149,52.4Z,2,43.466667,5.95
83149,64.49,1,43.466667,5.95
83149,68.20A,48,43.466667,5.95
83149,55.40,1,43.466667,5.95
83149,51.3J,1,43.466667,5.95
83149,49.32Z,5,43.466667,5.95
83149,45.3E,2,43.466667,5.95
83149,46.46Z,1,43.466667,5.95
83149,55.60,7,43.466667,5.95
83149,56.30Z,4,43.466667,5.95
83149,80.30Z,1,43.466667,5.95
83149,32.99Z,1,43.466667,5.95
83149,15.8B,2,43.466667,5.95
83149,49.01,1,43.466667,5.95
83149,56.21Z,5,43.466667,5.95
83149,62.11,3,43.466667,5.95
83149,46.49Z,1,43.466667,5.95
83149,47.52A,3,43.466667,5.95
83149,15.13,1,43.466667,5.95
83149,81.22Z,2,43.466667,5.95
83149,43.34Z,14,43.466667,5.95
83149,80.4D,2,43.466667,5.95
83149,81.29B,1,43.466667,5.95
83149,93.19Z,1,43.466667,5.95
83149,25.61Z,1,43.466667,5.95
83149,64.20Z,3,43.466667,5.95
83149,90.01Z,4,43.466667,5.95
83149,86.90E,11,43.466667,5.95
83149,01.43Z,1,43.466667,5.95
83149,38.11Z,1,43.466667,5.95
83149,29.3C,1,43.466667,5.95
83149,47.82Z,7,43.466667,5.95
83149,43.32B,2,43.466667,5.95
83149,94.91Z,1,43.466667,5.95
83149,56.10C,17,43.466667,5.95
83149,52.4R,3,43.466667,5.95
83149,74.10Z,2,43.466667,5.95
83149,74.90A,1,43.466667,5.95
83149,43.91A,1,43.466667,5.95
83149,82.11Z,2,43.466667,5.95
83149,46.44Z,1,43.466667,5.95
83149,81.30Z,9,43.466667,5.95
83149,01.4B,3,43.466667,5.95
83149,23.31Z,5,43.466667,5.95
83149,84.11Z,4,43.466667,5.95
83149,42.21Z,1,43.466667,5.95
83149,01.21Z,16,43.466667,5.95
83149,55.2C,5,43.466667,5.95
83149,"",2,43.466667,5.95
83149,85.1G,1,43.466667,5.95
83149,43.39Z,3,43.466667,5.95
83149,01.4A,2,43.466667,5.95
83149,55.20Z,3,43.466667,5.95
83149,93.12Z,5,43.466667,5.95
83149,43.22B,3,43.466667,5.95
83149,43.32A,9,43.466667,5.95
83149,00.10,2,43.466667,5.95
83149,58.10,1,43.466667,5.95
83149,25.62B,1,43.466667,5.95
83149,93.11Z,2,43.466667,5.95
83149,59.12,1,43.466667,5.95
83149,67.09,2,43.466667,5.95
83149,74.1G,1,43.466667,5.95
83149,74.30Z,2,43.466667,5.95
83149,47.11B,2,43.466667,5.95
83149,70.1F,2,43.466667,5.95
83149,96.03Z,1,43.466667,5.95
83149,47.61Z,1,43.466667,5.95
83149,57.02,1,43.466667,5.95
83149,52.2A,1,43.466667,5.95
83149,86.10,1,43.466667,5.95
83149,65.06,2,43.466667,5.95
83149,64.19Z,1,43.466667,5.95
83149,01.24Z,2,43.466667,5.95
83149,86.23Z,1,43.466667,5.95
83149,37.00Z,1,43.466667,5.95
83149,67.13,4,43.466667,5.95
83149,52.6E,2,43.466667,5.95
83149,26.7Z,1,43.466667,5.95
83149,43.33Z,5,43.466667,5.95
83149,74.1J,1,43.466667,5.95
83149,74.20Z,2,43.466667,5.95
83149,01.80,1,43.466667,5.95
83149,56.10A,11,43.466667,5.95
83149,96.02A,8,43.466667,5.95
83149,82.19Z,1,43.466667,5.95
83149,86.90D,3,43.466667,5.95
83149,46.19B,12,43.466667,5.95
83149,01.00,1,43.466667,5.95
83149,77.04,1,43.466667,5.95
83149,60.05,1,43.466667,5.95
83149,55.30Z,2,43.466667,5.95
